age,tenure_months,monthly_charge_usd,support_calls_last_3m,data_usage_gb,payment_delay_days_avg,complaints_last_6m,satisfaction_score,promotion_used,contract_type,y_true,y_pred,prob_churn
18,1,127.5,3,90.25,13,0,10.0,Yes,Monthly,1,1,0.7629711808212191
58,22,180.0,3,1.0,14,0,6.6,Yes,Monthly,1,1,0.6354623715601271
65,14,74.44,2,42.53,6,0,1.9,Yes,Annual,1,0,0.05361892142522919
67,1,64.35,3,19.14,10,2,5.7,No,Monthly,0,0,0.263760010331007
67,27,85.46,4,26.03,1,0,4.7,No,Monthly,1,1,0.8071084060504952
40,1,73.95,3,20.32,12,3,7.2,No,Monthly,0,0,0.259958928382866
27,1,166.46,6,39.0,15,0,6.4,No,Monthly,1,1,0.950507836897396
23,27,119.08,0,51.53,14,0,5.2,No,Semiannual,1,1,0.937422777278626
55,49,69.76,6,59.42,0,0,3.1,No,Monthly,1,1,0.8962168540384183
42,69,102.99,3,75.44,0,0,1.0,No,Semiannual,1,1,0.7683444762964028
39,20,64.34,1,80.55,11,0,2.8,No,Annual,0,1,0.5781991472223933
18,20,97.91,0,62.07,10,0,5.6,No,Semiannual,1,1,0.8437826728835234
18,33,51.6,0,75.08,5,0,3.3,No,Annual,1,0,0.47445019506775554
50,1,12.0,2,68.12,15,6,9.5,No,Semiannual,0,0,0.11389451106744138
40,1,21.74,1,53.95,14,3,7.0,No,Semiannual,1,0,0.12896459126327103
65,1,25.57,5,23.63,16,1,10.0,No,Semiannual,0,0,0.09488007796857702
55,2,44.11,1,14.07,8,4,6.3,No,Semiannual,0,0,0.18790718955733307
57,31,87.39,2,1.0,1,1,6.0,Yes,Monthly,0,0,0.3679431149173961
38,1,37.19,1,20.1,9,4,7.2,No,Monthly,0,0,0.08165739909403111
44,53,38.11,1,34.36,0,1,3.1,No,Semiannual,0,1,0.8648951995703555
19,21,121.7,5,60.17,14,0,3.2,No,Semiannual,1,1,0.9856044010602721
39,1,12.0,0,36.83,16,6,9.4,No,Monthly,0,0,0.11177129903387455
52,23,84.17,3,24.48,6,0,2.6,Yes,Annual,0,0,0.17842550881138428
35,29,12.0,4,67.99,0,2,6.5,No,Annual,1,0,0.09235038482843655
69,1,70.88,2,58.98,8,0,6.2,Yes,Semiannual,0,0,0.13187368653824025
18,6,156.13,2,89.39,16,0,2.8,No,Monthly,1,1,0.9962369990044408
31,57,70.05,6,1.0,0,1,4.9,Yes,Annual,1,0,0.357822623669343
56,17,26.26,2,54.11,0,2,5.6,Yes,Annual,0,0,0.16006444331369055
69,1,88.62,3,49.02,8,0,2.4,Yes,Annual,0,0,0.0540630240908176
49,36,46.78,2,45.38,0,0,4.2,Yes,Annual,0,0,0.08875175878081039
64,1,12.0,3,20.86,29,3,10.0,No,Semiannual,0,0,0.07411913233684472
32,1,69.19,3,83.98,11,1,6.1,Yes,Monthly,1,1,0.5994100908136647
63,4,30.74,2,1.45,15,2,9.5,No,Semiannual,0,0,0.06760849840520149
24,27,46.54,2,43.13,0,2,4.2,Yes,Annual,1,0,0.250029708016532
32,1,12.0,0,35.16,15,2,10.0,No,Semiannual,0,0,0.20139982193236136
41,36,70.16,2,50.57,6,0,2.1,No,Annual,0,0,0.4331822747205092
48,53,40.27,2,30.54,0,0,4.4,No,Semiannual,1,1,0.87378166682826
42,32,74.59,5,86.78,2,0,5.4,Yes,Annual,0,0,0.22467188125702942
71,1,61.82,2,23.66,10,1,6.8,No,Monthly,0,0,0.2584525769657514
38,26,28.09,0,50.54,4,1,5.4,No,Annual,0,0,0.2854569832067325
30,1,12.0,2,67.42,24,6,10.0,No,Semiannual,0,0,0.15604785872234564
66,36,23.72,4,15.07,0,2,5.5,No,Semiannual,1,0,0.44080230597373493
41,13,38.53,5,24.24,14,0,10.0,No,Semiannual,0,0,0.19992253135190435
62,23,12.0,6,7.46,2,4,10.0,No,Annual,0,0,0.25158878342445945
64,28,170.78,3,26.65,3,0,4.5,Yes,Monthly,1,1,0.7158598179405073
23,1,175.97,5,64.71,20,0,3.5,No,Monthly,1,1,0.9958918349507887
61,36,69.41,1,12.22,2,1,3.7,No,Monthly,1,1,0.596528761864536
18,1,16.68,0,44.16,18,4,9.1,No,Semiannual,0,0,0.22962341250380652
34,45,67.65,2,51.76,0,0,3.5,Yes,Annual,0,0,0.1951567434621821
24,6,103.28,2,81.84,18,0,4.1,No,Semiannual,1,1,0.9690069706617296
74,9,75.85,0,82.86,2,0,4.5,Yes,Annual,0,0,0.031367235629417074
22,1,113.68,0,70.01,13,0,3.1,No,Monthly,1,1,0.979591531604675
37,65,22.13,0,41.54,0,0,3.2,No,Annual,1,0,0.29183177604817545
63,18,92.26,0,26.67,8,0,7.0,No,Monthly,1,1,0.6583878285750883
