monto_usd,antiguedad_cliente_meses,intentos_24h,distancia_km,transaccion_noche,pais_nuevo,dispositivo_nuevo,indice_historial_confiable,real,pred_arbol,pred_random_forest,pred_mejor_rf
30.1,86,4,21.0,0,0,0,0.78,0,0,0,0
45.9,64,4,0.4,1,0,0,0.71,0,0,0,0
30.13,3,3,66.5,1,0,0,0.85,1,0,0,0
72.12,99,3,0.0,0,1,1,0.84,0,0,0,0
111.52,5,1,48.8,0,1,1,0.96,0,0,0,0
82.28,135,7,20.1,0,1,0,0.97,0,0,0,0
70.44,72,5,4.9,0,1,0,1.0,1,0,0,0
27.21,139,5,1.7,0,0,1,0.91,0,0,0,0
210.64,127,5,0.0,0,1,1,1.0,0,1,0,0
80.76,43,4,15.2,0,0,0,0.66,0,0,0,0
31.37,107,6,45.9,1,0,0,0.99,0,0,0,0
41.79,13,7,33.6,0,1,1,0.96,1,1,1,1
43.39,158,2,15.6,1,1,1,0.99,0,0,0,0
160.31,51,1,27.4,1,0,0,0.78,0,0,0,0
131.02,141,3,39.9,1,0,1,0.59,0,1,0,0
108.73,170,6,0.0,0,0,0,0.76,0,0,0,0
24.08,33,6,0.0,1,1,0,0.73,1,0,0,0
18.82,141,3,0.0,0,1,1,1.0,0,0,0,0
38.99,34,3,0.0,1,0,1,0.85,0,0,0,0
25.46,135,6,20.7,1,0,1,0.88,0,0,0,0
86.57,171,1,4.3,0,1,1,0.8,0,0,0,0
66.35,96,5,42.8,1,0,1,0.97,0,0,0,0
56.46,155,5,56.4,0,0,0,1.0,0,0,0,0
53.14,154,5,47.9,0,1,0,0.63,0,0,0,0
82.62,32,3,0.0,0,0,0,0.91,0,0,0,0
41.97,54,4,0.0,1,0,1,0.99,0,0,0,0
174.38,90,2,62.1,0,1,0,0.72,0,0,0,0
109.9,28,4,28.0,0,1,0,0.71,1,0,0,0
155.53,44,7,16.1,0,1,0,0.9,1,1,1,1
17.96,25,2,5.1,1,1,0,0.88,0,0,0,0
98.0,129,1,81.5,0,0,0,0.71,0,0,0,0
91.12,97,6,0.0,0,0,0,1.0,0,0,0,0
26.04,171,4,25.6,1,1,1,0.9,0,0,0,0
68.44,100,4,0.0,1,0,1,0.76,0,0,0,0
68.72,105,2,0.0,0,0,0,0.78,0,0,0,0
47.75,55,1,0.0,1,0,0,1.0,0,0,0,0
131.78,169,1,74.2,1,0,0,0.93,0,0,0,0
43.19,27,4,0.0,0,0,1,0.89,0,0,0,0
141.54,130,6,0.0,1,1,1,1.0,0,1,0,0
96.63,140,6,41.1,1,0,1,0.89,0,0,0,0
97.86,128,2,28.4,0,0,0,0.88,0,0,0,0
222.82,130,6,25.9,0,1,1,0.61,1,1,1,1
37.4,156,3,39.0,1,0,1,0.93,0,0,0,0
85.93,91,4,6.8,0,0,0,1.0,0,0,0,0
166.96,138,3,72.3,0,1,0,0.96,0,0,0,0
35.49,177,6,71.8,0,1,0,0.69,1,1,1,0
258.44,73,2,44.8,1,1,0,0.87,0,0,0,0
42.98,91,5,7.2,0,1,1,0.98,0,0,0,0
46.45,140,7,36.1,1,1,0,0.59,1,1,1,1
199.07,32,1,58.1,1,1,1,0.79,1,1,1,1
35.13,40,7,0.0,1,1,1,0.84,1,1,1,1
34.19,50,5,26.7,0,0,1,0.8,0,0,0,0
124.31,25,4,48.1,1,1,0,0.9,1,0,0,0
90.99,61,3,10.2,1,0,1,0.89,0,0,0,0
49.42,4,3,0.0,1,1,1,0.83,1,0,0,0
38.61,119,3,8.0,1,0,1,0.67,0,0,0,0
66.45,7,7,47.6,0,1,1,1.0,1,1,1,1
54.97,72,7,8.9,1,0,1,0.7,1,0,1,1
143.92,59,2,18.9,0,1,1,0.77,0,1,0,0
151.23,131,2,46.9,0,0,1,0.79,0,1,0,0
159.87,141,6,35.6,0,1,1,0.84,0,1,0,0
81.07,174,7,28.1,1,0,0,0.86,0,0,0,0
66.08,65,5,56.5,1,0,1,0.76,1,1,1,1
146.13,72,6,3.3,0,1,1,0.67,1,1,1,1
46.68,125,7,0.0,0,0,1,0.72,0,0,0,0
162.23,96,2,54.3,1,1,1,0.6,1,1,1,1
79.59,99,3,64.8,0,0,1,0.78,0,1,0,0
87.75,57,1,39.2,0,0,1,0.86,0,0,0,0
31.12,54,7,48.3,0,1,0,0.78,0,1,1,1
35.41,140,1,25.0,0,0,0,0.73,0,0,0,0
83.77,127,4,0.0,0,1,0,0.97,0,0,0,0
184.97,96,4,25.8,1,0,0,0.86,0,0,0,0
59.71,75,5,8.3,1,1,0,0.94,0,0,0,0
142.36,20,2,55.3,1,1,1,1.0,1,0,1,1
114.09,15,3,57.7,0,1,1,0.86,1,1,1,1
86.89,155,2,76.8,1,1,0,0.56,0,0,0,0
35.32,114,2,0.0,0,0,0,0.78,0,0,0,0
69.37,36,5,77.1,0,0,0,0.83,0,0,0,0
98.66,135,6,0.0,1,1,0,0.46,0,0,0,0
104.22,4,7,0.0,1,0,1,0.92,1,1,1,1
98.59,146,5,34.7,1,0,1,0.71,1,0,0,0
63.49,132,7,20.2,1,1,1,0.94,1,0,0,0
28.46,46,5,0.0,1,1,0,0.61,1,0,0,0
53.92,162,3,0.0,1,0,1,0.6,0,0,0,0
90.76,54,2,26.9,1,0,1,0.8,0,0,0,0
77.86,143,4,0.0,0,0,0,1.0,0,0,0,0
81.09,101,5,3.7,1,1,1,0.99,0,0,0,0
143.83,14,6,14.0,1,1,1,0.73,1,1,1,1
78.42,27,4,44.0,1,0,1,0.71,1,0,1,1
40.55,103,1,0.0,0,1,0,0.95,0,0,0,0
156.2,62,7,0.0,1,1,1,0.93,1,1,1,1
43.79,70,1,0.0,0,0,0,0.89,0,0,0,0
