temperatura_exterior_C,humedad_exterior_pct,ocupacion_personas,equipos_activos,hora_punta,area_m2,nivel_aislamiento,radiacion_solar,real,prediccion
31.2,74.9,113,26,1,895,1,6.1,421.27,377.0099243203465
29.7,43.1,73,59,1,649,5,4.9,345.72,327.0242912857144
19.9,73.9,71,36,0,902,2,6.1,325.01,341.3968248571431
20.3,52.3,105,39,0,725,5,5.6,323.07,355.26775976190476
10.8,62.8,26,23,1,904,1,3.0,274.8,257.3488614329005
17.7,53.5,52,56,0,363,3,5.8,266.09,272.8104186031746
25.8,51.3,13,19,0,1171,3,2.7,254.46,254.495647968254
6.0,41.2,56,45,1,798,4,5.0,283.89,281.57880604761925
23.1,67.8,29,18,0,1095,2,7.6,258.51,260.51285087878784
15.7,76.7,6,28,1,986,4,4.0,233.48,250.94254360317464
12.9,25.7,101,32,1,340,2,4.0,303.72,293.1089103968253
14.2,66.3,107,40,1,825,1,3.5,399.37,382.24929346320346
11.1,73.4,18,12,1,292,2,3.6,187.35,159.95694254545467
20.7,48.2,7,49,1,673,5,3.5,234.42,240.11291847619023
15.9,63.0,15,36,1,930,2,3.3,284.55,263.1659067994228
25.9,79.9,22,4,0,81,1,4.8,123.43,137.08303731746037
7.5,32.0,40,17,1,575,1,5.4,230.9,214.43868917332657
17.3,39.9,103,21,0,676,1,3.0,322.62,326.3100516190478
33.9,59.8,103,18,1,878,4,5.5,355.03,344.68756531746027
12.6,77.6,21,47,1,937,3,9.0,277.74,268.92986883150166
11.9,60.5,82,4,0,898,1,4.5,268.7,304.7408541428572
30.2,61.7,84,5,1,220,4,3.5,243.91,244.44394585714255
20.8,57.6,113,9,0,1047,3,6.3,330.35,339.76010079365074
11.7,55.8,18,18,1,1173,3,3.1,242.67,246.78925969841288
9.5,59.1,19,3,0,523,5,4.4,110.97,166.64216743711845
11.9,53.6,75,3,0,987,1,3.8,276.17,303.0172977619049
2.4,77.5,19,49,1,946,3,4.3,270.57,255.93827839682555
