temperatura_motor_C,vibracion_mm_s,presion_bar,horas_operacion,humedad_pct,carga_pct,mantenimiento_reciente,real,prediccion
77.9,5.17,35.2,2627,15.0,55.4,1,advertencia,advertencia
85.6,5.09,19.6,1560,40.5,86.9,0,normal,normal
48.6,5.86,41.8,1171,59.2,45.2,1,normal,normal
86.4,6.02,34.6,1213,74.9,73.1,0,normal,normal
57.6,6.13,27.0,1960,43.1,69.6,0,advertencia,normal
60.8,2.11,42.6,3408,44.8,25.3,0,critica,advertencia
81.7,5.86,36.5,2679,58.1,37.0,1,advertencia,advertencia
85.8,4.27,35.4,1341,66.7,87.8,0,advertencia,normal
104.7,6.42,26.3,1064,60.5,45.1,1,normal,normal
96.7,2.76,29.6,513,39.9,63.9,1,normal,normal
55.9,3.41,29.5,4567,50.7,64.4,1,critica,critica
67.5,4.25,30.6,1177,69.5,37.1,1,normal,normal
61.0,3.66,31.1,3910,46.7,82.7,1,critica,critica
