id_transaccion,monto_usd,hora_operacion,distancia_ubicacion_km,intentos_previos_1h,antiguedad_cliente_meses,dispositivo_nuevo,nivel_riesgo_pais,canal,reclamos_previos,target_fraude
36,136.4,22,15.0,0,28.8,0,bajo,app,1,0
37,113.67,13,181.0,2,9.0,0,bajo,web,0,0
38,38.52,3,169.5,1,59.0,0,alto,app,0,0
39,74.25,11,79.1,3,89.9,0,medio,web,1,0
40,27.24,16,93.9,2,49.8,0,bajo,pos,0,0
41,50.09,20,261.2,2,18.5,0,bajo,app,0,0
42,38.64,2,3.7,3,64.0,1,bajo,web,0,0
43,32.31,10,34.4,1,13.7,0,bajo,app,0,0
44,874.98,15,188.5,0,23.6,0,bajo,pos,0,0
45,63.82,0,219.1,2,3.5,0,medio,app,0,0
46,28.53,21,72.9,1,11.8,0,bajo,web,0,0
47,102.82,20,266.1,2,65.2,0,alto,web,1,0
48,37.59,6,216.2,2,61.8,0,medio,web,0,0
49,28.17,3,280.5,0,25.3,0,bajo,pos,0,0
50,215.54,14,228.8,1,21.7,0,alto,pos,0,0
51,131.13,11,97.2,1,22.4,0,medio,pos,0,0
52,52.63,16,313.5,2,44.5,0,bajo,web,1,0
53,32.95,7,,0,18.8,0,bajo,web,1,0
54,177.76,10,11.1,2,23.6,0,bajo,web,0,0
55,59.27,19,202.3,2,95.6,0,bajo,app,1,0
56,41.27,16,18.3,1,66.8,0,bajo,app,0,0
57,279.48,21,539.3,0,47.0,0,bajo,web,0,0
58,30.87,14,123.5,2,1.0,0,medio,telefono,0,0
59,198.19,21,85.0,0,15.1,0,bajo,web,0,0
60,76.56,1,31.9,3,40.9,0,bajo,web,0,0
61,51.05,5,26.8,0,55.7,0,bajo,app,0,0
62,160.41,17,234.4,1,71.3,0,bajo,web,0,0
63,73.14,11,0.5,2,40.6,0,bajo,web,0,0
64,235.32,10,99.1,0,32.7,1,bajo,pos,0,0
65,84.06,17,40.1,1,1.0,0,bajo,app,0,0
66,102.53,0,119.0,1,54.2,0,medio,web,0,0
67,218.9,23,5.2,0,38.9,0,bajo,pos,1,0
68,147.05,19,490.3,2,24.5,1,bajo,app,0,0
69,14.56,5,183.9,1,14.5,0,medio,app,0,0
70,66.53,0,62.5,1,18.4,0,medio,web,0,0
71,17.69,20,35.4,0,9.5,0,bajo,telefono,0,0
72,193.03,0,5.9,1,22.7,0,medio,web,1,0
73,85.18,2,15.2,0,9.6,0,medio,web,0,0
74,39.05,21,76.4,0,34.7,0,medio,web,1,0
75,21.9,4,129.5,2,14.1,1,bajo,app,0,0
76,5.29,7,156.5,2,50.8,0,bajo,pos,1,0
77,46.3,15,67.9,2,20.2,0,medio,app,0,0
78,45.41,9,115.2,2,51.7,0,alto,app,0,0
79,18.01,13,211.1,1,27.5,0,bajo,app,0,0
80,27.21,9,62.1,1,25.7,1,bajo,app,0,1
81,89.59,19,175.0,0,1.0,0,bajo,web,1,0
82,507.78,9,158.6,0,67.3,1,medio,web,1,0
83,16.68,8,30.2,4,1.0,0,alto,web,0,1
84,527.38,0,100.7,0,31.9,0,bajo,web,0,0
85,19.77,12,35.3,0,31.5,0,medio,web,0,0
86,58.9,22,206.4,1,54.7,0,bajo,app,0,0
87,54.99,17,67.8,1,29.8,0,medio,app,0,0
88,81.41,17,113.1,1,24.6,0,bajo,app,0,0
89,46.91,23,5.1,0,44.3,0,bajo,telefono,0,0
90,29.35,2,458.3,1,56.7,1,bajo,pos,0,1
91,59.79,12,464.6,2,5.3,0,bajo,pos,1,0
92,164.98,1,59.8,0,6.5,0,medio,app,1,0
93,11.39,14,303.9,5,27.0,0,bajo,pos,0,0
94,55.54,18,204.4,3,25.3,0,bajo,app,0,0
95,68.71,5,72.7,0,23.1,0,alto,web,1,0
96,237.37,17,323.6,1,57.9,0,bajo,app,0,0
97,39.83,1,10.5,1,27.4,0,alto,app,0,1
98,139.05,9,32.6,3,1.0,0,bajo,web,1,0
99,175.71,23,9.7,2,31.2,1,bajo,web,0,1
100,297.85,14,343.8,2,64.0,0,medio,web,0,0
101,123.39,18,57.9,0,43.8,0,medio,app,0,0
102,46.29,14,247.1,1,15.5,0,bajo,telefono,0,0
103,35.88,10,37.4,0,73.7,0,bajo,web,0,0
104,74.36,2,0.5,3,29.5,0,bajo,web,0,0
105,11.58,22,142.5,0,21.5,0,bajo,app,1,0
106,71.29,23,2.0,1,32.4,1,bajo,web,0,0
107,16.23,2,119.5,0,34.8,0,bajo,web,0,0
108,52.04,23,7.7,0,37.3,0,medio,web,0,0
109,58.77,3,210.2,3,43.7,0,bajo,app,0,0
110,727.32,2,56.1,3,9.6,0,medio,pos,1,0
111,55.68,23,68.1,3,37.8,0,bajo,web,0,0
112,64.69,5,94.9,1,27.3,0,bajo,app,0,0
113,7.35,11,123.4,3,30.1,1,medio,web,0,1
114,58.0,9,107.6,1,59.7,0,bajo,app,0,0
115,7.46,21,16.0,0,48.4,0,bajo,app,0,0
116,35.81,17,26.6,1,11.8,0,bajo,web,1,0
117,113.92,11,155.5,1,54.0,0,medio,web,0,0
118,117.14,9,186.6,0,33.2,0,bajo,web,0,0
119,10.69,9,55.5,1,54.0,0,bajo,app,0,0
120,77.9,10,61.2,2,40.8,0,alto,web,1,0
121,207.77,15,97.0,2,30.1,0,bajo,app,0,0
122,33.45,15,136.8,2,52.9,0,bajo,web,0,0
123,182.88,22,282.2,1,29.8,0,bajo,app,1,0
124,44.32,5,112.8,2,32.2,0,bajo,web,1,0
125,185.36,10,45.3,1,24.0,1,bajo,app,2,0
126,9.29,3,78.5,3,43.0,1,medio,app,0,1
127,64.25,6,578.4,3,32.2,1,alto,app,1,1
128,146.14,21,0.6,1,72.8,0,bajo,app,0,0
129,90.91,15,109.0,1,39.6,0,bajo,web,1,0
130,84.15,20,14.8,5,55.9,0,bajo,app,0,0
131,59.97,16,15.2,2,26.2,0,bajo,app,1,0
132,56.77,4,187.7,2,62.6,0,bajo,app,1,0
133,196.07,15,255.3,0,63.1,0,medio,app,1,0
134,32.81,21,22.6,0,25.0,1,bajo,app,0,0
135,28.86,9,83.3,1,1.4,1,bajo,app,1,1
136,141.5,20,,1,11.7,1,medio,web,1,0
137,59.23,4,,2,5.0,1,bajo,web,0,1
138,161.71,12,57.3,2,8.0,0,bajo,pos,0,0
139,416.41,6,107.9,1,81.0,0,bajo,web,1,0
140,104.76,2,32.4,4,48.2,0,bajo,web,0,0
141,94.32,14,82.3,0,9.4,0,bajo,web,0,0
142,59.64,18,154.8,0,48.3,0,medio,web,0,0
143,321.34,4,46.0,1,45.6,0,medio,app,0,0
144,30.57,7,208.5,0,26.1,0,bajo,app,0,0
145,10.41,16,44.7,2,23.6,1,bajo,web,1,0
146,104.91,0,316.3,0,22.0,0,medio,app,0,0
147,212.52,6,17.0,0,39.4,0,alto,app,0,0
148,60.31,4,18.2,0,58.6,0,bajo,web,0,0
149,136.81,9,99.5,2,49.5,1,bajo,web,0,0
150,128.44,11,300.7,0,17.8,0,medio,web,0,0
151,19.24,14,148.0,0,61.7,0,medio,app,1,0
152,361.48,2,137.2,0,11.3,0,medio,web,0,0
153,12.39,10,23.4,4,27.4,0,bajo,web,1,0
154,185.14,20,163.0,3,58.5,0,medio,app,0,0
155,55.99,7,389.8,0,3.0,0,bajo,pos,3,0
156,104.25,6,66.5,1,22.5,0,alto,app,0,0
157,78.08,6,2.6,1,1.0,0,bajo,pos,1,0
158,93.19,8,423.1,0,53.1,0,bajo,web,1,0
159,27.51,15,14.1,2,50.1,0,bajo,app,1,0
160,44.27,12,101.2,1,18.6,1,bajo,web,0,0
161,34.96,0,121.3,0,11.3,0,medio,web,0,0
162,46.32,6,79.1,1,41.8,1,bajo,app,1,0
163,80.82,23,145.2,4,67.3,0,bajo,app,1,0
164,6.84,9,178.3,2,1.0,1,bajo,app,2,1
165,586.96,10,1.6,0,35.1,0,bajo,app,0,0
166,72.65,11,16.6,0,33.1,1,bajo,app,1,0
167,55.28,22,458.7,1,64.9,0,bajo,app,0,0
168,59.15,9,81.5,0,59.7,1,medio,web,0,0
169,42.62,8,68.9,2,31.1,0,bajo,app,0,0
170,4.84,12,116.3,0,46.2,1,alto,pos,0,0
171,73.72,23,544.8,2,20.6,0,bajo,app,0,0
172,953.64,15,51.7,0,4.3,0,bajo,web,0,0
173,160.28,10,58.4,1,42.9,0,bajo,web,1,0
174,528.2,19,35.2,1,62.2,0,alto,app,0,0
175,16.4,9,50.9,2,22.1,0,bajo,app,0,0
176,131.6,7,68.6,1,42.0,0,bajo,app,0,0
177,59.06,10,6.2,1,28.6,0,bajo,telefono,2,0
178,426.11,10,240.5,1,30.3,0,bajo,app,0,0
179,18.46,10,191.8,0,25.6,0,medio,web,1,0
180,139.49,5,113.8,2,37.9,0,bajo,app,0,0
181,18.96,5,77.8,0,58.3,0,bajo,pos,0,0
182,29.57,0,70.7,2,36.6,0,bajo,web,0,0
183,875.97,19,7.4,3,77.2,0,alto,web,0,0
184,112.11,14,17.0,0,13.3,0,bajo,app,0,0
185,80.19,15,110.6,2,35.8,1,bajo,web,0,0
186,12.68,3,32.1,1,1.0,0,bajo,pos,3,0
187,14.36,4,41.8,1,27.5,1,bajo,web,0,0
188,58.01,21,34.6,1,54.3,0,medio,web,0,0
189,223.89,22,439.0,3,23.6,0,medio,pos,0,0
190,640.39,1,17.4,3,24.8,0,bajo,web,0,0
191,71.64,20,126.3,4,33.8,1,bajo,app,1,0
192,51.3,1,292.5,2,61.9,0,bajo,app,2,0
193,31.11,16,127.6,0,48.0,0,bajo,app,0,0
194,104.67,5,74.0,2,7.0,1,bajo,web,0,0
195,27.77,11,26.0,3,1.0,1,bajo,web,0,1
196,52.57,19,11.4,0,25.2,0,bajo,web,0,0
197,18.59,23,71.1,1,37.2,0,bajo,web,0,0
198,50.54,0,46.2,1,42.7,0,medio,web,0,0
199,337.66,10,283.9,0,49.9,0,bajo,app,1,0
200,29.6,19,115.2,0,26.6,1,bajo,app,0,0
201,506.63,5,77.6,1,32.1,0,bajo,web,0,0
202,87.34,18,51.2,0,67.8,1,bajo,pos,0,0
203,229.41,2,116.7,2,30.2,0,bajo,app,0,0
204,27.97,22,35.1,2,7.0,0,medio,pos,0,0
205,6.34,11,37.0,1,20.4,0,bajo,web,0,0
206,67.48,23,307.4,2,55.9,1,bajo,web,1,0
207,91.21,6,200.1,1,21.4,0,bajo,app,0,0
208,15.14,11,28.9,1,24.7,0,bajo,app,0,0
209,150.89,9,35.1,2,18.2,0,alto,web,0,0
210,187.42,19,64.3,0,55.6,0,bajo,pos,1,0
211,41.64,6,192.6,1,33.1,0,bajo,app,1,0
212,38.62,9,147.8,0,1.4,0,medio,app,0,0
213,78.11,11,141.0,1,57.2,0,medio,web,0,0
214,30.14,11,298.2,3,24.9,1,bajo,app,1,0
215,201.11,4,236.2,1,51.2,0,bajo,app,0,0
216,107.25,21,153.0,1,13.5,0,medio,web,1,0
217,285.11,23,251.8,2,42.8,0,medio,app,0,0
218,88.97,0,127.8,0,63.0,0,medio,web,0,0
219,109.48,8,320.0,1,1.0,0,bajo,app,1,0
220,246.84,22,196.3,0,53.4,1,bajo,web,1,0
221,69.21,20,113.6,2,9.8,0,bajo,app,0,0
222,108.49,17,36.6,1,52.5,0,bajo,web,1,0
223,70.89,22,46.9,3,48.1,0,bajo,web,0,0
224,131.97,6,73.2,1,14.3,1,bajo,app,0,0
225,57.23,11,124.2,0,30.7,0,bajo,web,1,0
226,54.94,15,41.8,1,30.1,0,bajo,app,2,0
227,174.52,17,117.8,4,19.1,0,medio,app,0,0
228,92.12,13,5.2,0,1.0,0,medio,web,1,0
229,64.12,11,476.0,0,29.4,1,bajo,web,1,0
230,48.65,19,112.9,3,38.7,0,bajo,app,0,0
231,8.19,16,59.1,2,61.1,0,alto,app,1,0
232,18.54,18,79.0,1,32.8,1,bajo,web,0,0
233,14.04,16,99.0,0,20.1,0,bajo,pos,0,0
234,45.41,8,363.0,0,73.3,0,bajo,app,0,0
235,137.48,11,50.4,0,17.5,1,bajo,web,0,0
236,417.86,20,72.0,0,47.1,0,bajo,web,0,0
237,136.1,22,57.3,2,3.4,0,bajo,web,0,0
238,77.66,20,,0,30.6,0,medio,pos,0,0
239,103.75,21,78.9,2,53.9,0,medio,web,0,0
240,99.13,21,142.2,0,33.9,0,bajo,web,0,0
241,263.08,20,93.7,0,17.4,0,bajo,app,3,0
242,24.04,21,20.2,0,18.9,0,bajo,pos,1,0
243,63.04,1,387.1,0,72.8,0,bajo,pos,1,0
244,68.46,0,7.5,1,8.6,1,bajo,web,1,0
245,26.62,8,807.3,0,42.9,0,bajo,pos,0,0
246,14.66,19,114.7,2,1.1,0,bajo,web,2,0
247,240.33,12,79.7,0,58.4,0,bajo,app,0,0
248,35.34,10,52.3,0,50.9,0,bajo,web,1,0
249,40.11,9,83.2,1,31.8,0,bajo,app,0,0
250,32.18,0,26.2,2,54.0,1,bajo,app,0,0
251,23.87,14,31.9,0,56.6,0,bajo,web,0,0
252,33.23,14,1.3,2,49.0,0,bajo,pos,0,0
253,29.91,10,123.8,0,7.4,0,bajo,pos,0,0
254,19.7,19,199.9,1,72.5,0,bajo,app,0,0
255,80.08,9,330.2,0,26.5,0,bajo,pos,0,0
256,19.11,17,39.2,1,1.0,0,bajo,app,0,0
257,16.44,9,448.0,3,1.0,0,bajo,web,0,0
258,110.75,19,411.6,1,29.2,0,bajo,web,0,0
259,46.19,4,133.4,3,23.1,0,bajo,app,0,0
260,31.39,5,71.0,1,31.3,1,medio,web,1,0
261,61.72,4,106.7,2,33.0,0,bajo,app,0,0
262,316.06,10,243.7,5,60.8,0,medio,web,0,1
263,54.31,21,200.2,0,8.3,1,bajo,web,0,0
264,203.87,8,569.3,1,46.5,1,bajo,app,1,0
265,41.65,10,118.0,1,23.1,0,bajo,web,0,0
266,48.73,3,30.4,1,43.6,0,bajo,pos,0,0
267,72.12,0,218.2,1,39.0,0,bajo,web,0,0
268,77.02,0,124.2,4,62.8,0,bajo,pos,0,0
269,463.23,13,27.2,4,42.5,0,bajo,app,0,0
270,116.96,16,53.0,0,17.9,0,bajo,web,0,0
271,31.21,13,39.4,0,44.8,0,bajo,app,2,0
272,41.82,1,18.3,1,1.0,0,bajo,web,1,0
273,35.33,21,46.5,0,55.0,0,bajo,pos,0,0
274,122.59,2,64.3,0,1.0,0,medio,app,0,0
275,31.21,6,169.5,1,45.7,1,alto,web,0,1
276,237.45,22,63.4,2,15.4,0,bajo,web,0,0
277,6.88,15,112.0,1,30.7,1,alto,app,0,0
278,816.9,12,33.9,1,43.4,0,bajo,web,0,0
279,96.25,23,72.9,0,32.9,0,bajo,pos,2,0
280,333.59,3,410.6,0,36.1,0,bajo,web,0,0
281,62.47,5,220.9,2,78.2,0,bajo,web,1,0
282,57.41,1,66.4,0,44.3,0,bajo,app,0,0
283,118.97,12,28.1,2,61.1,0,medio,web,0,0
284,51.79,8,2.0,1,26.1,0,bajo,web,0,0
285,71.26,10,101.7,1,36.8,0,bajo,app,0,0
286,35.59,5,27.6,1,21.1,0,medio,web,0,0
287,34.51,6,211.5,1,41.9,0,medio,pos,1,0
288,285.9,15,73.1,3,21.0,1,bajo,web,0,0
289,29.26,18,204.1,0,32.9,0,bajo,telefono,0,0
290,29.32,8,19.8,1,62.8,0,alto,pos,2,0
291,47.83,0,40.1,1,22.2,0,alto,pos,0,1
292,181.95,17,37.9,0,51.4,0,bajo,app,0,0
293,113.54,13,126.6,2,76.7,0,bajo,app,1,0
294,153.46,6,21.7,1,37.6,0,bajo,app,2,0
295,72.21,17,67.7,1,62.0,1,alto,web,0,0
296,44.04,22,47.6,0,37.2,0,bajo,app,0,0
297,42.38,23,297.4,1,38.9,1,bajo,pos,2,0
298,100.55,22,115.8,3,33.9,0,alto,pos,0,0
299,46.58,22,110.0,1,51.9,0,bajo,app,0,0
300,26.63,20,61.3,0,48.1,0,medio,app,0,0
301,383.8,12,99.4,1,10.5,0,bajo,web,0,0
302,138.11,20,107.7,2,56.0,0,bajo,web,0,0
303,164.2,20,59.8,2,55.9,1,bajo,web,0,0
304,33.64,3,57.6,3,36.2,0,bajo,app,0,0
305,15.09,13,90.4,1,44.4,0,medio,web,0,0
306,282.54,0,133.7,1,56.8,1,bajo,app,1,0
307,210.99,23,137.2,1,1.0,1,bajo,app,1,1
308,24.44,2,145.3,1,47.4,0,medio,app,0,0
309,85.86,13,25.9,1,29.4,0,bajo,web,1,0
310,13.12,11,206.5,3,68.9,0,bajo,app,0,0
311,131.49,2,321.5,1,51.2,1,bajo,app,0,0
312,29.18,20,84.9,0,45.5,0,bajo,web,0,0
313,27.3,20,33.9,2,57.4,0,medio,web,0,0
314,264.26,19,67.1,2,41.6,0,bajo,web,0,0
315,45.04,17,21.2,3,47.0,1,bajo,app,0,0
316,322.13,10,1.3,2,51.1,0,bajo,app,0,0
317,12.49,6,45.3,0,32.1,0,medio,app,0,0
318,78.49,2,103.6,2,37.3,0,bajo,app,1,0
319,35.1,1,97.6,1,29.8,0,alto,app,1,0
320,188.05,10,87.0,1,6.2,0,bajo,app,1,0
321,4.24,3,,0,30.5,0,bajo,app,0,0
322,37.61,2,59.2,2,29.2,1,bajo,app,0,0
323,10.19,5,98.9,1,23.7,1,bajo,web,1,0
324,379.66,2,432.1,3,50.3,0,alto,telefono,0,0
325,69.12,19,226.1,0,18.3,1,bajo,pos,0,0
326,19.72,13,247.4,3,21.1,1,medio,web,1,1
327,25.6,1,121.3,2,52.9,0,medio,app,1,0
328,35.62,12,81.9,2,69.3,0,medio,app,0,0
329,104.5,19,304.7,0,80.4,1,bajo,telefono,0,0
330,216.67,14,0.6,1,10.8,0,bajo,web,0,0
331,67.04,18,92.4,3,45.6,1,alto,telefono,0,1
332,197.0,1,176.2,1,58.1,1,medio,web,0,0
333,123.6,23,71.6,2,77.6,0,bajo,web,1,0
334,120.45,3,53.6,1,51.2,0,alto,web,0,0
335,19.17,17,30.8,3,47.9,0,medio,app,2,0
336,70.91,10,360.1,1,56.5,0,bajo,web,1,0
337,19.87,7,47.6,0,14.5,1,bajo,pos,0,0
338,9.35,2,92.8,2,27.0,0,alto,web,0,1
339,52.46,0,293.8,2,12.3,1,bajo,app,1,0
340,172.78,0,365.1,0,84.4,0,bajo,app,1,0
341,35.2,16,156.9,0,49.6,0,bajo,app,0,0
342,154.26,8,183.9,1,50.4,0,bajo,pos,0,0
343,40.73,18,241.1,2,46.6,0,bajo,app,0,0
344,317.07,6,147.8,0,31.6,0,bajo,web,0,0
345,166.24,20,84.5,2,42.1,0,bajo,app,0,0
346,99.36,0,79.9,1,42.4,0,bajo,app,0,0
347,129.73,5,162.5,2,29.8,0,bajo,pos,1,0
348,195.11,5,47.3,0,15.1,1,bajo,app,0,0
349,22.61,22,104.6,1,68.2,0,bajo,pos,3,0
350,27.76,23,135.4,3,30.2,0,bajo,app,3,1
351,214.63,22,217.0,1,54.0,0,bajo,pos,0,0
352,92.32,10,21.7,0,14.9,0,bajo,telefono,0,0
353,48.29,6,255.3,2,49.4,0,bajo,web,0,0
354,196.01,16,469.4,2,38.7,1,medio,app,0,0
355,164.14,2,61.1,1,41.8,0,bajo,app,0,0
356,230.88,4,49.1,2,37.7,0,bajo,app,0,0
357,28.45,15,17.3,1,36.3,0,bajo,pos,1,0
358,16.07,10,35.8,0,25.9,0,alto,web,0,0
359,106.02,8,92.9,0,70.3,0,medio,pos,1,0
360,12.21,22,12.6,1,40.6,1,bajo,telefono,0,0
361,34.56,7,90.3,1,95.6,0,bajo,web,0,0
362,77.28,19,35.0,4,1.0,0,bajo,app,0,0
363,70.26,16,298.4,1,48.9,0,bajo,web,2,0
364,203.18,22,522.9,2,51.7,0,bajo,app,0,0
365,26.43,0,66.4,1,45.7,0,alto,app,0,0
366,156.65,10,70.9,0,22.1,0,medio,telefono,0,0
367,53.89,16,129.7,2,66.1,0,bajo,telefono,1,0
368,100.57,18,,0,1.5,0,bajo,app,1,0
369,15.54,0,1.0,0,37.8,0,bajo,web,0,0
370,114.35,19,156.8,1,51.4,1,medio,app,0,0
371,37.49,19,72.5,0,36.2,0,bajo,app,0,0
372,,20,270.3,0,96.5,0,bajo,web,1,0
373,77.33,19,21.6,0,49.2,0,bajo,web,0,0
374,4.79,5,164.5,0,1.0,1,bajo,web,0,0
375,137.39,9,63.5,1,24.0,0,bajo,web,0,0
376,57.01,11,1.3,2,1.0,1,bajo,app,0,0
377,303.53,21,187.2,2,15.9,1,bajo,app,1,1
378,53.76,19,122.5,0,85.1,0,bajo,app,0,0
379,53.23,19,199.7,1,72.6,0,bajo,web,0,0
380,113.99,20,256.0,1,27.5,1,bajo,app,2,0
381,204.51,22,5.7,2,20.1,0,bajo,telefono,0,0
382,32.77,8,111.2,1,7.8,0,bajo,web,0,0
383,34.15,21,12.9,2,18.3,0,bajo,pos,1,0
384,24.01,4,47.1,1,43.1,0,bajo,web,0,0
385,712.44,16,111.6,1,13.7,0,medio,telefono,0,0
386,60.69,7,4.4,1,34.4,1,medio,web,0,0
387,83.49,12,77.7,0,25.3,0,bajo,pos,1,0
388,104.36,6,87.7,0,37.0,0,medio,web,0,0
389,174.11,4,87.6,2,21.4,0,bajo,pos,0,0
390,107.63,16,51.2,0,42.2,0,medio,pos,0,0
391,31.25,11,67.2,1,83.3,0,bajo,app,0,0
392,33.56,1,7.0,0,34.0,0,medio,app,2,0
393,19.13,16,334.2,1,59.6,1,bajo,app,0,0
394,180.18,6,53.9,0,61.0,0,bajo,app,0,0
395,308.15,9,160.1,0,38.4,0,bajo,web,0,0
396,92.45,11,151.7,1,26.9,0,bajo,app,1,0
397,6.53,17,38.3,2,1.0,1,medio,web,1,0
398,114.24,10,196.9,0,44.8,1,medio,web,1,0
399,63.18,21,30.8,1,62.1,0,bajo,pos,0,0
400,46.18,19,25.2,0,14.9,1,bajo,telefono,1,0
401,62.96,7,86.9,0,28.4,0,bajo,web,0,0
402,52.54,10,24.5,0,42.2,1,bajo,app,0,0
403,157.03,20,36.5,2,37.2,0,bajo,pos,1,0
404,164.07,21,51.6,1,38.9,1,bajo,app,0,0
405,91.03,3,31.9,1,50.7,0,bajo,app,0,0
406,103.2,14,10.6,1,46.3,1,bajo,app,0,0
407,76.2,18,78.9,2,21.4,0,bajo,web,0,0
408,36.7,18,33.0,1,45.4,0,bajo,app,0,0
409,23.56,10,85.4,2,37.9,0,bajo,pos,1,0
410,53.85,16,98.8,1,33.6,0,medio,web,0,0
411,135.58,15,0.4,1,59.6,0,alto,web,2,0
412,115.86,17,44.8,1,24.9,0,bajo,web,1,0
413,84.05,18,21.5,1,8.6,0,bajo,app,0,0
414,104.68,15,89.3,0,25.2,0,medio,web,1,0
415,12.31,1,287.1,0,47.9,0,bajo,app,0,0
416,96.83,3,56.6,1,1.0,0,bajo,web,1,0
417,66.87,15,100.0,0,13.7,0,bajo,app,0,0
418,20.27,9,111.9,0,55.7,0,alto,app,1,0
419,91.65,7,82.3,3,62.7,0,bajo,web,1,0
420,38.67,17,151.0,2,71.5,0,bajo,app,0,0
421,132.63,18,,0,2.7,0,bajo,app,0,0
422,18.2,16,286.0,1,19.7,0,bajo,web,0,0
423,52.53,5,1.2,3,14.0,1,bajo,web,0,0
424,236.8,17,235.2,2,37.3,1,medio,web,0,0
425,85.19,18,68.6,2,6.9,0,bajo,pos,0,0
426,194.92,2,29.1,1,38.4,0,bajo,web,0,0
427,858.49,1,193.4,1,37.2,0,medio,app,0,1
428,40.93,3,60.1,0,70.6,0,bajo,app,0,0
429,205.45,15,138.2,1,62.9,0,bajo,app,0,0
430,15.88,15,62.5,2,17.2,0,bajo,web,0,0
431,144.18,17,21.5,2,40.2,1,bajo,web,0,0
432,39.33,3,282.8,2,1.0,0,bajo,pos,0,0
433,69.8,9,424.2,2,1.0,0,bajo,web,1,0
434,12.48,0,109.9,0,1.0,0,medio,web,0,0
435,476.45,3,71.1,1,12.0,0,bajo,app,0,0
436,83.69,1,94.1,1,46.5,0,bajo,app,1,0
437,406.01,11,38.4,1,27.4,0,bajo,pos,0,0
438,48.02,0,87.7,0,1.0,0,bajo,web,0,0
439,300.74,11,81.3,0,1.0,1,bajo,pos,1,0
440,57.98,20,35.6,1,45.3,1,bajo,web,0,0
441,360.96,9,102.4,0,42.7,0,medio,web,1,0
442,26.64,4,68.3,5,21.7,1,bajo,app,0,1
443,51.09,10,406.9,1,1.0,0,bajo,pos,0,0
444,42.08,1,85.0,2,8.8,0,bajo,app,0,0
445,29.58,10,286.8,0,11.8,1,alto,app,0,1
446,108.62,5,90.2,1,26.7,0,bajo,app,3,0
447,17.0,12,238.2,1,5.5,0,bajo,pos,0,0
448,103.7,14,26.2,1,33.6,1,bajo,telefono,0,0
449,52.16,17,136.5,1,36.0,0,medio,pos,2,0
450,72.8,4,235.7,2,47.0,0,bajo,web,0,0
451,67.93,4,105.5,3,14.0,0,medio,web,0,0
452,20.79,0,535.0,2,55.3,0,alto,web,1,1
453,5.32,11,62.0,0,17.7,0,bajo,web,0,0
454,217.48,11,79.6,0,15.3,0,bajo,pos,0,0
455,41.28,7,217.0,1,42.7,0,bajo,app,0,0
456,251.81,16,48.4,2,68.1,0,medio,app,1,0
457,7.6,8,94.3,0,28.7,1,alto,app,0,0
458,116.67,21,61.3,0,75.5,0,bajo,web,2,0
459,31.23,6,94.0,1,24.6,1,bajo,web,1,1
460,61.36,7,34.2,0,1.0,0,bajo,app,0,0
461,21.36,21,156.0,0,21.2,0,bajo,pos,2,0
