id_maquina,temperatura_motor_c,vibracion_mm_s,presion_hidraulica_bar,horas_operacion,ciclos_acumulados,humedad_ambiente_pct,ruido_db,turno,linea_produccion,target_falla_30d
40,65.76,5.43,86.8,1107,31887,47.3,58.8,B,L4,0
41,73.91,1.8,73.9,3144,102788,26.0,69.9,B,L3,0
42,80.49,2.33,105.2,8603,107614,45.9,55.8,B,L4,1
43,90.73,4.5,91.1,8783,31189,43.9,67.6,A,L3,0
44,73.07,5.84,67.0,8578,17761,50.6,67.5,B,L3,0
45,75.46,4.18,69.7,1245,22666,25.3,64.2,A,L3,0
46,61.43,6.22,69.9,1488,73251,46.5,74.1,C,L1,0
47,69.48,2.48,77.7,8407,42649,50.6,73.5,A,L1,0
48,59.61,3.44,99.1,5655,37734,64.4,69.4,B,L3,0
49,56.76,3.92,87.0,8170,43991,36.4,62.3,A,L4,0
50,82.99,6.89,96.7,945,112475,45.6,69.5,A,L4,1
51,68.0,3.12,95.8,917,18775,59.7,78.4,B,L3,0
52,60.05,1.61,72.7,4078,12477,35.6,70.9,C,L2,0
53,63.66,3.21,73.5,5763,73277,63.6,77.0,C,L2,0
54,75.12,2.21,76.3,3128,19202,58.1,68.3,C,L1,0
55,58.4,2.01,108.6,6623,102469,30.5,69.3,B,L2,0
56,70.25,5.74,85.4,2648,53310,47.5,79.1,A,L3,0
57,67.89,3.86,61.6,5312,6044,45.6,83.8,A,L3,0
58,83.93,3.37,100.9,2980,47086,80.4,66.0,A,L2,0
59,70.01,3.02,93.7,1926,11295,38.6,75.0,A,L1,0
60,82.65,2.72,89.4,6475,22620,25.5,69.3,B,L4,0
61,69.17,6.8,94.6,8140,23490,45.8,75.8,A,L2,0
62,82.31,1.87,71.2,4837,39033,34.3,68.0,B,L1,0
63,63.41,1.86,88.7,4331,58164,46.7,78.3,C,L1,0
64,70.59,2.66,89.9,2180,65761,47.9,77.1,C,L1,0
65,70.54,1.95,73.4,6757,107662,50.3,66.5,A,L3,0
66,64.53,1.99,80.5,2815,96666,52.2,88.0,C,L3,0
67,57.94,2.47,90.6,6634,76147,31.4,73.5,A,L1,0
68,57.67,3.6,86.3,7928,36582,63.7,70.0,A,L1,0
69,74.07,2.62,74.9,8861,88503,35.7,84.2,A,L3,0
70,62.28,4.3,118.3,2068,90847,54.1,66.1,B,L2,0
71,67.46,1.43,91.2,8405,79538,21.7,80.7,A,L1,0
72,75.45,2.28,84.2,4654,55321,65.7,68.5,B,L4,0
73,68.24,4.66,82.2,3278,90830,46.1,67.2,A,L2,0
74,73.55,3.6,87.2,6660,57670,53.6,72.0,A,L1,0
75,65.57,3.11,91.5,6608,90502,42.9,58.6,B,L2,0
76,53.66,,93.6,1004,89470,43.8,66.7,B,L2,0
77,87.49,1.86,78.8,7712,13863,62.5,85.6,B,L1,0
78,77.64,9.36,99.6,8303,31630,28.5,61.5,A,L3,1
79,76.79,1.84,66.2,2987,103878,62.2,78.3,B,L2,0
80,64.14,2.04,86.7,3196,10470,42.3,69.5,A,L1,0
81,71.66,3.18,80.8,3845,71899,5.0,71.2,A,L3,0
82,62.66,0.97,103.8,6623,70212,36.8,75.4,C,L3,0
83,67.2,4.25,81.3,5041,98808,50.0,57.6,A,L3,0
84,74.13,1.58,74.8,5895,55307,65.7,65.8,A,L1,0
85,72.15,4.2,91.6,5872,43032,57.4,74.3,B,L1,0
86,76.78,3.18,97.9,2828,10434,59.1,78.1,A,L2,0
87,70.16,2.66,85.4,5566,4768,39.5,71.3,C,L1,0
88,64.42,3.53,95.3,6877,9641,39.3,73.8,C,L4,0
89,77.42,3.48,76.0,4369,96517,47.3,73.9,B,L1,0
90,65.95,4.78,83.9,2416,116052,59.6,69.0,A,L4,1
91,80.38,3.81,80.1,976,53515,45.7,72.5,A,L2,0
92,61.71,6.08,92.5,2981,4905,50.6,70.8,B,L2,0
93,68.8,2.71,88.4,6731,54474,31.0,65.1,B,L3,0
94,64.37,2.93,72.0,7307,60677,31.7,74.3,B,L2,0
95,65.92,1.78,99.4,2593,106305,30.1,79.8,A,L4,0
96,84.44,3.53,82.0,1421,118531,64.8,61.9,A,L4,1
97,73.14,1.57,75.2,8739,1763,82.6,75.5,C,L4,0
98,83.69,1.39,86.0,183,85995,66.7,73.3,B,L1,0
99,70.71,2.72,99.4,970,51978,64.7,69.1,A,L3,0
100,82.98,1.64,97.0,6385,98941,65.1,72.7,A,L4,0
101,46.05,5.03,80.5,5148,76071,59.1,77.6,B,L2,0
102,76.41,1.85,70.6,201,19348,25.8,60.3,B,L4,0
103,69.98,2.39,74.4,3253,32155,57.7,62.4,A,L1,0
104,40.6,5.54,79.7,3269,81116,42.1,70.4,A,L3,0
105,78.27,7.73,77.0,964,15310,70.2,65.5,B,L4,0
106,48.14,2.01,77.3,6959,119236,68.5,79.6,B,L4,0
107,50.72,4.1,89.0,7213,10669,38.9,70.9,A,L2,0
108,60.68,1.08,98.8,4485,38827,80.0,89.7,B,L3,0
109,71.31,4.39,103.4,1032,105886,73.3,78.2,B,L1,0
110,83.91,3.56,94.9,8574,3940,39.3,85.0,C,L2,0
111,87.98,4.8,91.3,1572,108502,39.1,62.8,A,L4,1
112,54.15,1.58,84.5,5628,50093,62.2,65.0,A,L2,0
113,66.4,1.76,85.3,7714,12273,58.2,68.0,A,L1,0
114,44.49,1.67,74.3,3183,107217,83.2,64.5,A,L1,0
115,75.28,5.12,83.8,1498,14781,72.7,64.8,C,L2,0
116,66.93,2.88,87.8,4556,91479,34.7,64.2,A,L1,0
117,46.68,2.14,111.4,4723,58093,59.8,81.9,A,L4,0
118,60.53,1.98,94.8,3761,60911,36.0,55.1,C,L4,0
119,80.88,3.68,66.4,5614,20602,52.2,75.1,C,L3,0
120,84.3,6.74,94.0,3611,18061,68.4,72.6,A,L3,1
121,80.31,2.46,108.5,1108,91781,70.9,79.1,B,L1,1
122,76.74,4.4,80.7,2944,113504,44.3,58.0,A,L2,0
123,58.1,1.91,86.0,8845,43477,5.0,62.5,A,L3,0
124,67.54,1.43,78.1,1336,8632,83.0,63.3,B,L4,0
125,66.67,3.94,67.6,6186,86445,50.4,71.5,C,L4,1
126,60.98,1.44,95.5,4092,115904,44.7,76.1,C,L3,1
127,83.97,2.09,98.1,2453,102581,67.3,73.0,B,L3,1
128,73.01,3.94,67.3,105,48042,61.3,69.8,A,L3,1
129,82.6,4.47,91.9,7758,80467,52.3,78.4,C,L1,1
130,83.13,3.2,87.7,4341,41930,46.3,64.3,A,L1,0
131,65.58,3.16,99.6,5262,94648,22.8,87.0,B,L3,0
132,64.69,2.95,46.8,4624,63513,70.6,74.9,A,L3,0
133,79.08,2.11,98.9,1599,12850,61.5,74.4,A,L4,0
134,55.35,5.57,103.7,3989,95629,34.6,76.3,C,L1,1
135,63.21,1.57,102.8,5216,111580,51.6,57.1,B,L4,0
136,65.42,1.78,94.0,7417,34512,55.8,61.1,C,L2,0
137,72.6,1.53,90.4,684,61326,45.6,88.4,B,L1,0
138,59.45,1.71,88.9,3691,115217,23.8,72.0,C,L2,0
139,80.86,2.32,85.9,5449,97319,46.0,75.6,B,L2,0
140,61.71,2.37,72.4,8622,70945,44.3,64.1,B,L2,0
141,77.45,4.48,98.4,3261,32748,60.6,81.0,B,L3,0
142,50.28,2.41,,8444,78602,48.3,74.6,A,L3,0
143,86.15,2.89,110.2,613,57347,31.6,78.7,B,L4,1
144,65.67,3.19,84.5,6698,110625,22.3,77.3,A,L3,0
145,68.8,2.44,97.3,2577,29003,32.9,71.5,B,L1,0
146,55.76,3.22,95.0,1688,12607,54.0,74.5,B,L4,0
147,61.82,3.05,70.5,5450,69236,59.0,73.6,A,L3,0
148,78.3,1.65,80.0,2303,40795,55.0,70.6,B,L3,0
149,70.93,2.18,98.9,7240,88216,71.4,74.2,C,L1,1
150,77.99,1.13,70.4,6553,10119,38.5,73.6,A,L2,0
151,71.78,3.37,81.8,409,20261,66.7,73.1,B,L1,0
152,60.64,3.08,97.1,5044,104273,24.4,72.0,A,L2,0
153,74.4,4.16,72.6,7999,72397,36.9,84.8,B,L1,0
154,35.0,2.44,83.5,8508,73392,53.3,74.1,A,L3,0
155,59.22,1.33,74.6,3995,32758,28.6,81.2,B,L4,0
156,71.89,5.43,86.2,6137,85105,53.9,73.4,A,L3,1
157,69.87,8.49,65.5,3691,89851,13.2,77.4,A,L4,1
158,56.43,1.88,71.5,1055,46788,58.8,65.1,A,L1,0
159,70.64,2.53,76.1,201,15341,76.4,66.6,B,L3,0
160,69.16,5.17,88.4,5749,44284,40.8,71.8,A,L1,0
161,81.42,2.65,89.1,8754,94374,64.4,76.0,A,L1,1
162,46.76,2.74,95.5,692,72613,50.1,62.6,C,L2,0
163,69.31,2.12,99.0,7681,16588,66.2,72.7,C,L4,1
164,66.13,2.48,90.0,5163,41031,29.2,64.5,B,L3,0
165,63.84,8.96,89.1,4551,47679,44.7,78.5,B,L1,1
166,75.92,3.05,70.3,8286,69951,82.3,83.4,B,L3,1
167,69.61,3.64,67.5,1482,81491,83.8,90.2,A,L4,0
168,91.09,3.97,94.8,7003,87349,8.7,71.1,A,L4,1
169,71.37,0.95,77.5,7511,72012,47.0,75.9,C,L3,0
170,56.41,3.11,94.3,4785,94839,44.8,63.1,A,L2,0
171,66.43,3.3,69.5,5742,14851,47.5,67.0,B,L2,0
172,67.84,2.59,93.0,5265,97689,44.3,62.7,B,L2,0
173,,1.26,90.8,2003,44596,48.9,64.5,B,L4,0
174,63.71,3.39,87.1,600,97233,27.0,75.6,B,L3,0
175,69.83,2.09,91.9,6842,87709,67.0,84.0,A,L3,0
176,60.33,2.02,56.6,4875,63847,42.5,73.9,B,L3,0
177,74.03,2.24,80.5,1495,96852,47.3,72.2,A,L2,0
178,65.87,3.72,72.1,2804,115036,64.9,60.6,A,L1,0
179,67.72,2.9,99.6,8360,26057,68.0,77.2,A,L1,0
180,89.67,4.72,75.9,6102,30989,59.5,62.8,A,L3,1
181,58.83,3.47,95.4,3110,22457,50.3,75.3,B,L2,0
182,57.22,1.9,71.3,722,49314,37.0,80.4,B,L4,1
183,68.09,3.64,91.9,7294,58217,26.9,78.5,C,L1,0
184,73.29,3.92,58.6,4733,47187,57.5,79.2,C,L4,1
185,60.63,6.47,71.2,2990,49051,56.8,66.2,A,L1,0
186,52.65,3.05,74.6,4006,75339,38.9,57.1,B,L1,0
187,78.93,3.22,75.7,7549,99359,32.1,60.7,A,L3,1
188,65.18,2.94,81.7,7286,43803,33.0,75.5,A,L1,0
189,61.91,2.85,82.0,119,8331,40.9,68.8,B,L1,0
190,66.84,4.0,104.4,960,35168,81.2,83.5,B,L1,0
191,49.84,2.95,71.5,5652,29329,61.0,80.8,A,L2,0
192,70.98,8.71,90.4,3779,59090,47.2,60.6,C,L2,1
193,67.18,6.01,97.1,4744,56747,59.6,78.6,B,L2,1
194,60.92,3.51,90.9,4976,69779,62.9,77.6,B,L2,0
195,61.67,3.11,103.9,990,27662,25.9,77.2,B,L3,0
196,56.1,3.7,80.3,7964,88215,24.1,70.6,C,L2,0
197,60.61,3.1,94.1,2742,93368,26.6,65.1,A,L4,0
198,56.59,2.44,99.4,3405,10958,22.4,66.8,A,L4,0
199,81.9,2.04,82.2,8189,64535,59.3,69.4,A,L4,0
200,46.22,1.95,75.4,6139,70960,58.0,73.6,A,L2,0
201,71.62,2.02,70.4,5770,112696,5.0,70.1,A,L3,0
202,65.77,3.88,96.0,3999,34350,15.9,65.6,B,L4,0
203,56.17,1.66,77.0,489,46300,31.5,90.6,A,L2,0
204,74.26,1.87,84.2,6266,46496,62.7,63.3,A,L4,0
205,45.73,3.53,90.9,7049,64305,24.3,67.1,A,L1,0
206,58.43,2.62,88.4,1199,95546,77.7,76.3,B,L3,0
207,55.12,4.23,76.8,7188,93017,36.1,70.0,C,L2,0
208,71.95,1.38,71.1,5451,65846,50.4,72.7,A,L3,0
209,56.73,1.63,74.4,5982,65715,62.2,80.8,A,L2,0
210,75.72,1.58,105.8,1602,84505,50.2,81.2,B,L3,0
211,,2.05,99.6,585,5027,47.4,75.7,C,L4,0
212,64.76,2.53,79.6,7066,39965,37.8,71.1,C,L3,0
213,63.93,4.07,102.3,5607,30147,65.2,70.0,C,L1,0
214,69.46,4.49,,7132,44646,28.6,65.5,C,L4,0
215,80.34,7.49,80.0,1392,98786,74.4,72.5,A,L4,1
216,61.8,3.32,94.2,2994,47237,22.0,56.8,B,L3,0
217,90.87,3.95,82.0,4740,24479,70.2,80.7,C,L3,0
218,67.59,1.7,74.4,8869,114826,40.7,67.4,B,L1,0
219,68.8,8.36,75.3,4165,40570,14.4,82.3,B,L1,0
220,65.16,3.63,78.4,6545,51415,64.2,70.6,B,L1,0
221,71.76,2.62,74.4,4943,69533,32.2,67.9,A,L1,0
222,84.35,2.11,97.8,5041,55290,39.3,68.0,C,L3,0
223,51.44,2.93,83.8,8834,110692,40.3,81.5,B,L4,0
224,57.37,3.35,58.2,1889,43046,10.9,85.8,C,L1,0
225,82.02,2.44,84.7,1819,90124,43.8,73.7,C,L3,0
226,61.4,2.36,75.0,3801,79948,47.0,76.4,C,L1,0
227,72.83,2.89,82.6,7361,90622,43.9,72.8,A,L4,0
228,57.03,2.69,85.3,1691,36767,56.2,68.8,A,L4,0
229,99.5,2.27,69.7,5356,28019,41.8,87.4,A,L3,0
230,81.23,3.89,100.3,7600,18072,71.8,64.2,A,L3,0
231,56.71,4.11,76.1,3096,50710,56.4,58.4,A,L3,0
232,61.97,1.97,,4551,60261,54.5,65.2,A,L3,0
233,61.39,4.0,95.8,5463,79877,45.3,68.8,B,L4,0
234,78.37,1.12,94.4,2411,49753,49.0,58.9,C,L1,0
235,72.55,1.37,93.8,5770,68003,79.3,65.7,C,L3,0
236,69.59,4.2,66.6,7385,11315,45.2,73.2,B,L4,0
237,59.75,10.43,,5491,15907,18.0,71.8,B,L1,0
238,64.99,2.3,85.3,7573,36571,67.1,73.6,A,L4,0
239,83.29,3.08,73.9,2409,61639,35.8,79.5,B,L2,0
240,69.44,2.89,81.6,899,10701,74.9,66.6,C,L4,0
241,79.35,6.95,78.8,1476,9020,20.0,73.0,B,L3,0
242,63.09,2.35,74.6,8062,72184,60.2,59.4,A,L4,0
243,54.91,5.45,93.8,1589,7350,23.9,67.8,B,L1,0
244,73.29,3.35,86.4,6511,13043,84.0,64.7,B,L4,0
245,74.63,1.31,95.0,7501,8927,35.4,67.5,A,L3,0
246,81.05,1.2,63.1,154,26112,36.7,81.0,C,L2,0
247,65.98,3.91,95.7,8110,70142,62.1,70.7,B,L2,1
248,70.32,3.8,86.9,4596,118536,48.5,83.7,B,L1,0
249,62.6,2.33,80.9,8372,86569,39.5,61.8,B,L3,0
250,68.21,1.25,90.4,5366,100242,67.9,67.8,C,L3,1
251,62.16,3.42,73.2,3252,70625,37.4,74.8,A,L1,0
252,64.5,4.21,85.2,8988,80070,70.4,82.8,B,L3,1
253,77.38,4.95,106.6,5526,17893,74.8,77.1,C,L2,0
254,80.94,3.46,86.8,5978,23029,11.6,68.6,B,L2,0
255,63.45,2.48,82.3,901,22633,42.7,72.2,B,L3,0
256,87.42,5.82,80.4,350,29790,52.6,73.4,A,L2,0
257,84.09,5.39,75.1,6777,40930,25.5,76.2,B,L1,1
258,77.22,3.47,97.4,6238,43365,54.6,70.3,B,L3,0
259,65.78,,60.8,6621,70966,48.9,55.2,B,L4,0
260,95.83,4.1,75.1,7379,92190,10.8,69.2,A,L1,0
261,68.57,2.37,95.4,3260,27281,60.6,82.4,B,L2,0
262,57.12,3.3,75.8,1471,50499,48.6,66.0,A,L2,0
263,57.04,1.33,88.9,5704,63629,5.0,76.3,A,L3,0
264,51.37,2.68,79.3,4644,86564,57.4,73.3,A,L4,0
265,56.16,1.4,89.7,5552,49147,60.2,73.5,C,L3,0
266,100.52,5.25,83.8,1155,101851,36.7,83.8,C,L4,1
267,72.09,3.69,77.5,4053,64666,63.6,77.3,A,L1,1
268,67.61,4.25,72.0,3196,76960,10.9,76.4,C,L3,0
269,48.84,6.1,94.4,8512,88008,69.7,72.6,A,L1,0
270,60.68,3.75,66.1,5306,86276,59.9,70.3,A,L3,0
271,58.08,3.19,100.4,5870,54487,43.1,75.9,A,L3,0
272,80.95,5.7,80.8,123,30992,44.2,69.4,B,L2,0
273,54.19,3.74,85.0,4632,76909,30.3,74.7,A,L2,0
274,56.24,3.74,98.4,4333,88840,78.1,73.0,A,L4,0
275,63.6,4.46,60.7,5090,47717,56.6,79.1,B,L2,0
276,76.69,3.64,76.2,7568,100067,45.1,72.3,B,L4,1
277,,2.38,119.8,8351,32908,17.6,67.0,B,L1,0
278,58.11,2.81,77.1,3046,115831,46.4,60.3,B,L3,0
279,61.02,4.37,74.7,5973,67996,27.9,76.0,A,L4,0
280,65.19,1.81,82.3,3363,15374,35.8,71.9,A,L1,0
281,80.97,1.4,58.5,2083,86982,65.4,76.1,C,L4,0
282,83.42,3.39,94.5,8453,84758,51.8,69.4,A,L3,0
283,68.71,3.91,67.8,7128,114056,65.9,68.1,A,L4,1
284,73.8,1.45,82.8,3675,51240,35.8,62.3,A,L4,0
285,41.33,10.29,80.5,3484,22208,15.9,65.2,A,L3,0
286,69.22,2.34,79.4,7841,34404,42.2,73.6,C,L1,0
287,47.21,5.16,89.0,6147,72242,19.2,71.9,B,L3,0
288,72.1,4.28,86.6,8310,60753,36.8,78.1,A,L3,1
289,58.21,4.06,72.3,8370,57801,38.8,65.0,A,L4,0
290,76.04,7.87,82.5,2166,78974,39.5,69.3,C,L3,1
291,61.33,8.41,102.7,5001,66971,59.8,66.1,A,L2,1
292,79.54,3.2,70.4,1162,73847,28.8,79.9,A,L2,0
293,78.04,3.44,75.1,2307,38943,59.9,74.8,A,L3,0
294,74.42,4.99,78.0,5250,70000,65.4,69.4,C,L1,0
295,74.23,3.93,65.3,6035,110995,60.9,73.8,A,L3,1
296,74.86,3.07,65.8,7091,82933,61.5,86.8,A,L3,1
297,67.08,1.46,88.1,1452,54045,80.2,65.1,A,L2,0
298,62.43,4.32,97.2,6204,50114,43.0,65.4,A,L3,1
299,68.71,2.57,82.7,2398,72706,37.6,81.7,A,L2,0
300,54.43,4.18,104.4,6211,73024,32.6,62.4,B,L2,0
301,70.04,3.63,85.0,8416,11437,15.9,74.6,C,L2,0
302,73.5,6.66,84.3,1390,9555,51.0,77.7,A,L1,1
303,67.57,2.95,85.8,235,111509,5.0,76.4,C,L4,0
304,77.22,6.43,99.5,1173,50503,46.8,82.6,A,L4,1
305,72.14,2.82,95.4,8928,63917,61.6,70.7,C,L1,0
306,72.2,1.43,75.6,2884,100298,83.1,87.2,B,L3,0
307,66.83,4.29,79.2,8613,3061,29.7,69.8,A,L2,0
308,74.6,3.84,89.0,7294,43395,46.7,71.2,B,L3,0
309,64.68,1.39,95.4,4079,36968,59.6,75.2,C,L2,0
310,62.48,5.37,88.9,3562,78345,26.1,64.2,A,L3,0
311,66.39,3.2,73.1,4757,19662,73.6,87.8,C,L4,0
312,65.1,2.91,99.0,2725,15207,56.3,66.6,B,L1,0
313,92.03,,91.2,277,67718,42.2,60.8,B,L3,0
314,49.02,1.09,79.6,2603,71576,57.2,74.2,C,L1,0
315,65.15,3.95,82.4,3261,28424,73.4,75.7,A,L3,0
316,67.6,2.41,100.6,5470,5480,37.1,67.8,A,L2,0
317,66.16,1.99,86.0,5502,11934,48.1,67.0,C,L1,0
318,73.6,2.97,100.2,8851,45970,43.8,78.4,B,L4,1
319,59.06,4.04,93.6,3548,64271,57.0,89.8,B,L4,1
320,57.49,2.74,78.9,1028,9550,55.3,85.0,A,L2,0
321,58.83,2.84,92.3,4957,40983,6.5,73.4,C,L2,0
322,67.45,2.67,86.2,8888,68301,46.1,72.5,A,L1,0
323,55.13,3.05,67.4,2373,88655,71.4,76.9,A,L2,0
324,85.09,2.55,93.2,3988,116749,52.9,71.5,C,L1,1
325,62.87,2.55,72.1,2845,53406,66.6,67.2,B,L3,0
326,86.1,1.66,110.5,6051,80114,33.6,69.1,A,L2,0
327,68.84,2.78,80.2,6031,85049,33.3,66.5,C,L4,0
328,64.19,3.2,84.8,3235,54468,41.5,65.2,C,L2,0
329,66.14,1.8,78.6,8143,115873,61.3,73.2,B,L3,0
330,75.99,7.8,77.2,8918,48734,48.6,59.7,C,L3,0
331,65.71,1.58,87.1,1890,91066,39.2,65.8,A,L4,0
332,72.8,5.25,105.0,1461,106864,51.5,58.0,C,L1,1
333,88.1,4.13,87.0,537,49903,33.1,72.3,A,L3,0
334,87.46,1.21,77.8,747,74397,47.1,58.1,A,L3,0
335,64.55,2.65,63.2,3817,107216,47.3,73.8,B,L1,0
336,64.96,1.0,77.7,6136,33593,38.1,63.2,C,L2,0
337,62.29,2.84,58.4,3653,38527,64.2,66.0,A,L3,0
338,67.1,3.4,77.0,4062,113042,63.4,76.8,A,L4,0
339,73.42,6.61,60.0,978,90539,24.8,81.7,B,L3,0
340,86.19,11.24,90.1,3437,19447,60.9,69.7,B,L4,1
341,55.17,1.24,87.0,5651,93453,29.0,60.6,B,L3,0
342,79.87,6.0,71.7,5938,77518,77.5,77.6,A,L1,1
343,57.77,1.49,97.1,4292,89968,36.7,71.2,B,L1,0
344,62.53,3.12,69.3,2585,3280,59.7,76.4,C,L4,0
345,74.97,5.4,84.7,6379,32795,67.1,69.8,A,L2,1
346,56.08,1.12,97.8,2727,70508,65.0,62.6,B,L4,0
347,72.71,2.02,70.1,3843,117747,39.2,63.9,B,L4,1
348,73.7,2.03,66.3,4746,38493,49.1,74.4,B,L2,0
349,57.55,4.13,55.5,7346,79734,41.2,75.5,A,L3,0
350,66.81,2.03,85.8,5479,55781,37.9,76.1,B,L2,0
351,60.35,3.29,58.8,8403,43870,58.8,79.7,B,L4,0
352,67.54,2.41,84.4,4720,92736,26.3,65.3,A,L4,0
353,47.68,4.34,70.5,5588,37543,50.5,73.9,A,L3,0
354,72.04,2.13,90.8,4035,115140,53.9,74.4,A,L2,0
355,43.49,3.06,81.0,4758,92016,40.6,62.3,C,L1,0
356,79.57,3.5,106.6,6617,46748,55.3,79.5,A,L2,0
357,70.27,3.42,87.4,672,36365,55.3,75.8,A,L2,0
358,60.45,2.48,77.0,3276,62002,37.2,75.0,C,L1,0
359,70.89,1.45,81.0,8930,103907,55.9,85.9,C,L4,1
360,73.99,3.58,86.4,7556,53323,39.1,71.3,C,L1,0
361,58.5,4.12,72.4,4567,93249,32.9,68.9,B,L4,0
362,78.11,1.04,96.5,2356,25582,60.4,68.7,A,L4,0
363,70.55,2.11,88.1,7498,85326,14.9,73.9,A,L4,0
364,73.53,3.47,50.1,152,10133,45.8,52.6,A,L1,0
365,70.83,3.7,112.9,7012,83952,35.6,73.3,C,L2,0
366,72.12,5.27,109.4,6646,35816,18.1,69.7,B,L3,0
367,76.5,3.3,74.5,4968,82084,51.4,62.4,A,L1,0
368,51.96,3.43,88.6,8915,14264,76.0,72.7,A,L4,0
369,71.93,3.3,98.0,1721,52196,56.5,69.4,B,L1,0
370,66.52,1.43,81.1,5868,2834,68.0,75.5,B,L4,0
371,69.78,5.28,79.2,3585,99462,34.6,75.1,C,L2,0
372,65.07,2.8,92.8,4308,42743,57.9,74.5,C,L1,0
373,57.11,1.69,65.0,8798,96460,37.2,74.8,C,L1,0
374,54.47,5.51,75.6,7844,40525,62.6,72.2,B,L3,1
375,58.82,2.2,95.6,5993,104307,70.8,69.1,B,L4,0
376,67.48,7.52,74.5,8012,80496,61.9,67.1,B,L1,1
377,86.58,4.55,76.4,510,35972,30.4,70.3,B,L4,0
378,64.61,2.31,64.7,3417,49176,58.3,69.8,A,L4,0
379,67.2,3.96,52.8,2718,58672,21.9,78.0,A,L3,0
380,62.62,,78.2,1095,38354,63.5,68.7,B,L2,0
381,75.73,3.06,,8682,56366,24.7,72.8,A,L3,0
382,55.62,4.55,62.1,1613,3204,47.4,69.1,A,L4,0
383,47.61,5.14,101.6,7077,18439,59.8,63.7,B,L4,0
384,72.44,5.75,95.3,3255,13202,61.8,69.5,B,L4,0
385,71.99,2.95,82.2,605,46518,70.9,60.7,C,L2,0
386,69.56,2.07,63.6,562,113743,48.9,61.5,A,L4,0
387,60.27,3.05,106.3,8135,3134,33.1,72.7,A,L4,0
388,77.4,4.15,84.7,7144,78694,45.7,73.1,C,L3,0
389,77.15,4.16,84.1,8570,109139,43.4,57.4,C,L3,1
390,52.09,3.21,91.8,7481,109810,43.4,60.9,A,L1,0
391,58.43,2.35,,8610,17810,42.5,68.3,A,L3,0
392,73.48,3.07,87.1,4793,108133,33.1,75.1,A,L1,0
393,69.09,1.19,103.0,7642,116491,48.8,70.1,B,L1,0
394,68.24,2.76,94.0,8206,116334,48.5,84.7,B,L4,0
395,74.17,2.25,72.4,5267,49320,45.2,57.4,B,L4,0
396,64.19,2.58,99.2,5944,60062,39.6,70.9,B,L1,0
397,58.23,3.41,86.7,3085,53305,55.5,81.6,B,L3,0
