fecha_hora,pm25_ug_m3,pm10_ug_m3,no2_ppb,co_ppm,temperatura_c,humedad_pct,viento_m_s,estacion,tipo_dia,target_alerta_calidad_aire
2024-01-12 18:00:00,22.36,41.29,57.01,0.61,10.2,63.4,6.0,norte,laboral,0
2024-01-13 00:00:00,12.43,24.44,33.58,1.6,12.0,60.1,3.03,industrial,laboral,0
2024-01-13 06:00:00,53.94,68.37,36.1,1.05,9.9,67.1,0.96,norte,laboral,1
2024-01-13 12:00:00,25.01,34.53,19.35,1.16,12.1,38.8,3.31,sur,laboral,0
2024-01-13 18:00:00,33.14,24.51,40.07,2.17,12.8,49.6,2.84,centro,laboral,0
2024-01-14 00:00:00,28.84,51.41,22.62,3.25,9.7,52.3,5.76,centro,fin_semana,1
2024-01-14 06:00:00,24.14,45.8,36.93,2.38,18.0,36.9,6.08,centro,feriado,0
2024-01-14 12:00:00,13.49,28.62,39.43,1.33,10.7,44.6,3.54,centro,laboral,0
2024-01-14 18:00:00,9.99,17.05,34.36,0.63,21.7,47.3,6.11,norte,feriado,0
2024-01-15 00:00:00,17.06,32.25,23.56,0.77,12.9,49.5,1.83,sur,laboral,0
2024-01-15 06:00:00,17.49,31.99,57.37,2.28,11.4,42.5,8.57,centro,laboral,0
2024-01-15 12:00:00,9.3,21.23,44.94,0.84,21.7,52.6,6.75,industrial,laboral,0
2024-01-15 18:00:00,8.72,15.16,45.92,0.84,12.5,91.6,4.44,norte,laboral,0
2024-01-16 00:00:00,6.31,16.12,47.09,1.23,17.4,95.3,2.71,centro,laboral,0
2024-01-16 06:00:00,28.83,54.41,32.52,3.68,11.1,66.4,5.6,norte,laboral,0
2024-01-16 12:00:00,30.5,53.84,56.5,1.48,21.2,20.7,6.25,norte,laboral,0
2024-01-16 18:00:00,12.48,21.78,26.4,0.43,24.0,53.5,1.59,sur,feriado,0
2024-01-17 00:00:00,11.06,23.29,39.27,0.57,10.9,79.3,0.54,centro,laboral,0
2024-01-17 06:00:00,13.65,27.46,50.44,0.78,15.3,57.1,5.98,industrial,laboral,0
2024-01-17 12:00:00,11.12,21.87,32.96,1.41,24.0,62.5,2.22,norte,laboral,0
2024-01-17 18:00:00,32.29,56.68,14.95,0.91,21.5,55.6,5.22,sur,laboral,0
2024-01-18 00:00:00,6.84,12.99,19.35,2.13,19.9,43.7,1.93,industrial,laboral,0
2024-01-18 06:00:00,16.96,32.38,25.38,1.02,23.4,80.7,7.24,norte,laboral,0
2024-01-18 12:00:00,41.33,69.82,34.57,1.49,16.7,69.9,4.96,centro,feriado,1
2024-01-18 18:00:00,16.92,22.51,60.99,0.42,12.7,40.0,2.63,sur,laboral,0
2024-01-19 00:00:00,30.89,45.48,56.33,0.64,12.0,65.2,0.71,industrial,laboral,1
2024-01-19 06:00:00,10.87,18.4,34.87,0.76,2.8,72.4,1.22,centro,laboral,0
2024-01-19 12:00:00,28.2,42.79,75.36,1.29,18.2,64.8,0.55,sur,fin_semana,1
2024-01-19 18:00:00,7.63,17.78,38.17,1.36,17.6,54.9,2.89,norte,feriado,0
2024-01-20 00:00:00,27.34,47.3,78.02,1.1,12.9,49.5,1.71,norte,laboral,1
2024-01-20 06:00:00,7.25,13.95,28.33,0.81,20.1,75.8,6.43,centro,laboral,0
2024-01-20 12:00:00,13.27,21.16,43.32,0.76,18.9,78.9,4.1,centro,laboral,0
2024-01-20 18:00:00,24.92,48.16,16.0,0.65,6.3,59.6,5.92,norte,laboral,0
2024-01-21 00:00:00,23.43,39.17,39.96,0.73,25.1,42.2,3.03,industrial,laboral,0
2024-01-21 06:00:00,44.32,70.52,75.61,0.66,14.9,60.7,1.75,industrial,fin_semana,1
2024-01-21 12:00:00,5.33,10.55,18.94,0.83,22.2,75.0,1.4,industrial,fin_semana,0
2024-01-21 18:00:00,22.46,51.69,37.02,2.23,3.2,28.7,6.18,norte,laboral,0
2024-01-22 00:00:00,31.22,38.71,22.06,1.04,13.7,70.2,4.47,centro,laboral,0
2024-01-22 06:00:00,57.36,128.14,19.67,0.84,11.3,73.4,2.91,norte,laboral,1
2024-01-22 12:00:00,14.29,21.26,55.55,0.3,19.9,19.4,5.73,sur,laboral,0
2024-01-22 18:00:00,16.93,32.23,31.22,1.52,16.2,64.7,0.96,centro,laboral,1
2024-01-23 00:00:00,26.51,49.56,41.04,0.47,9.7,80.6,1.25,norte,laboral,1
2024-01-23 06:00:00,7.51,16.99,49.97,1.0,8.6,69.7,1.91,centro,laboral,0
2024-01-23 12:00:00,16.71,19.85,26.57,1.01,10.8,86.7,1.82,norte,laboral,0
2024-01-23 18:00:00,33.45,66.36,41.22,1.78,17.9,47.9,0.94,industrial,laboral,1
2024-01-24 00:00:00,39.64,84.18,,0.79,28.2,85.3,4.37,sur,fin_semana,1
2024-01-24 06:00:00,40.55,76.83,50.04,1.96,35.0,84.1,2.31,norte,fin_semana,1
2024-01-24 12:00:00,10.6,24.69,26.15,0.86,14.7,87.7,3.02,centro,fin_semana,0
2024-01-24 18:00:00,20.86,38.34,38.99,1.65,4.1,64.8,0.45,industrial,laboral,1
2024-01-25 00:00:00,28.23,43.33,48.96,0.99,10.2,49.2,2.14,centro,laboral,0
2024-01-25 06:00:00,45.85,115.71,23.85,0.65,14.2,54.5,5.22,sur,laboral,0
2024-01-25 12:00:00,11.63,17.39,22.03,1.16,22.8,38.2,0.59,centro,laboral,0
2024-01-25 18:00:00,39.68,75.7,24.19,0.95,17.7,54.7,4.64,centro,fin_semana,0
2024-01-26 00:00:00,10.49,23.45,14.09,1.57,25.5,79.6,4.84,sur,feriado,0
2024-01-26 06:00:00,16.49,30.22,51.67,0.58,18.3,51.2,0.6,centro,laboral,0
2024-01-26 12:00:00,17.37,37.34,32.69,2.33,25.3,82.9,1.61,sur,fin_semana,0
2024-01-26 18:00:00,45.02,87.8,50.48,1.55,13.5,83.4,0.94,centro,laboral,1
2024-01-27 00:00:00,25.26,49.72,41.55,1.72,26.3,79.6,3.95,centro,feriado,0
2024-01-27 06:00:00,11.22,21.77,22.21,1.84,15.4,61.1,8.03,norte,fin_semana,0
2024-01-27 12:00:00,31.01,39.41,39.48,0.79,19.7,79.8,5.49,norte,fin_semana,0
2024-01-27 18:00:00,24.11,35.33,20.66,1.3,26.4,98.0,2.34,sur,laboral,0
2024-01-28 00:00:00,32.51,48.62,22.16,2.38,13.2,51.2,1.71,sur,laboral,1
2024-01-28 06:00:00,24.9,51.08,31.92,1.24,23.7,62.7,0.49,norte,feriado,0
2024-01-28 12:00:00,56.92,131.46,64.86,1.74,20.2,64.4,3.49,sur,laboral,1
2024-01-28 18:00:00,9.12,19.28,41.2,1.62,7.0,53.4,0.65,centro,feriado,0
2024-01-29 00:00:00,18.13,33.7,45.15,0.66,22.6,65.8,1.43,sur,laboral,0
2024-01-29 06:00:00,27.81,33.78,6.72,1.75,11.1,86.6,1.77,sur,laboral,0
2024-01-29 12:00:00,46.11,89.16,48.07,3.6,8.8,70.5,3.42,sur,fin_semana,1
2024-01-29 18:00:00,29.66,60.4,59.41,1.46,21.8,81.7,2.46,sur,laboral,1
2024-01-30 00:00:00,18.64,47.67,42.1,1.21,16.6,58.4,2.05,norte,fin_semana,0
2024-01-30 06:00:00,10.53,17.13,51.79,1.25,14.8,89.8,4.17,industrial,laboral,0
2024-01-30 12:00:00,32.6,55.05,27.45,3.27,13.7,65.2,2.99,centro,laboral,0
2024-01-30 18:00:00,20.11,26.23,34.25,1.66,11.1,95.9,10.0,norte,laboral,0
2024-01-31 00:00:00,17.42,40.59,29.77,1.95,25.4,66.2,8.24,sur,feriado,0
2024-01-31 06:00:00,30.6,56.39,23.47,2.41,14.4,70.6,2.8,industrial,laboral,1
2024-01-31 12:00:00,26.23,52.81,38.74,1.47,20.0,83.5,2.74,centro,fin_semana,0
2024-01-31 18:00:00,37.69,68.22,45.24,0.84,27.7,70.5,3.57,norte,fin_semana,0
2024-02-01 00:00:00,33.22,46.73,21.91,0.91,22.1,34.4,3.35,industrial,laboral,0
2024-02-01 06:00:00,29.0,74.35,73.48,0.6,17.2,80.7,2.64,sur,laboral,1
2024-02-01 12:00:00,38.74,89.26,25.83,1.69,23.8,48.2,2.13,centro,laboral,0
2024-02-01 18:00:00,18.17,28.2,72.36,2.47,21.4,87.4,2.44,sur,laboral,0
2024-02-02 00:00:00,14.26,28.41,43.43,0.64,15.1,60.8,1.04,industrial,fin_semana,0
2024-02-02 06:00:00,23.78,29.67,48.7,0.94,11.9,71.3,2.2,centro,laboral,0
2024-02-02 12:00:00,17.67,25.32,64.67,0.62,12.1,60.4,0.95,centro,fin_semana,1
2024-02-02 18:00:00,24.29,40.41,31.56,1.65,19.3,83.2,8.71,norte,laboral,0
2024-02-03 00:00:00,18.09,31.77,29.35,0.86,7.6,50.3,7.79,sur,laboral,0
2024-02-03 06:00:00,24.54,59.28,40.66,1.35,7.9,54.6,12.0,norte,fin_semana,0
2024-02-03 12:00:00,30.2,55.77,69.0,0.73,18.1,96.5,1.28,industrial,laboral,1
2024-02-03 18:00:00,4.88,8.57,11.13,0.94,25.8,60.0,5.33,norte,fin_semana,0
2024-02-04 00:00:00,23.62,47.91,53.97,0.68,7.8,52.2,4.13,sur,fin_semana,0
2024-02-04 06:00:00,18.48,31.47,23.62,0.48,10.4,58.7,2.53,industrial,fin_semana,0
2024-02-04 12:00:00,25.56,52.03,24.85,0.59,25.6,75.1,1.41,centro,laboral,1
2024-02-04 18:00:00,33.79,75.62,45.08,1.62,24.2,71.7,1.11,industrial,laboral,1
2024-02-05 00:00:00,43.72,99.43,9.1,1.21,31.2,43.8,3.23,norte,laboral,0
2024-02-05 06:00:00,31.74,61.33,39.54,2.51,24.8,39.5,3.12,sur,laboral,1
2024-02-05 12:00:00,27.84,63.59,47.44,1.83,6.7,70.8,5.23,industrial,laboral,1
2024-02-05 18:00:00,20.32,35.77,24.15,0.44,6.4,77.4,4.37,norte,laboral,0
2024-02-06 00:00:00,23.95,45.43,39.38,0.36,9.9,71.4,2.47,sur,laboral,0
2024-02-06 06:00:00,5.13,6.88,35.63,1.87,23.2,55.2,2.61,industrial,laboral,0
2024-02-06 12:00:00,11.22,27.01,22.21,0.59,23.1,74.5,3.16,centro,fin_semana,0
2024-02-06 18:00:00,9.93,9.19,43.92,2.86,11.2,77.5,2.5,norte,laboral,1
2024-02-07 00:00:00,37.1,71.46,13.56,1.45,19.7,96.3,4.07,sur,fin_semana,0
2024-02-07 06:00:00,16.63,31.25,31.85,0.64,11.6,70.1,1.86,norte,laboral,0
2024-02-07 12:00:00,15.91,30.38,25.84,0.65,19.5,75.9,1.74,industrial,fin_semana,0
2024-02-07 18:00:00,37.01,63.14,25.6,0.74,14.3,46.0,1.87,centro,laboral,1
2024-02-08 00:00:00,43.12,64.04,28.09,1.11,13.3,76.2,0.45,centro,laboral,0
2024-02-08 06:00:00,20.17,47.37,22.88,1.39,11.8,32.7,2.74,centro,laboral,0
2024-02-08 12:00:00,19.74,41.8,19.48,0.65,3.6,90.3,2.26,centro,laboral,0
2024-02-08 18:00:00,22.61,28.54,,0.57,29.5,80.3,2.67,sur,laboral,1
2024-02-09 00:00:00,18.94,41.34,58.95,1.1,18.2,36.5,2.48,centro,fin_semana,0
2024-02-09 06:00:00,2.83,5.0,34.23,1.49,11.9,70.7,3.9,norte,laboral,0
2024-02-09 12:00:00,52.72,72.95,40.26,1.93,16.7,79.3,1.14,industrial,laboral,1
2024-02-09 18:00:00,20.85,33.89,29.46,1.32,20.9,51.0,0.55,norte,laboral,0
2024-02-10 00:00:00,27.25,42.05,36.17,1.25,10.4,64.2,5.31,norte,laboral,0
2024-02-10 06:00:00,10.69,21.12,18.38,2.15,9.4,69.8,2.21,centro,laboral,0
2024-02-10 12:00:00,11.45,25.66,42.56,1.33,11.5,44.8,2.39,sur,laboral,0
2024-02-10 18:00:00,20.93,48.46,26.15,1.17,10.4,33.4,4.27,sur,laboral,0
2024-02-11 00:00:00,23.52,55.26,16.65,1.24,11.1,58.6,0.98,centro,fin_semana,0
2024-02-11 06:00:00,36.35,68.49,42.79,0.75,15.5,82.0,6.71,sur,laboral,0
2024-02-11 12:00:00,,83.87,30.19,1.05,15.8,55.3,1.97,industrial,fin_semana,0
2024-02-11 18:00:00,19.89,41.74,25.12,0.47,18.1,79.2,1.72,industrial,fin_semana,0
2024-02-12 00:00:00,15.33,30.58,45.49,2.04,11.2,26.9,4.69,centro,laboral,0
2024-02-12 06:00:00,60.85,133.58,47.2,1.3,13.5,49.7,2.55,industrial,laboral,0
2024-02-12 12:00:00,33.31,86.12,76.17,2.47,16.5,72.6,1.1,sur,laboral,1
2024-02-12 18:00:00,43.98,81.33,31.96,1.36,10.5,24.3,2.38,industrial,laboral,1
2024-02-13 00:00:00,48.75,76.11,25.12,1.05,8.6,46.5,3.48,sur,feriado,1
2024-02-13 06:00:00,25.19,,28.73,1.18,4.2,72.8,1.28,sur,laboral,0
2024-02-13 12:00:00,7.26,9.28,72.82,1.09,15.9,59.0,11.06,norte,laboral,0
2024-02-13 18:00:00,16.19,23.7,34.5,0.39,20.3,76.2,3.21,norte,fin_semana,0
2024-02-14 00:00:00,12.51,26.11,14.41,1.01,16.6,36.9,5.13,sur,fin_semana,0
2024-02-14 06:00:00,5.85,8.11,91.45,1.15,14.5,76.3,2.55,sur,laboral,0
2024-02-14 12:00:00,17.04,32.54,26.32,0.6,13.1,43.8,2.98,norte,laboral,0
2024-02-14 18:00:00,18.87,24.35,43.26,0.56,31.4,65.0,3.97,sur,fin_semana,0
2024-02-15 00:00:00,33.99,60.01,,2.09,27.7,61.4,3.38,centro,laboral,1
2024-02-15 06:00:00,20.23,40.31,35.38,1.86,19.4,76.5,3.01,industrial,laboral,0
2024-02-15 12:00:00,21.95,43.67,42.19,0.85,13.8,33.2,3.41,centro,laboral,0
2024-02-15 18:00:00,22.35,51.69,21.56,0.24,19.0,72.1,0.68,norte,laboral,0
2024-02-16 00:00:00,15.11,16.54,50.12,1.36,20.9,60.7,4.46,sur,laboral,0
2024-02-16 06:00:00,,47.08,37.3,1.18,-0.3,54.9,5.48,sur,laboral,0
2024-02-16 12:00:00,8.09,17.46,46.06,1.94,12.8,44.6,1.14,centro,laboral,0
2024-02-16 18:00:00,14.61,24.22,50.56,1.07,17.3,35.3,1.9,sur,laboral,0
2024-02-17 00:00:00,22.76,45.07,43.5,1.17,8.9,60.3,2.19,centro,feriado,0
2024-02-17 06:00:00,7.92,13.55,28.13,2.29,14.5,80.1,4.24,norte,laboral,0
2024-02-17 12:00:00,40.95,64.61,28.45,1.57,16.1,58.8,0.19,sur,laboral,0
2024-02-17 18:00:00,20.11,33.28,16.42,0.77,11.7,70.9,2.06,norte,laboral,0
2024-02-18 00:00:00,18.03,43.67,22.95,1.85,8.7,64.7,2.22,sur,laboral,1
2024-02-18 06:00:00,15.19,27.47,41.53,0.52,26.8,87.3,1.41,centro,laboral,0
2024-02-18 12:00:00,14.31,30.52,30.99,0.6,16.1,51.6,2.11,sur,laboral,0
2024-02-18 18:00:00,11.38,18.51,59.67,1.17,14.7,60.5,1.97,norte,laboral,0
2024-02-19 00:00:00,26.72,52.08,9.85,1.21,9.9,53.5,1.02,norte,laboral,0
2024-02-19 06:00:00,22.23,48.23,44.57,3.42,25.7,94.2,1.87,norte,laboral,0
2024-02-19 12:00:00,29.35,65.97,21.82,1.04,33.3,61.4,3.53,centro,laboral,1
2024-02-19 18:00:00,16.88,28.15,10.65,0.59,26.5,81.5,2.21,centro,fin_semana,0
2024-02-20 00:00:00,8.55,12.62,33.41,2.58,29.8,68.2,2.4,norte,laboral,0
2024-02-20 06:00:00,27.31,48.51,17.14,2.23,14.8,57.6,3.23,sur,feriado,0
2024-02-20 12:00:00,26.3,48.36,42.57,0.9,20.3,63.8,1.45,industrial,laboral,1
2024-02-20 18:00:00,2.76,5.09,93.85,0.72,14.9,63.8,3.13,centro,fin_semana,0
2024-02-21 00:00:00,10.18,18.97,20.27,0.58,6.6,54.2,1.74,norte,fin_semana,0
2024-02-21 06:00:00,14.04,31.96,32.13,2.25,8.3,61.8,4.89,sur,laboral,0
2024-02-21 12:00:00,18.3,39.39,16.54,1.01,1.3,44.5,6.75,sur,fin_semana,0
2024-02-21 18:00:00,9.15,17.61,17.92,1.85,21.3,35.5,3.09,centro,laboral,0
2024-02-22 00:00:00,41.99,89.0,42.62,0.61,14.0,73.6,1.34,sur,fin_semana,0
2024-02-22 06:00:00,31.78,68.57,29.45,0.98,26.0,50.6,0.75,norte,fin_semana,0
2024-02-22 12:00:00,23.71,45.82,19.78,1.99,28.3,44.2,3.93,norte,fin_semana,0
2024-02-22 18:00:00,48.74,93.63,57.69,1.83,26.4,98.0,3.53,norte,laboral,1
2024-02-23 00:00:00,16.57,23.21,36.04,1.9,7.4,20.3,4.41,norte,laboral,0
2024-02-23 06:00:00,14.69,38.47,37.52,2.56,17.1,44.3,8.45,industrial,fin_semana,0
2024-02-23 12:00:00,18.66,35.83,19.21,0.5,30.7,37.1,2.25,norte,laboral,0
2024-02-23 18:00:00,18.85,30.34,19.93,1.07,14.2,98.0,2.18,centro,laboral,0
2024-02-24 00:00:00,18.82,24.71,31.39,1.35,16.7,49.0,2.24,centro,laboral,0
2024-02-24 06:00:00,26.49,51.08,22.67,0.6,10.3,50.1,4.63,norte,laboral,0
2024-02-24 12:00:00,11.69,23.92,34.8,1.04,22.8,98.0,1.77,sur,laboral,0
2024-02-24 18:00:00,16.9,34.02,40.53,1.42,24.8,47.4,4.65,industrial,laboral,0
2024-02-25 00:00:00,12.21,24.17,44.85,1.74,12.1,38.3,0.98,sur,laboral,1
2024-02-25 06:00:00,78.1,66.98,36.43,4.31,13.1,52.6,4.36,centro,fin_semana,1
2024-02-25 12:00:00,11.81,28.27,20.61,3.71,25.2,25.6,1.99,industrial,laboral,1
2024-02-25 18:00:00,37.91,67.92,35.52,1.71,20.1,25.5,2.84,centro,fin_semana,1
2024-02-26 00:00:00,23.17,33.4,18.2,0.7,9.4,75.0,2.51,centro,laboral,0
2024-02-26 06:00:00,20.12,34.63,29.39,2.53,14.6,44.0,4.71,norte,laboral,0
2024-02-26 12:00:00,45.11,92.93,35.95,0.54,25.3,38.5,0.21,industrial,laboral,1
2024-02-26 18:00:00,24.21,46.44,44.37,0.76,18.6,66.1,4.87,centro,fin_semana,0
2024-02-27 00:00:00,33.01,85.45,29.73,0.6,17.5,48.9,5.06,norte,fin_semana,0
2024-02-27 06:00:00,15.97,31.97,28.64,1.48,10.6,64.4,1.8,centro,laboral,0
2024-02-27 12:00:00,42.64,70.19,29.81,0.92,9.7,85.1,2.25,sur,laboral,1
2024-02-27 18:00:00,8.69,18.58,27.14,1.56,14.6,80.0,3.15,industrial,laboral,0
2024-02-28 00:00:00,42.43,78.37,12.24,0.39,2.8,44.2,3.57,industrial,fin_semana,0
2024-02-28 06:00:00,30.53,64.35,28.94,1.75,27.0,74.9,0.65,industrial,laboral,1
2024-02-28 12:00:00,14.52,29.83,24.54,3.11,11.8,53.6,4.07,sur,fin_semana,0
2024-02-28 18:00:00,26.22,43.89,45.05,0.77,11.7,65.3,2.65,sur,laboral,0
2024-02-29 00:00:00,36.44,69.63,54.18,0.91,18.7,47.2,6.66,centro,laboral,0
2024-02-29 06:00:00,23.71,39.7,53.66,2.74,11.7,64.7,11.71,sur,laboral,0
2024-02-29 12:00:00,17.77,33.95,48.34,0.29,16.7,76.1,1.79,centro,laboral,0
2024-02-29 18:00:00,15.92,29.03,40.64,0.82,21.6,68.0,7.17,sur,laboral,0
2024-03-01 00:00:00,16.36,30.49,35.04,1.92,15.1,94.5,2.51,norte,fin_semana,0
2024-03-01 06:00:00,40.89,61.34,32.68,0.17,20.8,58.1,1.36,centro,laboral,0
2024-03-01 12:00:00,55.18,122.65,19.75,2.01,15.2,45.0,4.37,industrial,fin_semana,1
2024-03-01 18:00:00,28.26,64.58,16.08,1.75,17.9,68.5,6.63,centro,fin_semana,0
2024-03-02 00:00:00,26.66,58.38,43.38,1.22,3.9,74.0,2.39,norte,laboral,0
2024-03-02 06:00:00,18.64,44.5,19.33,0.91,15.4,73.6,2.0,centro,fin_semana,0
2024-03-02 12:00:00,17.47,18.46,22.19,2.07,18.8,77.5,1.26,industrial,laboral,1
2024-03-02 18:00:00,23.1,36.39,17.55,2.2,16.8,98.0,2.29,centro,laboral,1
2024-03-03 00:00:00,20.44,32.73,48.92,0.95,22.5,65.7,1.42,sur,laboral,0
2024-03-03 06:00:00,32.02,42.56,27.71,1.09,20.2,67.5,2.99,norte,laboral,0
2024-03-03 12:00:00,10.92,23.83,47.69,2.53,16.3,74.8,4.07,sur,laboral,0
2024-03-03 18:00:00,19.52,38.59,9.97,0.61,14.8,77.7,4.14,centro,laboral,0
2024-03-04 00:00:00,20.86,37.71,30.26,1.38,20.0,33.9,2.26,norte,fin_semana,1
2024-03-04 06:00:00,17.82,36.27,50.56,0.33,18.5,75.9,6.37,norte,laboral,0
2024-03-04 12:00:00,28.82,64.05,48.27,0.45,20.0,60.0,1.91,sur,laboral,0
2024-03-04 18:00:00,25.55,53.67,58.04,1.46,11.2,52.8,5.67,norte,laboral,0
2024-03-05 00:00:00,33.99,71.54,41.48,0.51,23.2,61.3,6.13,industrial,laboral,0
2024-03-05 06:00:00,18.54,44.37,43.36,1.42,14.7,55.1,3.38,sur,laboral,1
2024-03-05 12:00:00,19.07,36.33,11.56,1.85,15.8,50.9,0.17,industrial,fin_semana,0
2024-03-05 18:00:00,84.6,186.74,19.66,0.69,7.7,85.9,1.99,sur,laboral,1
2024-03-06 00:00:00,25.81,48.94,62.6,2.76,20.1,63.8,2.95,centro,laboral,0
2024-03-06 06:00:00,20.45,31.85,24.72,1.56,28.9,73.1,2.12,norte,feriado,0
2024-03-06 12:00:00,16.47,31.68,51.09,0.56,15.7,75.4,1.92,industrial,laboral,0
2024-03-06 18:00:00,48.04,96.39,55.06,1.55,10.8,69.7,4.25,sur,laboral,1
2024-03-07 00:00:00,18.02,40.08,28.9,3.03,17.8,98.0,3.27,norte,laboral,1
2024-03-07 06:00:00,11.74,21.77,41.12,1.84,28.6,63.0,5.2,norte,laboral,0
2024-03-07 12:00:00,60.78,103.42,22.94,0.62,1.1,93.5,2.35,industrial,laboral,1
2024-03-07 18:00:00,18.44,42.22,48.45,1.78,15.8,59.3,1.6,industrial,laboral,0
2024-03-08 00:00:00,8.66,18.51,33.99,1.26,10.6,44.4,0.79,industrial,laboral,1
2024-03-08 06:00:00,,39.45,32.93,1.5,16.9,42.2,2.16,centro,laboral,0
2024-03-08 12:00:00,8.54,17.09,49.85,2.26,9.9,47.2,2.72,norte,fin_semana,0
2024-03-08 18:00:00,18.62,34.22,67.72,0.94,10.9,59.3,1.8,centro,laboral,0
2024-03-09 00:00:00,26.29,41.09,27.73,0.66,32.0,60.1,5.56,sur,laboral,0
