id_estudiante,edad,asistencia_pct,horas_estudio_semana,tareas_entregadas_pct,promedio_previo,atrasos_mes,participa_clase,uso_plataforma_horas,jornada,area_carrera,target_riesgo_academico
41,30,100.0,19.5,91.1,4.73,4,0,2.1,diurna,administracion,0
42,40,56.9,10.4,79.9,4.33,1,0,5.4,vespertina,administracion,1
43,42,68.3,8.3,44.0,4.25,0,0,5.1,diurna,ingenieria,1
44,34,100.0,6.1,36.8,6.05,0,1,7.1,vespertina,administracion,0
45,44,71.3,4.9,76.6,5.64,5,0,6.5,diurna,educacion,0
46,25,77.5,3.6,43.8,6.44,2,0,2.6,vespertina,administracion,1
47,22,67.9,5.3,59.2,3.82,3,1,9.1,diurna,salud,1
48,19,79.0,3.7,100.0,5.48,1,0,7.1,diurna,educacion,0
49,37,79.0,14.0,59.2,5.28,0,1,5.9,diurna,ingenieria,0
50,28,68.5,4.2,79.4,4.19,2,0,3.4,diurna,ingenieria,0
51,40,100.0,2.7,87.9,4.56,0,0,6.1,diurna,salud,0
52,27,57.1,8.5,90.4,4.81,5,1,8.1,diurna,administracion,1
53,38,88.0,8.4,55.8,4.53,1,1,3.2,vespertina,educacion,0
54,21,100.0,20.0,58.6,5.69,0,1,7.8,diurna,ingenieria,0
55,31,77.3,8.0,86.3,4.76,0,1,3.5,online,salud,0
56,31,100.0,4.4,55.9,4.55,2,1,4.2,online,ingenieria,0
57,36,52.2,4.3,85.5,5.94,2,1,0.0,vespertina,educacion,0
58,20,78.8,6.1,67.0,4.53,2,0,4.8,vespertina,ingenieria,0
59,33,67.8,3.1,96.6,6.04,0,1,7.1,diurna,administracion,0
60,25,57.7,4.2,100.0,,2,0,0.0,vespertina,ingenieria,1
61,35,80.7,3.4,97.0,,3,1,5.8,online,administracion,0
62,20,65.2,9.2,80.4,5.39,2,0,9.0,diurna,salud,0
63,22,54.7,4.8,73.5,3.99,1,0,7.0,diurna,ingenieria,0
64,32,100.0,4.0,64.3,4.15,2,1,11.2,diurna,salud,0
65,29,84.4,9.7,85.4,5.9,2,0,10.8,diurna,ingenieria,0
66,42,83.7,9.3,78.0,5.53,0,1,8.9,vespertina,educacion,0
67,29,61.5,2.3,44.0,6.18,2,1,2.5,diurna,salud,1
68,32,78.3,9.4,64.3,5.2,1,0,1.2,diurna,educacion,0
69,44,96.3,2.3,68.8,4.63,3,1,7.7,vespertina,educacion,0
70,33,89.9,3.0,32.9,5.56,2,1,2.5,diurna,ingenieria,0
71,31,65.6,19.2,84.7,4.08,3,0,0.0,vespertina,administracion,0
72,30,82.6,11.0,33.5,7.0,2,0,0.0,diurna,administracion,0
73,24,52.8,4.1,70.6,4.15,1,1,9.3,diurna,administracion,1
74,22,100.0,8.2,58.4,6.43,0,1,0.0,diurna,educacion,0
75,18,79.7,10.2,65.3,4.19,2,0,2.6,vespertina,educacion,1
76,41,100.0,9.1,51.2,5.94,1,0,7.1,online,salud,0
77,32,71.1,3.0,70.2,3.59,2,0,8.1,diurna,salud,1
78,43,90.5,1.2,70.2,5.12,5,1,6.1,diurna,administracion,0
79,39,95.5,4.3,87.7,4.83,0,0,6.5,diurna,administracion,0
80,27,78.3,6.2,72.2,5.7,0,1,6.0,vespertina,salud,0
81,28,68.8,4.1,98.6,6.37,0,1,14.9,diurna,salud,0
82,26,79.1,7.2,98.9,5.75,2,0,7.0,diurna,administracion,0
83,21,82.7,11.3,96.3,5.27,1,0,8.7,vespertina,salud,0
84,35,70.4,6.6,88.8,4.14,1,0,6.3,diurna,ingenieria,0
85,34,58.6,4.7,71.8,6.03,1,1,4.7,vespertina,administracion,0
86,31,73.3,3.9,71.9,3.54,2,1,3.2,diurna,ingenieria,1
87,24,62.2,5.7,94.2,4.39,1,0,2.8,online,ingenieria,0
88,39,98.4,15.8,84.4,5.35,0,1,3.1,vespertina,educacion,0
89,34,67.1,3.1,95.1,4.82,3,0,3.5,diurna,administracion,1
90,38,78.3,11.6,71.7,4.7,2,1,3.4,diurna,educacion,0
91,22,64.1,5.0,76.1,4.59,1,1,4.6,vespertina,salud,0
92,31,83.2,7.2,64.6,6.4,0,0,7.5,diurna,educacion,0
93,20,86.2,3.0,46.3,3.38,2,1,3.9,diurna,ingenieria,1
94,25,79.9,3.2,63.2,5.72,1,0,5.0,vespertina,salud,1
95,22,71.5,1.7,57.3,4.47,2,1,13.6,diurna,salud,0
96,21,83.3,5.3,77.7,4.75,2,1,5.2,vespertina,administracion,0
97,32,81.0,7.4,98.8,4.18,1,0,8.0,vespertina,ingenieria,0
98,25,83.9,7.6,79.0,3.65,2,1,6.8,diurna,ingenieria,0
99,30,72.2,,43.3,4.43,2,1,7.0,vespertina,salud,0
100,23,67.7,8.6,96.3,5.23,2,1,6.4,vespertina,ingenieria,0
101,36,66.4,12.5,52.9,4.57,3,1,0.0,vespertina,educacion,0
102,19,68.1,4.8,68.0,4.39,0,0,7.9,vespertina,salud,0
103,19,72.5,10.1,87.7,5.88,1,1,4.8,vespertina,administracion,0
104,30,71.6,4.3,100.0,4.13,3,1,8.7,vespertina,salud,0
105,18,94.3,0.7,62.4,5.01,4,1,5.1,online,administracion,1
106,40,91.1,4.2,68.1,4.44,1,1,2.1,online,salud,0
107,26,71.6,8.0,94.4,4.87,2,0,4.8,diurna,salud,0
108,37,45.9,10.2,81.6,5.24,0,0,0.0,online,administracion,1
109,31,83.5,9.4,96.7,4.87,1,0,0.0,diurna,ingenieria,0
110,38,75.9,13.9,50.3,5.59,2,0,0.0,diurna,administracion,0
111,41,95.5,6.4,100.0,4.16,0,0,4.5,diurna,ingenieria,0
112,28,65.8,1.0,84.7,5.98,4,0,2.6,vespertina,salud,1
113,27,,2.2,65.7,4.63,9,1,8.5,vespertina,educacion,1
114,22,69.4,2.9,67.9,4.55,4,1,3.4,diurna,ingenieria,1
115,23,97.7,4.5,88.3,5.25,1,1,6.5,diurna,educacion,0
116,20,57.9,,28.4,3.78,0,1,8.8,diurna,educacion,1
117,39,71.3,9.0,75.6,3.19,5,1,3.2,diurna,administracion,1
118,30,89.1,5.8,62.4,5.84,2,1,6.2,vespertina,salud,0
119,24,94.2,5.5,81.1,4.25,3,1,5.3,vespertina,administracion,0
120,36,72.4,5.4,97.2,,1,1,0.6,diurna,educacion,0
121,21,79.7,10.1,93.3,4.26,4,1,12.7,vespertina,salud,0
122,40,74.3,12.1,79.6,4.2,1,0,10.3,diurna,educacion,0
123,21,78.1,4.8,88.8,6.86,1,1,2.5,online,administracion,0
124,37,76.0,4.4,64.8,7.0,2,1,4.9,vespertina,salud,0
125,41,84.9,11.2,64.1,4.13,0,1,10.0,vespertina,ingenieria,0
126,20,74.8,3.3,80.3,4.57,0,0,6.7,diurna,ingenieria,0
127,23,69.8,3.7,100.0,5.35,1,0,7.4,vespertina,ingenieria,0
128,39,69.0,9.0,100.0,4.51,1,0,12.1,diurna,administracion,0
129,43,100.0,14.5,62.3,4.92,2,1,6.4,online,ingenieria,0
130,35,53.7,4.0,58.5,4.51,0,1,2.8,vespertina,ingenieria,1
131,44,,5.7,99.8,5.45,2,1,8.4,diurna,ingenieria,0
132,27,82.1,10.3,60.8,5.0,0,1,7.3,diurna,administracion,0
133,34,62.9,9.2,53.5,3.36,1,1,7.0,diurna,salud,0
134,27,79.2,7.1,85.5,5.21,1,1,5.1,online,administracion,0
135,30,78.9,2.1,87.8,4.28,4,0,7.3,online,ingenieria,1
136,26,64.0,8.9,69.6,3.29,5,0,3.9,vespertina,ingenieria,1
137,40,79.4,8.3,62.5,6.38,2,0,5.0,online,educacion,0
138,19,93.8,7.4,80.1,6.57,0,0,8.4,diurna,ingenieria,0
139,37,55.6,14.9,50.0,4.75,0,0,6.0,diurna,salud,0
140,36,89.4,8.2,85.7,4.54,2,1,6.9,vespertina,administracion,0
141,43,72.4,,100.0,4.23,3,1,8.8,diurna,administracion,0
142,21,79.1,8.9,80.7,4.09,1,1,7.0,vespertina,salud,0
143,40,75.9,15.6,78.3,6.41,2,1,1.0,diurna,ingenieria,0
144,28,49.8,8.6,78.9,4.44,3,1,2.6,diurna,salud,0
145,37,67.6,6.1,75.0,5.04,0,1,10.0,diurna,ingenieria,0
146,27,49.7,4.6,100.0,5.36,3,0,7.4,diurna,salud,0
147,36,67.7,12.2,47.9,4.14,1,1,2.0,online,administracion,1
148,40,84.7,13.6,74.8,4.13,1,1,5.5,diurna,administracion,0
149,39,75.5,4.2,81.3,5.25,2,0,6.4,vespertina,ingenieria,0
150,36,79.9,2.9,67.5,3.15,1,1,7.0,diurna,salud,1
151,30,60.8,18.4,100.0,5.67,4,0,8.9,vespertina,administracion,0
152,19,96.9,1.8,52.8,4.73,2,1,7.1,diurna,administracion,0
153,28,83.7,2.2,87.9,5.49,2,1,4.8,vespertina,salud,0
154,30,95.6,9.0,100.0,3.93,4,1,11.4,diurna,ingenieria,0
155,18,84.8,6.2,67.6,4.61,2,1,5.3,diurna,ingenieria,0
156,44,77.5,9.5,99.9,3.5,5,1,6.0,diurna,ingenieria,0
157,44,,4.6,83.4,5.96,2,1,3.9,vespertina,administracion,0
158,26,72.0,13.4,75.5,5.31,3,1,7.1,diurna,educacion,0
159,34,81.2,12.3,87.7,5.0,0,0,10.2,diurna,salud,0
160,28,65.1,5.8,100.0,5.44,3,0,6.1,diurna,educacion,0
161,22,95.8,11.7,93.4,5.13,3,1,6.8,diurna,ingenieria,0
162,25,73.4,4.0,61.8,4.39,1,1,6.0,diurna,educacion,0
163,38,78.6,5.7,61.3,4.84,3,1,8.0,diurna,educacion,0
164,44,85.1,20.8,90.2,4.03,1,0,1.0,diurna,administracion,0
165,29,77.8,5.7,55.9,,1,0,7.1,diurna,salud,0
166,23,88.8,8.4,96.3,4.89,4,1,10.1,diurna,ingenieria,0
167,18,100.0,2.2,84.2,6.66,2,1,7.0,vespertina,educacion,0
168,26,85.7,2.2,79.5,5.38,1,1,3.6,online,educacion,0
169,37,49.2,11.3,60.8,6.18,2,1,5.4,diurna,salud,0
170,40,77.2,5.6,44.0,3.81,2,0,3.7,vespertina,administracion,1
171,35,74.6,2.4,85.0,5.99,3,0,4.5,online,salud,0
172,29,89.5,6.0,42.3,5.17,4,0,4.3,online,ingenieria,1
173,22,80.3,6.7,63.9,3.64,1,0,10.5,diurna,educacion,0
174,19,75.6,15.0,98.0,6.33,1,0,3.6,diurna,salud,0
175,19,70.9,3.1,91.2,5.4,1,0,5.8,online,administracion,0
176,31,62.7,,73.7,6.43,2,1,8.2,vespertina,salud,0
177,31,49.3,3.7,69.3,5.09,3,1,1.6,vespertina,salud,1
178,32,100.0,10.8,60.3,4.62,1,0,7.1,diurna,ingenieria,0
179,33,100.0,6.9,98.4,6.06,1,1,5.9,diurna,educacion,0
180,30,57.1,7.7,89.2,5.99,2,1,3.0,diurna,ingenieria,0
181,40,100.0,16.5,90.0,3.22,4,1,6.6,vespertina,administracion,0
182,35,63.2,3.6,71.1,5.73,1,0,3.5,diurna,administracion,1
183,38,56.0,8.4,66.9,4.13,3,1,9.5,online,educacion,1
184,38,77.0,11.6,71.4,,1,0,1.7,diurna,ingenieria,0
185,19,59.1,5.8,88.7,6.03,2,1,3.1,online,salud,0
186,18,68.2,7.4,72.1,4.04,5,1,6.3,online,administracion,1
187,39,58.1,4.5,97.9,4.53,3,1,4.1,online,ingenieria,0
188,27,57.6,5.7,69.4,4.17,0,1,13.8,diurna,ingenieria,0
189,23,78.7,8.0,79.5,4.39,1,1,5.1,diurna,educacion,0
190,37,71.2,6.6,84.5,4.76,1,1,5.6,online,ingenieria,0
191,40,92.5,13.5,66.2,4.86,3,0,7.6,diurna,ingenieria,0
192,30,100.0,10.6,63.6,3.92,2,0,6.0,vespertina,educacion,0
193,33,60.6,3.7,81.3,5.76,1,1,4.3,diurna,ingenieria,0
194,35,62.0,3.1,71.8,5.39,1,0,3.2,diurna,salud,0
195,42,77.9,14.4,100.0,4.9,1,1,6.8,diurna,ingenieria,0
196,18,73.4,0.2,84.9,6.21,2,0,8.9,diurna,ingenieria,0
197,39,76.2,4.4,50.8,5.32,3,1,1.6,diurna,educacion,1
198,43,81.9,2.6,58.0,3.05,1,0,4.9,diurna,administracion,1
199,20,64.7,3.9,100.0,4.18,7,1,2.9,diurna,educacion,1
200,27,75.3,4.0,71.1,5.26,1,1,6.7,online,educacion,0
201,37,78.9,12.0,85.5,5.37,3,1,4.0,diurna,salud,0
202,30,74.5,13.0,33.8,5.09,4,0,5.0,diurna,salud,0
203,30,88.1,5.5,92.5,5.74,0,1,4.6,diurna,salud,0
204,23,94.1,6.3,69.7,4.01,6,1,9.0,diurna,salud,0
205,44,88.0,13.0,100.0,5.97,1,1,10.0,online,salud,0
206,31,93.9,14.5,100.0,4.32,4,1,3.4,online,ingenieria,0
207,34,66.5,6.5,82.8,4.86,0,1,2.8,diurna,educacion,0
208,24,85.3,3.8,60.7,4.29,3,0,6.2,diurna,ingenieria,0
209,44,81.8,4.3,81.1,5.36,2,0,8.8,diurna,administracion,0
210,25,66.5,1.9,100.0,7.0,1,0,3.8,online,ingenieria,0
211,21,88.7,2.8,88.9,,1,1,6.7,vespertina,salud,0
212,21,95.7,3.8,56.3,4.01,1,1,5.5,online,ingenieria,0
213,26,77.2,6.5,100.0,4.11,1,1,2.1,diurna,ingenieria,0
214,26,81.6,7.3,34.9,5.51,2,1,11.5,diurna,administracion,1
215,43,64.7,10.9,52.8,6.28,2,1,6.3,vespertina,ingenieria,0
216,38,63.4,1.2,100.0,5.48,0,0,12.6,diurna,salud,0
217,22,71.1,9.9,48.2,5.7,5,1,7.6,online,ingenieria,1
218,35,78.7,5.9,89.2,3.61,0,1,6.2,vespertina,administracion,0
219,40,98.0,15.9,98.3,3.74,2,0,0.9,diurna,ingenieria,0
220,32,83.2,1.6,58.1,6.08,3,0,5.8,diurna,administracion,0
221,42,84.1,6.9,47.3,5.61,0,1,4.1,diurna,ingenieria,0
222,27,69.8,8.6,87.4,4.56,1,1,8.9,diurna,administracion,0
223,40,82.9,8.3,66.5,6.52,1,1,5.0,online,salud,0
224,32,71.7,6.7,73.2,5.27,0,0,0.9,online,ingenieria,0
225,21,63.2,3.5,69.6,4.83,2,0,3.8,diurna,ingenieria,0
226,32,100.0,11.5,65.0,6.41,1,1,11.5,diurna,educacion,0
227,44,32.4,6.8,68.5,5.21,2,1,5.4,diurna,ingenieria,1
228,41,71.8,11.4,98.0,6.53,1,0,5.3,diurna,ingenieria,0
229,21,71.7,7.0,92.8,4.72,1,1,5.6,diurna,salud,0
230,33,60.2,1.4,64.3,5.41,2,0,5.3,vespertina,ingenieria,1
231,19,74.3,4.2,98.6,3.89,2,0,1.2,diurna,administracion,0
232,43,100.0,9.7,68.3,4.76,0,1,10.9,diurna,administracion,0
233,22,99.3,8.5,100.0,5.14,1,1,6.2,diurna,educacion,0
234,18,62.0,9.4,52.2,5.53,2,0,6.9,diurna,administracion,1
235,43,82.7,6.3,100.0,5.09,3,0,3.2,diurna,ingenieria,0
236,21,46.8,3.7,94.4,4.18,1,1,2.4,diurna,salud,1
237,43,75.9,7.9,76.7,5.14,3,1,6.4,diurna,administracion,0
238,18,56.9,12.4,46.7,5.32,2,1,2.3,vespertina,ingenieria,1
239,22,81.2,8.1,43.4,4.99,1,1,4.1,online,educacion,1
240,19,54.8,8.6,89.8,6.11,3,1,4.2,diurna,salud,0
241,27,100.0,8.1,83.9,5.42,2,1,3.3,diurna,educacion,0
242,23,82.8,4.1,66.2,,1,0,1.7,diurna,ingenieria,0
243,23,87.9,,99.8,5.03,2,1,3.6,diurna,educacion,0
244,20,64.8,2.1,79.6,4.32,5,0,3.3,diurna,educacion,1
245,30,99.6,8.3,82.3,5.67,5,1,11.7,vespertina,salud,0
246,34,58.1,6.8,99.3,4.46,0,1,6.6,diurna,salud,0
247,30,76.3,8.4,96.8,4.83,3,0,5.1,diurna,salud,0
248,26,79.3,3.1,78.8,4.6,0,0,1.0,diurna,educacion,0
249,41,60.5,8.8,37.7,3.67,2,0,2.5,diurna,ingenieria,1
250,44,67.0,2.8,95.3,4.31,5,0,8.7,vespertina,ingenieria,1
251,32,100.0,5.4,59.4,6.07,0,1,5.1,diurna,administracion,0
252,22,68.4,2.2,79.4,6.05,2,1,4.1,online,administracion,0
253,43,77.7,2.7,81.3,5.22,3,0,8.5,diurna,ingenieria,0
254,29,100.0,3.1,91.1,5.54,1,0,0.0,diurna,educacion,0
255,33,66.4,15.2,100.0,4.1,2,1,5.0,vespertina,educacion,0
256,32,53.2,7.3,58.2,5.88,3,1,8.2,diurna,ingenieria,1
257,34,76.7,7.1,85.4,6.23,1,1,3.7,diurna,ingenieria,0
258,20,69.8,8.6,92.6,6.27,3,0,5.2,vespertina,ingenieria,0
259,42,69.0,7.6,80.5,5.98,3,1,4.4,vespertina,ingenieria,0
260,34,68.7,10.7,70.1,4.61,1,1,6.0,vespertina,educacion,0
261,38,100.0,5.3,97.4,6.18,3,1,1.6,diurna,salud,0
262,18,62.3,3.3,62.7,6.37,1,0,8.3,diurna,ingenieria,0
263,31,98.2,8.9,88.6,4.42,4,0,4.7,diurna,educacion,0
264,24,75.1,6.5,32.4,6.56,1,1,7.8,vespertina,salud,0
265,34,55.8,6.2,62.4,4.47,4,1,7.6,online,salud,1
266,22,65.9,12.8,56.1,5.86,2,0,7.6,diurna,salud,0
267,28,68.0,7.6,67.2,,1,1,6.3,online,administracion,0
268,38,70.2,13.4,49.2,4.8,2,1,8.3,online,salud,0
269,24,66.9,8.5,55.1,4.74,4,1,6.2,diurna,administracion,0
270,38,53.9,8.8,59.2,5.18,1,0,7.4,diurna,educacion,1
271,33,,3.1,92.9,4.91,3,0,4.7,vespertina,administracion,0
272,34,57.3,5.8,98.8,4.71,3,0,7.6,diurna,ingenieria,0
273,42,60.9,7.8,94.7,3.81,1,1,3.8,diurna,ingenieria,0
274,33,99.9,3.3,34.8,4.39,1,1,4.3,vespertina,ingenieria,1
275,43,88.0,5.2,69.8,5.43,3,0,7.7,diurna,ingenieria,0
276,25,90.7,11.5,64.9,6.21,2,0,3.8,vespertina,salud,0
277,20,96.3,8.8,58.1,5.53,2,1,4.1,diurna,ingenieria,0
278,32,84.2,7.8,66.6,6.38,2,0,3.7,diurna,educacion,0
279,20,81.5,8.0,88.3,3.17,1,1,0.2,diurna,ingenieria,0
280,23,89.5,9.2,95.1,5.63,2,1,7.6,diurna,salud,0
281,39,90.4,6.5,46.0,5.77,2,0,6.5,vespertina,educacion,0
282,31,89.2,8.0,63.4,5.58,2,0,6.4,diurna,administracion,0
283,21,69.7,2.1,84.5,4.96,1,1,6.1,online,administracion,0
284,30,48.1,6.3,45.9,5.23,2,1,5.1,online,educacion,1
285,21,84.2,17.8,79.0,4.86,0,1,8.9,online,ingenieria,0
286,41,71.5,8.5,96.2,4.55,0,0,3.2,vespertina,ingenieria,0
287,28,83.2,5.9,64.0,3.76,1,1,6.3,diurna,salud,0
288,22,90.2,9.5,56.6,4.15,2,1,7.7,diurna,ingenieria,0
289,23,,4.5,100.0,7.0,0,0,3.8,diurna,ingenieria,0
290,37,86.0,1.2,66.8,5.2,4,0,0.7,diurna,ingenieria,1
291,25,52.0,3.7,41.0,4.26,2,0,4.9,vespertina,administracion,1
292,31,85.4,8.4,63.9,5.3,3,0,0.0,online,administracion,0
293,36,72.7,5.5,82.3,5.57,4,1,9.3,vespertina,administracion,0
294,29,75.8,3.9,100.0,6.96,3,0,0.0,online,ingenieria,0
295,18,67.1,3.9,94.4,4.85,2,1,0.0,diurna,administracion,0
296,18,63.0,7.0,65.2,5.07,1,0,7.4,diurna,salud,1
297,38,53.8,3.7,47.8,5.42,0,0,0.0,diurna,educacion,1
298,21,71.7,9.5,79.9,5.59,3,1,13.4,diurna,salud,0
299,21,79.5,14.9,33.4,4.74,3,1,2.3,diurna,educacion,0
300,18,64.5,3.4,61.7,5.46,4,1,6.6,online,salud,1
301,24,90.8,5.2,85.6,5.89,2,0,6.8,online,ingenieria,0
302,31,66.9,7.5,74.8,5.01,1,1,7.0,diurna,ingenieria,0
303,23,65.0,16.5,54.4,4.94,0,0,8.0,vespertina,salud,0
304,18,45.4,4.8,60.5,6.46,5,1,5.8,vespertina,ingenieria,1
305,22,80.1,7.8,38.8,4.8,1,1,6.7,diurna,ingenieria,0
306,18,58.0,16.2,92.3,5.71,4,0,9.6,vespertina,salud,0
307,31,35.5,7.3,87.2,5.19,2,0,6.2,diurna,salud,0
308,44,70.6,9.8,86.7,4.4,1,1,4.6,vespertina,ingenieria,0
309,37,89.6,3.1,100.0,4.78,4,0,0.0,diurna,ingenieria,0
310,43,63.1,13.8,45.2,5.66,5,0,2.8,vespertina,ingenieria,1
311,33,85.0,10.6,98.9,3.94,0,0,8.8,diurna,administracion,0
312,41,69.2,24.7,99.1,4.13,2,0,9.0,diurna,educacion,0
313,26,59.5,6.8,77.0,5.82,5,1,4.0,online,ingenieria,1
314,44,76.4,6.5,65.0,6.08,2,0,5.7,vespertina,salud,0
315,32,29.8,8.6,42.9,5.57,4,0,8.1,diurna,administracion,1
316,38,100.0,10.8,50.0,5.96,7,0,9.4,diurna,salud,0
317,30,83.8,5.0,56.6,5.81,0,1,5.6,vespertina,educacion,0
318,27,89.0,12.6,60.9,3.39,2,0,6.6,diurna,administracion,0
319,35,82.7,7.8,55.9,3.67,2,0,6.8,diurna,administracion,0
320,31,81.2,3.9,100.0,4.59,2,0,5.4,diurna,salud,0
321,42,86.9,18.0,95.6,6.14,1,1,9.0,vespertina,educacion,0
322,44,46.7,8.1,67.7,4.79,1,1,5.3,diurna,salud,0
323,39,100.0,8.0,85.7,5.71,1,1,1.1,online,ingenieria,0
324,20,97.6,12.5,92.9,5.98,1,1,5.4,online,ingenieria,0
325,36,63.8,5.6,75.2,4.79,0,0,5.9,online,administracion,1
326,43,88.5,8.4,86.7,4.84,0,1,3.7,vespertina,ingenieria,0
327,19,73.3,3.6,80.7,4.74,2,0,4.2,online,administracion,1
328,27,94.0,13.8,54.7,5.14,1,1,3.6,online,administracion,0
329,42,73.0,8.3,83.6,5.97,0,1,8.3,online,educacion,0
330,44,89.5,12.4,54.9,5.95,2,0,2.7,diurna,educacion,0
331,22,78.6,10.4,68.0,4.64,2,0,6.2,online,ingenieria,0
332,33,66.2,3.2,76.3,4.08,1,1,7.7,vespertina,administracion,0
333,31,72.5,2.8,73.2,4.35,4,1,0.5,diurna,salud,1
334,22,64.6,8.3,68.6,7.0,0,0,3.7,online,ingenieria,0
335,23,49.7,11.1,61.0,5.69,2,1,0.0,diurna,educacion,0
336,24,78.5,12.2,76.4,4.11,0,0,8.4,vespertina,ingenieria,0
337,30,85.9,7.7,96.4,4.32,2,0,3.7,diurna,ingenieria,0
338,23,100.0,7.3,77.8,5.33,2,1,4.4,diurna,ingenieria,0
339,42,37.9,12.8,72.6,4.91,0,1,8.6,diurna,salud,0
340,21,64.9,4.5,91.4,4.46,3,1,12.8,diurna,ingenieria,0
341,39,67.6,9.6,73.8,3.96,4,1,7.6,online,salud,0
342,28,53.3,7.6,45.1,4.74,3,1,5.8,diurna,administracion,1
343,36,61.2,4.8,71.7,6.39,2,1,8.8,diurna,ingenieria,0
344,33,99.6,3.4,73.2,,1,1,3.0,online,ingenieria,0
345,26,,2.7,48.0,5.37,3,1,4.2,vespertina,ingenieria,1
346,39,,8.7,64.4,2.56,2,1,9.3,diurna,ingenieria,1
347,30,100.0,4.5,95.8,3.58,1,0,6.4,online,salud,0
348,29,74.8,10.0,74.4,6.18,2,1,5.2,diurna,ingenieria,0
349,32,67.8,8.9,76.4,5.5,7,0,9.2,online,administracion,1
350,40,80.2,2.2,41.2,4.54,2,0,8.0,vespertina,ingenieria,1
351,34,92.1,7.2,66.8,5.98,2,1,7.5,diurna,educacion,0
352,22,96.2,5.4,78.2,4.63,1,1,6.7,vespertina,ingenieria,0
353,33,59.3,1.8,88.3,2.81,1,0,12.5,diurna,ingenieria,1
354,18,63.6,6.5,66.3,4.29,3,0,5.9,online,ingenieria,1
355,25,77.5,12.9,68.7,4.48,4,0,11.8,diurna,administracion,0
356,23,76.8,8.4,77.8,4.27,4,1,1.4,diurna,ingenieria,0
357,31,99.5,3.3,84.3,5.06,1,0,5.8,diurna,educacion,0
358,27,100.0,19.6,66.2,4.14,1,1,6.0,vespertina,educacion,0
359,29,70.5,6.4,71.3,4.91,1,1,7.8,vespertina,administracion,1
360,39,90.5,8.0,69.4,4.89,4,0,3.2,vespertina,ingenieria,1
361,44,77.5,,65.9,4.59,1,0,6.5,online,salud,0
