temperatura_exterior_c,humedad_exterior_pct,ocupacion_personas,area_m2,equipos_activos,hora_pico,real,prediccion
22.34,75.9,25,110.7,17,1,54.0,50.39674259446751
14.91,67.5,76,136.8,19,1,65.61,54.15048387261427
22.09,38.0,119,232.5,5,0,43.07,49.88043956521029
21.95,67.2,32,232.5,8,1,44.18,51.855057674303175
16.97,38.97,71,155.1,10,1,47.23,46.64422447024846
10.24,76.13,92,193.7,28,0,77.06,74.61000513324866
28.22,57.05,101,280.8,4,0,36.87,48.87142258538939
11.55,65.35,9,243.4,20,0,67.43,67.23446147495227
17.54,53.1,86,246.8,21,1,67.24,63.754358547373194
19.9,52.97,41,226.6,9,0,47.04,44.112992082784544
33.66,81.71,96,185.1,16,1,59.44,58.901727237366245
4.18,70.66,73,288.7,14,0,74.18,76.28759755610737
28.37,43.84,58,291.6,12,0,50.34,53.41605604176217
26.78,55.53,43,228.2,26,0,65.43,62.59567784555202
-2.03,28.0,40,210.9,24,0,85.79,87.41750886731144
34.1,86.68,65,221.6,21,1,62.06,64.58409222279154
22.34,53.82,70,197.0,24,0,57.07,56.709975332752926
12.52,52.06,104,127.5,14,1,61.2,53.789758900122415
24.18,43.89,115,263.4,15,1,53.15,61.348740089225515
13.66,74.36,57,154.9,11,1,59.44,52.22377914977984
25.92,67.18,63,215.1,6,1,48.29,46.18759079508306
6.23,58.7,81,241.1,4,0,61.66,59.19798851603712
2.37,39.02,28,250.9,13,0,66.67,72.31588874101554
22.92,33.53,40,181.1,24,0,54.28,57.25317125000855
17.94,68.15,30,67.8,26,1,56.29,61.11336176169379
16.85,66.03,99,151.6,3,0,42.73,42.207770519528246
13.11,50.38,114,100.0,11,0,49.82,49.89101854752418
4.73,57.73,54,169.9,3,1,62.09,59.12864664977993
12.29,44.4,51,129.0,17,0,54.77,49.45977785155255
25.22,67.17,42,120.2,23,1,65.88,53.32308661489805
14.38,54.09,111,42.8,20,0,54.21,54.852913327030855
10.82,41.44,112,122.7,13,0,52.16,55.02756493424999
13.58,56.5,56,176.8,16,0,56.32,49.74421125502227
15.31,46.56,107,87.8,9,1,50.99,49.29950663979181
29.6,54.07,21,254.6,16,0,55.34,55.260556264270726
9.17,87.33,26,180.8,15,0,58.29,59.91015692228274
16.06,62.13,7,104.0,14,1,53.93,53.117497703641526
15.8,19.71,69,77.2,6,0,36.6,42.63821663957233
20.05,23.05,96,140.2,14,1,48.01,53.90170218187386
13.71,42.63,119,176.2,3,0,39.64,49.52738058925264
10.31,58.84,21,226.7,6,0,55.19,53.1267293168397
25.92,50.02,11,135.0,3,1,35.21,42.36956622215291
13.6,67.71,69,149.6,4,1,45.54,47.14749479968297
33.34,69.77,117,247.0,18,0,56.16,60.863492085377565
1.3,50.15,39,239.4,13,1,82.99,77.71966279704912
19.64,30.12,96,88.2,8,1,43.46,48.63380997265432
6.04,57.02,96,190.1,25,0,73.59,75.59101327932834
3.52,63.76,36,275.4,22,1,85.76,88.05433993403011
-0.16,78.46,109,40.0,6,1,58.18,66.72545941865324
9.7,65.37,107,152.6,20,1,69.16,62.96874895744609
24.44,36.07,44,196.5,14,0,49.99,45.467873691944696
17.13,56.59,101,107.0,17,0,47.7,48.48834318163535
18.41,73.26,69,242.7,25,0,67.78,65.48805467417365
22.81,64.88,79,257.9,18,0,57.18,53.755567266104514
8.81,62.05,80,258.7,29,0,87.95,83.26804105305202
1.16,31.46,12,76.9,4,0,55.09,63.546558764287134
4.93,52.18,25,128.8,19,0,65.21,64.20906986656172
15.33,67.69,11,205.4,21,1,65.32,65.76535844674936
17.14,52.62,57,200.6,21,1,62.95,59.0685658551625
27.63,55.27,70,149.0,13,1,51.97,45.49490301132714
25.98,50.11,91,152.3,28,0,61.3,62.779502267952545
10.47,48.58,65,249.9,10,1,56.13,59.877375685037016
13.06,43.04,115,147.9,17,0,61.94,57.912042257237324
9.7,51.87,7,96.1,5,0,40.59,47.103160708517386
20.8,23.9,66,230.6,23,0,63.82,62.10482425893435
