customer_id,age,tenure_months,monthly_charge_usd,support_calls_last_3m,data_usage_gb,payment_delay_days_avg,complaints_last_6m,satisfaction_score,promotion_used,contract_type,churn
C4100064,61,1,48.59,0,32.22,20,1,2.3,No,Monthly,0
C4100544,41,19,41.33,1,31.58,8,0,9.6,No,Semiannual,0
C4100422,34,25,83.07,0,1.0,9,2,1.0,Yes,Monthly,1
C4100194,33,28,70.86,8,17.44,0,3,7.6,No,Semiannual,1
C4100497,19,1,55.23,5,50.29,2,2,2.0,Yes,Monthly,1
C4100369,61,1,48.1,0,2.55,20,1,4.7,No,Monthly,1
C4100345,40,24,13.78,0,1.0,4,4,5.4,No,Semiannual,0
C4100090,47,33,15.78,0,6.53,10,1,10.0,No,Semiannual,0
C4100261,42,37,51.13,7,24.37,0,1,7.3,No,Semiannual,1
C4100541,53,26,20.31,4,1.0,0,4,4.2,Yes,Semiannual,1
C4100213,36,13,60.84,6,1.0,0,0,6.0,Yes,Monthly,1
C4100336,18,1,32.38,3,80.97,2,2,3.0,Yes,Semiannual,0
C4100095,18,22,30.26,2,51.84,0,0,9.0,Yes,Semiannual,0
C4100020,74,1,59.05,4,42.46,17,6,5.2,Yes,Monthly,1
C4100487,44,35,41.94,2,31.09,6,1,10.0,Yes,Semiannual,0
C4100510,25,42,30.19,0,31.08,0,0,9.3,No,Annual,0
C4100191,47,18,47.76,6,14.1,0,3,6.2,No,Monthly,1
C4100554,23,35,12.09,0,1.0,0,3,2.4,No,Semiannual,1
C4100234,40,51,12.0,1,27.15,0,0,9.5,Yes,Annual,0
C4100211,24,1,27.9,2,73.33,2,2,3.7,No,Semiannual,0
C4100026,29,12,34.91,0,74.19,5,0,4.7,Yes,Semiannual,0
C4100289,55,1,28.16,2,67.82,14,0,7.4,Yes,Monthly,1
C4100516,66,3,12.0,9,1.0,0,0,5.5,No,Monthly,1
C4100116,46,3,63.03,2,34.89,13,5,7.8,Yes,Semiannual,0
C4100014,49,45,17.48,0,28.82,6,1,10.0,Yes,Annual,0
C4100306,31,1,20.11,2,79.91,4,2,2.4,Yes,Semiannual,0
C4100539,78,10,60.62,8,48.82,10,4,7.4,Yes,Monthly,1
C4100334,36,14,43.9,2,81.31,2,0,3.0,No,Semiannual,0
C4100423,32,1,12.0,3,90.26,1,0,6.2,Yes,Semiannual,0
C4100434,18,3,31.13,2,76.52,0,4,7.2,Yes,Annual,0
C4100524,46,35,35.83,0,92.33,7,0,5.1,No,Annual,0
C4100413,18,35,22.5,0,48.29,0,0,9.1,Yes,Annual,0
C4100432,18,1,33.55,6,61.61,0,5,7.8,No,Annual,0
C4100550,36,1,12.0,4,62.77,0,2,2.8,No,Semiannual,0
C4100043,44,41,45.51,0,45.37,6,1,10.0,No,Annual,0
C4100417,45,16,15.9,1,76.28,4,0,4.6,No,Semiannual,0
C4100083,66,4,12.0,2,1.91,11,4,7.4,Yes,Monthly,1
C4100385,35,30,59.85,0,58.73,5,0,7.0,No,Semiannual,0
C4100144,26,30,17.72,0,77.43,0,0,7.0,Yes,Annual,0
C4100515,40,14,18.84,1,57.14,2,0,3.5,Yes,Semiannual,1
C4100527,28,13,55.15,7,25.03,0,3,5.4,No,Monthly,0
C4100459,18,44,12.0,0,51.08,0,0,10.0,Yes,Annual,0
C4100055,31,59,36.03,0,30.38,3,2,8.6,No,Annual,0
C4100071,39,1,99.42,0,7.3,19,0,1.8,Yes,Monthly,1
C4100238,18,27,69.46,0,54.87,0,0,8.1,No,Annual,0
C4100430,18,28,12.0,5,89.35,0,4,8.3,No,Annual,0
C4100226,18,32,43.43,4,77.16,0,0,6.3,Yes,Semiannual,0
C4100276,26,12,12.0,5,62.23,0,0,2.1,No,Semiannual,0
C4100021,60,1,49.6,5,1.0,10,0,2.5,No,Monthly,1
C4100271,45,48,72.43,0,2.97,9,2,2.6,Yes,Semiannual,1
C4100365,27,48,20.27,2,58.16,0,0,7.7,No,Annual,0
C4100195,27,48,30.33,0,25.21,3,0,7.7,Yes,Annual,0
C4100282,63,48,25.47,0,50.46,8,5,6.5,Yes,Annual,0
C4100407,33,48,13.4,0,35.52,1,0,9.5,No,Annual,0
C4100134,45,22,62.26,0,62.43,14,2,4.9,No,Annual,1
C4100178,35,35,26.05,5,56.51,0,3,7.7,Yes,Annual,0
C4100433,28,9,61.13,7,1.0,0,0,7.8,No,Monthly,1
C4100057,18,1,12.0,10,63.63,0,4,1.8,No,Semiannual,0
C4100373,51,1,61.03,0,64.74,20,0,6.4,Yes,Monthly,1
C4100004,33,29,29.15,1,57.87,1,0,8.7,Yes,Annual,0
C4100337,18,20,73.93,7,67.84,0,0,7.7,Yes,Semiannual,0
C4100380,48,55,12.0,0,42.27,7,1,8.6,No,Annual,0
C4100397,41,22,35.5,2,70.32,2,0,6.2,Yes,Semiannual,0
C4100316,56,12,25.97,4,25.55,6,0,6.2,Yes,Monthly,1
C4100294,18,20,74.59,2,9.63,0,1,4.7,No,Monthly,1
C4100159,72,1,107.79,0,40.66,30,0,1.4,Yes,Monthly,1
C4100437,18,46,12.0,0,56.81,0,0,7.4,No,Annual,0
C4100348,78,1,38.81,7,1.0,18,1,4.6,Yes,Monthly,1
C4100227,21,1,72.42,2,7.7,6,1,2.8,Yes,Monthly,0
C4100119,18,19,75.65,2,18.88,1,4,9.5,No,Semiannual,0
C4100555,27,2,71.06,0,78.44,10,0,5.1,No,Semiannual,0
C4100491,64,72,43.12,0,1.0,0,6,4.0,Yes,Annual,1
C4100281,33,10,35.59,4,79.57,1,5,8.0,No,Annual,0
C4100526,27,43,61.1,6,8.78,0,0,6.0,No,Monthly,1
C4100171,38,40,41.51,0,61.48,6,0,7.0,Yes,Annual,0
C4100504,50,1,90.02,1,12.28,20,0,3.4,No,Monthly,1
C4100050,18,37,32.03,0,43.56,0,0,9.2,Yes,Annual,0
C4100046,18,39,23.59,0,79.81,0,0,8.1,Yes,Annual,0
C4100333,77,17,12.0,7,15.47,7,0,10.0,No,Monthly,0
C4100545,18,1,67.78,2,94.47,4,6,10.0,No,Annual,0
C4100496,54,1,56.87,2,12.67,13,2,3.3,Yes,Monthly,1
C4100196,20,15,12.0,6,74.85,0,0,9.5,Yes,Semiannual,0
C4100320,37,13,25.44,0,60.3,8,0,5.0,No,Semiannual,0
C4100120,52,28,45.48,0,43.7,13,1,7.6,Yes,Semiannual,0
C4100501,45,6,45.99,2,49.65,8,2,4.7,No,Semiannual,1
C4100314,78,1,63.57,2,8.84,27,0,1.8,No,Monthly,1
C4100262,52,31,54.68,0,43.9,11,1,9.1,Yes,Semiannual,0
C4100498,26,28,12.0,6,40.71,0,5,7.6,No,Annual,0
C4100061,23,43,49.92,1,33.92,0,0,10.0,No,Annual,1
C4100186,18,1,12.0,5,67.23,0,2,3.8,No,Annual,0
C4100250,48,59,12.0,1,9.0,0,3,5.4,Yes,Annual,0
C4100404,78,72,12.0,3,29.3,0,4,9.4,No,Annual,0
C4100205,19,4,70.32,7,120.0,0,0,2.2,No,Semiannual,0
C4100220,18,38,12.0,0,45.6,0,0,7.9,No,Annual,0
C4100200,35,41,105.59,6,55.06,0,0,7.7,No,Semiannual,1
C4100015,71,57,38.23,0,48.22,9,2,7.5,No,Annual,0
C4100495,18,1,70.24,3,42.22,3,5,4.4,No,Monthly,0
C4100030,18,1,25.65,5,59.86,0,2,1.8,No,Semiannual,1
C4100017,72,1,35.29,10,1.0,6,1,9.5,Yes,Monthly,1
C4100166,55,4,34.42,0,1.0,14,6,5.0,Yes,Monthly,1
C4100111,72,35,63.07,0,51.98,17,3,5.7,No,Semiannual,1
C4100502,18,33,66.08,0,34.31,2,4,1.4,No,Annual,1
C4100301,18,36,13.77,4,63.88,0,2,7.2,No,Annual,0
C4100138,22,1,112.27,6,22.72,8,5,6.6,No,Monthly,0
C4100518,28,1,46.46,7,38.15,0,3,3.5,No,Monthly,1
C4100296,70,1,46.01,1,44.6,25,1,8.5,Yes,Monthly,1
C4100182,18,1,12.0,3,52.55,0,0,1.7,No,Semiannual,0
C4100243,18,29,86.6,1,32.05,4,2,10.0,No,Semiannual,0
C4100420,29,1,21.91,6,46.61,0,1,1.9,Yes,Monthly,0
C4100353,18,1,71.31,1,59.09,4,4,8.4,Yes,Annual,0
C4100308,62,1,74.42,3,37.42,16,2,4.6,Yes,Monthly,1
C4100508,18,8,13.75,6,82.64,0,1,4.1,Yes,Annual,0
C4100519,65,47,23.88,0,51.86,8,2,8.9,Yes,Annual,0
C4100398,31,1,44.38,3,38.96,6,0,1.0,No,Monthly,0
C4100223,78,1,67.35,2,11.47,30,1,1.5,No,Monthly,1
C4100274,18,1,85.32,3,26.23,3,5,7.6,No,Semiannual,0
C4100125,67,1,84.66,2,29.4,21,0,3.4,Yes,Monthly,1
C4100124,52,21,46.69,0,67.69,11,0,5.3,Yes,Semiannual,0
C4100492,32,35,58.03,2,36.74,3,2,10.0,Yes,Annual,1
C4100168,25,1,75.81,5,27.33,4,4,5.5,No,Monthly,0
C4100001,25,49,29.43,0,47.28,0,0,9.1,Yes,Annual,0
C4100372,42,5,66.66,2,41.88,10,0,6.6,Yes,Monthly,0
C4100131,69,37,12.0,7,48.52,0,5,8.3,No,Annual,0
C4100192,18,32,103.92,6,46.74,0,2,10.0,No,Semiannual,0
C4100452,18,42,24.56,0,9.68,0,4,2.4,Yes,Annual,1
C4100523,71,34,12.0,1,19.17,8,2,10.0,Yes,Semiannual,1
C4100239,18,1,55.86,3,60.27,2,2,3.8,Yes,Semiannual,0
C4100028,18,13,75.01,3,1.0,0,0,5.4,Yes,Monthly,1
C4100152,71,1,44.02,4,18.19,14,4,4.4,No,Monthly,1
C4100520,70,1,15.55,9,1.0,3,0,5.5,Yes,Monthly,1
C4100280,24,35,61.59,6,13.32,0,0,7.7,Yes,Semiannual,1
C4100416,53,19,32.86,1,82.15,10,5,9.6,Yes,Annual,0
C4100197,43,1,74.94,3,5.17,15,0,4.7,Yes,Monthly,1
C4100303,18,5,47.13,0,115.15,0,0,3.7,No,Annual,0
C4100493,18,45,42.24,0,1.0,0,2,1.0,Yes,Semiannual,1
C4100252,32,21,46.93,0,27.23,11,2,10.0,Yes,Semiannual,0
C4100036,36,1,46.67,0,14.35,11,5,3.5,No,Semiannual,1
C4100494,27,2,40.42,8,48.94,0,3,4.0,No,Semiannual,0
C4100267,18,1,66.86,6,79.03,0,3,4.9,No,Semiannual,0
C4100297,44,1,46.01,0,70.74,14,1,3.8,No,Semiannual,0
C4100328,31,1,52.34,7,1.0,0,0,5.9,No,Monthly,1
C4100499,18,39,12.0,0,45.38,0,0,9.8,Yes,Annual,0
C4100390,45,1,83.12,7,2.8,7,5,5.0,Yes,Monthly,0
C4100344,39,59,36.57,0,21.39,7,2,8.7,No,Annual,0
C4100121,18,19,22.62,4,55.76,0,0,7.9,Yes,Semiannual,0
C4100260,76,1,58.39,5,26.21,20,4,5.5,Yes,Monthly,1
C4100381,35,1,21.2,4,65.13,4,4,3.6,Yes,Semiannual,0
C4100216,78,19,12.0,0,76.67,16,4,7.2,No,Annual,0
C4100073,64,2,36.43,0,57.36,17,0,2.3,Yes,Monthly,0
C4100157,46,30,12.0,3,77.38,0,2,6.9,Yes,Annual,0
C4100536,18,12,89.14,1,101.67,0,0,5.0,No,Annual,0
C4100193,24,63,40.16,0,1.0,0,5,1.0,No,Annual,1
C4100484,32,1,43.57,4,63.18,3,3,4.7,Yes,Semiannual,0
C4100535,18,2,98.24,6,15.55,0,5,8.1,No,Monthly,0
C4100158,22,59,20.25,0,34.81,1,2,10.0,No,Annual,0
C4100042,28,17,53.77,0,66.22,7,0,6.9,Yes,Semiannual,0
C4100088,74,56,12.0,0,33.52,9,2,10.0,Yes,Annual,0
C4100087,36,29,26.11,0,12.91,5,4,4.4,No,Annual,1
C4100109,20,34,27.56,0,44.92,2,1,10.0,No,Annual,0
C4100174,18,16,87.16,9,1.0,0,2,5.6,Yes,Monthly,0
C4100122,30,43,49.94,7,1.0,0,0,5.7,Yes,Monthly,1
C4100209,31,48,69.18,0,29.69,6,1,8.0,Yes,Annual,0
C4100210,45,9,111.91,1,61.08,17,1,4.9,No,Monthly,1
C4100147,36,38,46.73,6,32.54,0,5,10.0,No,Annual,0
C4100032,41,7,80.17,2,7.93,9,0,3.5,No,Monthly,1
C4100002,18,39,44.26,0,1.0,3,2,10.0,Yes,Annual,0
C4100436,39,43,12.0,0,51.54,0,0,10.0,No,Annual,0
C4100547,54,32,67.47,0,62.85,12,0,8.5,No,Semiannual,0
C4100481,29,1,85.32,0,50.61,25,2,5.5,Yes,Monthly,0
C4100309,54,1,91.07,4,49.84,19,6,9.7,No,Semiannual,0
C4100253,41,22,46.05,4,49.61,3,0,10.0,Yes,Semiannual,0
C4100151,57,3,96.92,2,31.47,17,0,3.7,No,Monthly,1
C4100525,25,1,25.36,2,67.52,5,1,1.0,No,Monthly,0
C4100228,21,15,28.7,6,17.64,0,2,3.8,Yes,Semiannual,0
C4100383,42,56,12.0,0,62.7,0,2,6.1,Yes,Annual,0
C4100259,43,1,12.0,2,115.65,3,2,3.7,Yes,Annual,0
C4100143,20,31,34.91,1,57.83,0,0,6.5,No,Semiannual,0
C4100343,47,64,23.44,1,1.0,0,2,2.7,No,Semiannual,0
C4100051,22,1,72.05,4,21.66,5,2,2.4,Yes,Monthly,1
C4100324,58,29,42.85,4,33.36,4,3,7.8,Yes,Semiannual,0
C4100359,72,1,34.16,6,1.0,9,0,2.5,No,Monthly,1
C4100215,18,40,21.62,0,60.84,0,0,8.0,Yes,Annual,0
C4100287,41,1,57.1,5,1.0,8,3,5.6,Yes,Monthly,1
C4100447,47,1,59.18,3,57.8,12,6,8.6,No,Semiannual,0
C4100426,18,1,12.0,10,20.76,0,3,1.7,Yes,Monthly,0
C4100557,18,30,32.27,0,51.78,10,2,9.4,No,Annual,0
C4100224,39,26,16.35,5,1.0,0,5,1.3,Yes,Monthly,1
C4100023,78,7,36.69,6,111.98,11,0,4.1,Yes,Monthly,1
C4100052,29,41,72.6,4,34.2,0,1,10.0,No,Semiannual,0
C4100221,52,1,50.25,2,6.21,14,3,4.7,No,Monthly,1
C4100027,55,1,58.38,3,23.87,11,3,3.7,Yes,Monthly,0
C4100552,36,9,25.41,4,35.9,0,2,4.4,No,Semiannual,0
C4100268,41,60,12.0,7,68.71,0,5,10.0,Yes,Annual,0
C4100170,36,27,12.0,3,1.0,0,6,4.4,No,Annual,0
C4100325,48,51,12.0,0,21.07,11,3,10.0,Yes,Annual,0
C4100037,18,40,12.0,0,51.67,0,0,10.0,Yes,Annual,0
C4100455,18,10,52.47,3,74.46,0,0,4.9,No,Semiannual,0
C4100389,71,27,53.3,1,19.54,13,6,5.2,Yes,Semiannual,1
C4100295,34,16,94.57,8,34.88,2,0,9.1,Yes,Monthly,1
C4100489,63,44,64.69,0,20.62,9,0,3.5,No,Semiannual,1
C4100065,18,1,63.8,6,52.44,0,2,2.0,Yes,Monthly,0
C4100326,21,22,33.78,1,1.0,0,3,1.7,No,Semiannual,1
C4100473,42,23,132.26,2,64.37,13,0,4.6,No,Monthly,1
C4100059,28,25,12.0,1,1.0,0,4,4.5,No,Semiannual,0
C4100560,18,4,82.26,2,33.19,3,3,7.0,Yes,Semiannual,0
C4100329,18,3,43.04,2,95.18,0,5,9.1,No,Annual,0
C4100406,52,51,12.0,3,1.0,0,2,4.1,Yes,Semiannual,1
C4100469,23,1,85.66,3,1.0,13,0,4.9,No,Monthly,1
C4100313,50,72,12.0,0,2.35,2,1,10.0,No,Annual,0
C4100362,26,2,79.68,2,25.1,7,2,5.5,No,Monthly,0
C4100299,24,15,18.9,3,79.24,0,3,6.9,No,Annual,0
C4100446,69,1,94.69,3,39.99,24,0,5.0,Yes,Monthly,1
C4100286,58,22,12.0,0,73.87,10,0,3.8,Yes,Annual,0
C4100201,18,3,12.0,4,79.3,0,0,2.0,Yes,Annual,0
C4100222,18,1,86.54,2,82.4,9,5,7.0,Yes,Semiannual,0
C4100127,18,1,51.65,7,27.88,0,1,1.0,Yes,Monthly,0
C4100386,18,24,16.15,2,34.9,0,0,10.0,Yes,Semiannual,0
C4100105,36,34,89.78,3,35.38,2,0,4.3,No,Monthly,1
C4100167,18,1,62.29,0,96.28,16,1,2.0,No,Semiannual,0
C4100543,18,21,76.63,3,93.9,0,0,6.1,No,Semiannual,0
C4100323,68,27,57.21,0,65.21,18,4,6.7,Yes,Annual,0
C4100074,18,63,12.0,0,104.95,0,0,9.1,Yes,Annual,0
C4100010,26,31,23.12,0,65.47,4,0,7.7,No,Annual,0
C4100156,18,21,55.55,1,62.67,0,0,5.1,Yes,Semiannual,0
C4100438,49,22,83.69,3,53.28,7,3,5.7,No,Semiannual,1
C4100208,51,12,32.73,6,56.09,1,5,7.0,No,Semiannual,0
C4100232,34,61,12.0,0,21.95,7,2,10.0,No,Annual,0
C4100277,57,29,61.1,5,11.99,2,0,4.0,No,Monthly,1
C4100391,41,27,76.23,0,63.79,10,0,5.7,No,Semiannual,0
C4100100,53,1,64.93,4,22.87,12,3,5.8,Yes,Monthly,1
C4100311,21,36,54.4,0,52.53,0,0,6.8,No,Annual,0
C4100273,18,31,12.0,0,68.52,0,0,8.4,Yes,Annual,0
C4100331,59,33,20.37,2,1.0,3,5,5.3,Yes,Semiannual,1
C4100135,21,1,12.0,7,45.97,0,3,1.3,No,Monthly,0
C4100483,60,41,47.52,0,28.09,8,2,5.2,No,Semiannual,1
C4100332,69,11,104.59,2,59.79,20,0,3.3,Yes,Monthly,1
C4100553,18,1,64.12,6,18.02,0,3,3.7,No,Monthly,0
C4100375,45,22,23.58,2,1.0,0,4,3.7,No,Monthly,1
C4100285,49,1,48.12,2,37.43,10,0,1.1,No,Monthly,0
C4100529,33,1,45.12,3,54.83,7,2,1.2,No,Monthly,1
C4100184,34,15,48.14,4,44.18,3,0,8.9,No,Semiannual,0
C4100537,18,1,76.93,5,24.89,0,2,3.0,Yes,Monthly,0
C4100490,23,15,98.21,3,33.85,5,0,7.1,Yes,Monthly,1
C4100319,29,3,66.0,4,1.0,3,0,4.5,Yes,Monthly,1
C4100360,18,40,19.24,0,94.78,0,0,6.9,Yes,Annual,0
C4100292,74,19,40.51,0,3.09,17,4,6.6,Yes,Monthly,1
C4100462,28,1,70.15,2,1.0,13,0,3.2,Yes,Monthly,1
C4100233,60,1,103.23,2,33.06,21,0,4.0,Yes,Monthly,1
C4100188,19,1,53.88,2,59.58,4,1,3.0,No,Semiannual,0
C4100424,61,20,99.35,4,70.55,12,2,6.6,Yes,Semiannual,1
C4100086,40,16,46.48,4,74.03,3,0,7.9,Yes,Semiannual,1
C4100099,18,32,12.0,5,67.06,0,0,2.3,Yes,Annual,0
C4100217,36,1,30.29,4,61.3,2,3,4.3,Yes,Semiannual,0
C4100101,18,1,12.0,3,73.33,0,1,2.4,Yes,Semiannual,0
C4100401,18,47,16.31,0,35.23,0,0,8.4,No,Annual,0
C4100240,23,13,21.46,3,44.56,0,1,4.2,No,Semiannual,0
C4100517,18,1,76.47,8,43.38,0,4,1.6,No,Monthly,0
C4100530,18,37,68.92,0,51.81,2,0,9.9,No,Annual,0
C4100458,34,1,67.86,6,3.38,6,0,7.7,No,Monthly,1
C4100031,41,2,89.93,1,24.41,13,0,4.4,No,Monthly,1
C4100256,18,10,32.42,7,24.76,0,2,3.8,No,Semiannual,0
C4100035,18,1,53.37,9,41.79,0,4,5.7,No,Semiannual,0
C4100137,56,8,74.77,3,17.79,11,0,3.6,No,Monthly,1
C4100225,23,1,40.44,2,46.49,1,0,1.3,Yes,Monthly,0
C4100009,19,21,13.64,0,55.6,1,0,8.2,No,Annual,0
C4100522,33,40,28.84,0,17.44,8,1,9.9,No,Annual,0
C4100349,25,1,12.0,1,84.27,2,0,1.0,Yes,Semiannual,0
C4100488,33,21,55.96,0,30.89,8,1,3.0,No,Semiannual,1
C4100346,18,23,47.92,2,81.84,0,0,7.1,No,Annual,0
C4100092,18,1,59.03,2,23.8,0,0,2.0,Yes,Monthly,0
C4100118,47,1,58.68,0,22.83,21,6,4.9,No,Semiannual,1
C4100341,22,1,39.79,5,34.21,0,2,2.7,No,Monthly,0
C4100315,37,71,47.9,0,1.0,0,2,1.3,Yes,Annual,1
C4100358,33,38,66.64,2,33.68,0,0,6.5,No,Semiannual,0
C4100115,68,1,46.13,5,1.0,15,0,3.2,Yes,Monthly,1
C4100113,39,26,32.59,0,100.91,8,1,7.6,Yes,Annual,0
C4100254,22,33,12.0,0,72.3,0,0,6.1,No,Annual,0
C4100450,44,1,62.34,8,4.54,6,0,8.6,Yes,Monthly,1
C4100486,37,3,110.4,2,39.22,13,1,5.2,No,Monthly,1
C4100533,36,35,52.53,0,23.95,5,1,9.1,Yes,Semiannual,0
C4100185,72,30,12.0,0,60.85,11,0,7.4,No,Semiannual,1
C4100361,18,45,12.0,0,42.43,0,0,10.0,Yes,Annual,1
C4100449,39,38,35.55,0,42.52,4,0,7.2,No,Annual,0
C4100063,18,1,88.65,5,31.07,3,5,7.8,No,Monthly,0
C4100412,18,1,99.74,6,15.27,2,2,3.7,No,Monthly,0
C4100463,18,34,12.0,0,80.18,0,0,8.0,No,Annual,0
C4100029,33,12,12.0,0,73.49,8,0,4.1,No,Annual,0
C4100394,53,1,74.55,5,66.55,15,5,6.9,Yes,Monthly,0
C4100047,48,1,95.11,4,16.5,12,0,4.1,Yes,Monthly,1
C4100045,47,29,12.0,4,48.34,0,3,6.4,Yes,Annual,0
C4100242,55,1,68.82,0,10.66,19,0,2.1,Yes,Monthly,1
C4100538,37,6,96.25,1,18.79,12,0,3.5,No,Monthly,1
C4100041,18,52,16.71,0,24.3,0,0,10.0,No,Annual,0
C4100154,18,72,70.22,0,10.38,0,0,1.0,No,Annual,1
C4100367,28,1,12.0,2,88.53,0,2,3.3,No,Annual,0
C4100370,18,10,30.84,4,39.16,0,2,4.7,No,Semiannual,0
C4100405,18,14,22.8,0,109.78,0,0,2.0,No,Annual,0
C4100097,40,27,39.85,4,34.24,1,0,9.2,Yes,Semiannual,0
C4100056,18,2,47.98,4,96.46,0,0,3.6,Yes,Semiannual,0
C4100108,18,65,12.0,0,69.19,0,0,8.2,Yes,Annual,0
C4100548,18,47,27.92,0,51.56,0,0,8.9,No,Annual,0
C4100231,39,13,12.0,1,92.29,0,2,5.5,No,Annual,0
C4100279,22,40,12.0,3,72.82,0,0,9.2,Yes,Annual,0
C4100347,33,54,32.33,0,1.0,0,3,2.4,Yes,Semiannual,1
C4100411,41,40,64.37,0,9.96,10,3,2.9,Yes,Semiannual,1
C4100169,18,1,37.4,3,55.73,0,3,6.0,No,Semiannual,0
C4100399,18,34,90.91,3,48.87,0,0,6.5,No,Semiannual,0
C4100351,36,38,33.36,2,71.53,0,0,6.9,No,Annual,0
C4100248,18,6,80.68,3,43.44,0,3,6.9,No,Semiannual,0
C4100255,25,1,120.98,6,7.45,8,6,8.7,No,Monthly,1
C4100089,18,14,12.0,8,70.27,0,3,4.2,No,Annual,0
C4100374,18,1,43.0,10,59.01,0,4,4.3,Yes,Semiannual,0
C4100464,18,14,91.92,4,76.43,2,0,7.9,No,Semiannual,0
C4100354,18,1,22.11,7,60.69,0,4,4.9,No,Semiannual,0
C4100377,18,1,63.0,4,65.51,0,6,8.9,No,Annual,0
C4100461,34,45,84.24,7,16.29,0,0,6.9,No,Monthly,1
C4100189,36,34,17.89,0,44.45,0,0,7.3,No,Annual,0
C4100509,71,1,93.42,0,27.62,29,0,1.3,No,Monthly,1
C4100506,61,35,62.97,0,99.46,14,0,7.1,Yes,Annual,1
C4100307,30,41,19.17,0,36.45,0,0,10.0,Yes,Annual,0
C4100312,52,29,41.96,6,40.86,1,6,9.8,No,Annual,0
C4100053,18,54,25.45,0,84.79,0,0,6.4,Yes,Annual,0
C4100235,27,1,72.15,2,1.0,7,0,2.3,No,Monthly,1
C4100110,68,6,58.92,6,26.75,10,3,5.0,No,Monthly,1
C4100474,18,33,22.01,0,29.03,0,0,6.8,Yes,Annual,0
C4100206,24,1,69.85,4,55.92,6,2,2.1,No,Monthly,0
C4100058,57,1,39.35,1,32.52,16,3,6.6,No,Monthly,1
C4100136,41,35,12.07,1,42.67,0,0,8.6,Yes,Semiannual,0
C4100039,43,1,68.04,5,1.0,10,0,6.6,No,Monthly,0
C4100288,58,38,51.98,0,19.41,10,2,9.0,No,Semiannual,0
C4100382,18,1,43.09,0,54.84,5,1,2.0,Yes,Monthly,0
C4100107,62,10,84.1,3,50.54,14,3,4.8,Yes,Monthly,1
C4100229,42,1,70.84,6,14.93,7,6,7.3,No,Monthly,0
C4100364,34,6,12.0,2,5.86,0,1,6.4,Yes,Semiannual,0
C4100475,69,62,12.0,5,14.08,0,5,5.7,Yes,Annual,1
C4100076,72,4,31.67,4,7.75,8,5,2.6,No,Monthly,1
C4100340,26,12,58.34,1,36.0,6,0,8.5,No,Semiannual,0
C4100444,66,20,53.32,10,20.45,0,6,7.4,Yes,Monthly,0
C4100445,18,1,84.23,4,65.04,1,3,4.5,No,Monthly,0
C4100247,60,44,40.69,0,1.0,7,6,4.4,Yes,Annual,1
C4100418,27,20,49.09,2,120.0,0,0,1.0,No,Annual,0
C4100012,39,48,12.0,0,45.51,0,1,10.0,Yes,Annual,0
C4100275,40,10,44.12,0,26.42,7,0,4.3,No,Monthly,1
C4100068,18,1,31.85,4,48.22,0,2,3.4,No,Semiannual,0
C4100269,51,33,12.0,1,49.7,5,0,10.0,Yes,Annual,0
C4100467,18,33,12.0,3,77.72,0,2,7.7,Yes,Annual,0
C4100218,26,5,35.12,6,35.82,0,3,4.5,Yes,Semiannual,0
C4100054,26,31,34.25,0,55.08,3,1,7.9,Yes,Annual,0
