temperatura_exterior_C,humedad_exterior_pct,ocupacion_personas,equipos_activos,hora_punta,area_m2,nivel_aislamiento,radiacion_solar,consumo_kWh
21.3,61.9,76,50,1,1185,5,4.2,390.05
35.7,37.3,114,51,0,560,4,2.5,371.08
19.3,65.5,95,56,0,124,5,5.9,281.23
22.6,66.2,104,17,0,220,4,3.8,257.11
6.2,57.6,96,43,0,163,4,4.1,269.11
14.6,46.6,51,43,0,508,3,4.0,232.39
26.6,45.2,12,48,1,434,3,6.9,240.16
20.8,69.3,74,48,1,1039,3,4.7,384.95
2.0,38.9,92,57,0,1077,2,4.9,369.67
22.7,69.8,119,30,0,237,5,4.1,308.31
31.4,55.0,83,7,0,1137,2,5.6,328.86
4.0,55.8,70,13,0,734,4,7.1,211.44
28.6,36.5,71,53,0,423,4,5.9,276.91
2.0,55.2,18,51,1,535,3,6.0,230.11
24.6,64.4,5,3,0,574,4,5.8,124.85
17.9,41.0,10,23,0,271,1,2.5,162.47
2.0,63.0,109,16,0,1051,2,3.3,336.21
21.1,58.1,95,21,1,93,3,4.5,290.66
26.1,49.3,34,39,1,158,2,3.6,245.79
20.5,67.3,53,32,0,386,5,3.0,234.98
22.1,30.6,60,30,0,240,5,1.6,199.35
15.1,61.2,33,27,1,149,4,2.5,195.8
5.0,76.4,53,39,1,509,2,4.4,274.67
22.8,74.3,44,41,1,501,1,4.7,317.04
30.2,61.7,84,5,1,220,4,3.5,243.91
25.9,53.4,92,10,1,987,5,4.9,314.76
4.1,49.4,16,22,0,1068,3,4.1,218.58
7.4,53.4,58,27,1,886,5,6.7,258.25
12.1,63.5,118,59,0,664,5,4.5,358.29
6.8,47.3,104,53,0,1141,3,6.0,416.83
18.3,66.1,96,39,0,472,2,5.1,311.88
20.8,82.6,89,5,0,558,1,2.4,285.24
8.0,56.3,5,8,0,96,4,4.6,80.47
23.4,40.9,117,29,0,872,3,2.7,372.25
22.2,40.9,89,36,0,183,1,4.6,291.08
14.2,66.3,107,40,1,825,1,3.5,399.37
16.8,56.3,109,11,1,956,5,5.4,321.85
4.4,67.5,34,53,0,323,2,2.5,223.92
15.7,50.6,6,31,1,765,2,4.8,255.32
18.1,67.0,80,36,0,420,4,5.8,270.76
19.2,55.1,57,5,1,526,2,6.3,240.48
20.7,48.2,7,49,1,673,5,3.5,234.42
19.7,52.2,36,33,1,359,4,4.8,221.67
16.1,42.6,118,15,0,972,2,5.1,340.76
20.0,80.9,46,21,1,521,2,7.4,234.08
25.0,55.8,35,23,0,597,5,2.3,210.56
17.3,64.7,80,4,1,992,3,3.3,297.47
20.2,50.6,81,56,1,335,5,9.0,321.25
16.7,44.4,43,48,0,586,2,4.3,258.66
13.5,54.2,102,53,0,1192,1,1.6,422.39
21.7,70.2,71,23,0,527,5,3.8,239.15
14.1,50.8,23,34,1,209,2,0.5,232.95
20.7,46.6,42,29,1,398,5,5.2,209.98
18.2,58.9,102,30,1,1150,4,6.2,383.68
15.9,63.0,15,36,1,930,2,3.3,284.55
15.7,76.7,6,28,1,986,4,4.0,233.48
14.4,61.2,80,47,1,363,1,6.4,311.56
6.5,64.7,55,6,0,1019,2,1.8,231.59
20.7,65.6,34,13,1,520,2,2.6,240.67
19.6,43.2,59,53,0,970,4,4.4,309.12
23.9,45.4,26,53,1,1066,3,3.5,333.7
14.3,44.0,48,49,1,313,4,4.3,258.42
31.3,41.0,31,24,0,1131,3,2.7,284.45
15.3,66.5,72,29,1,788,4,5.2,307.6
11.9,60.5,82,4,0,898,1,4.5,268.7
11.0,58.0,110,18,1,927,4,5.7,323.78
5.9,25.9,12,44,0,268,1,5.1,188.55
28.7,81.7,42,22,0,915,1,5.2,283.41
27.6,46.3,35,30,1,318,4,2.3,199.47
22.2,81.6,71,10,0,384,1,5.6,257.12
11.7,39.6,66,31,1,210,4,4.2,222.09
30.7,47.3,105,44,0,282,1,4.5,359.5
15.5,30.6,110,35,0,1176,1,6.6,407.58
16.1,61.3,93,34,0,447,5,3.6,281.47
28.1,43.8,27,55,0,513,1,7.1,289.75
22.6,44.1,9,16,0,617,5,7.3,149.31
33.4,40.5,108,20,1,878,2,6.1,399.01
19.7,66.3,113,38,1,722,4,3.1,366.83
15.2,65.5,33,30,1,680,5,1.1,241.67
13.7,78.7,10,58,0,1017,1,6.6,301.62
5.1,48.8,83,6,1,635,2,5.0,256.54
16.0,59.6,72,9,1,941,3,3.5,305.8
26.0,41.5,107,22,1,1100,5,6.8,356.77
22.2,53.0,71,29,1,837,1,3.3,368.65
18.1,50.8,92,53,0,119,1,4.1,345.12
11.0,62.6,95,31,0,375,2,5.7,289.63
19.6,69.2,6,27,1,771,2,2.9,245.5
25.1,68.9,22,12,1,616,2,4.6,238.45
21.0,46.9,94,27,1,398,1,6.7,305.73
19.2,69.0,25,33,1,455,5,5.2,197.92
12.4,56.5,28,36,1,167,4,6.9,202.81
24.1,53.1,91,37,0,343,1,6.7,316.96
2.0,48.5,28,27,0,956,3,4.8,212.98
20.7,50.3,22,11,0,91,4,0.8,132.11
36.0,77.9,6,11,1,1017,4,2.9,214.25
7.4,60.7,58,11,1,460,5,6.1,193.41
16.3,59.1,78,38,0,984,4,2.2,319.57
17.9,53.9,89,51,1,366,4,4.2,340.56
14.8,86.4,109,53,1,1008,1,5.4,458.12
25.3,72.7,79,20,1,720,1,7.3,335.69
21.3,48.3,91,7,1,1033,4,3.8,322.65
19.1,53.7,29,38,1,149,5,3.7,181.71
23.6,54.4,44,5,1,973,2,4.7,273.77
18.1,58.8,39,38,0,382,4,5.4,224.45
36.0,48.6,12,24,0,481,2,4.5,225.04
19.1,62.3,116,50,1,130,3,6.6,375.88
19.4,74.4,32,38,0,1148,4,3.4,267.32
6.0,41.2,56,45,1,798,4,5.0,283.89
14.2,43.5,46,26,1,1178,1,5.6,305.47
26.0,51.2,10,50,1,716,5,4.1,258.11
8.7,51.8,108,32,0,257,5,6.2,260.23
2.9,81.0,30,38,1,457,3,5.1,222.3
18.2,69.0,16,23,0,572,2,6.1,207.61
27.6,68.3,44,28,1,245,3,5.1,229.68
18.3,53.8,21,50,1,1123,5,5.4,280.31
15.6,53.6,119,25,1,1152,3,3.7,388.13
5.0,39.6,26,4,1,711,1,3.7,190.17
21.2,66.4,39,24,0,734,1,6.9,239.12
22.6,62.9,36,25,0,867,5,5.9,230.66
5.5,72.4,8,26,1,840,4,3.1,203.85
25.9,54.5,6,7,0,150,4,5.1,98.22
23.4,55.3,63,10,0,675,1,0.8,281.29
25.9,59.0,31,21,1,950,1,3.8,291.28
22.1,67.7,14,27,1,983,2,6.4,276.68
22.6,39.4,38,4,1,747,2,4.6,228.54
21.6,65.8,36,25,1,1083,2,5.0,300.76
24.1,56.8,53,21,0,736,3,0.5,260.1
5.3,44.3,119,4,1,508,2,4.1,293.53
7.5,32.0,40,17,1,575,1,5.4,230.9
12.8,55.4,86,18,0,852,3,5.6,280.8
17.1,74.4,93,11,0,1072,4,6.4,309.88
20.7,77.1,10,45,1,337,4,4.4,210.23
20.3,61.3,62,7,1,408,2,4.5,249.97
25.8,80.5,56,35,0,810,2,2.5,309.36
26.0,56.5,63,40,0,935,3,4.5,336.04
11.9,68.4,24,48,0,527,1,2.7,254.67
19.7,51.6,58,34,0,800,5,1.7,291.64
12.1,50.8,19,33,0,87,5,3.0,125.42
16.7,48.9,113,46,1,406,1,7.4,354.83
20.3,32.3,72,51,1,1150,5,4.3,358.31
2.0,72.4,8,15,0,725,1,5.2,153.43
34.9,49.3,63,48,0,1052,3,3.9,347.82
22.0,47.4,111,29,0,323,4,1.8,311.73
13.8,42.8,90,8,1,405,2,6.4,260.0
31.5,54.5,36,37,1,1171,2,1.1,346.85
15.6,78.2,107,58,0,1197,1,3.9,445.43
18.9,82.1,26,11,0,1062,4,4.7,214.26
14.6,37.1,33,3,1,435,1,5.2,208.17
29.6,52.7,22,55,1,977,3,3.6,321.28
17.3,44.6,111,37,1,593,2,1.7,359.04
19.0,68.9,87,15,0,1025,5,3.4,307.78
26.4,60.4,64,48,1,1033,5,3.5,355.93
22.1,49.4,81,25,1,567,5,3.5,312.64
17.6,57.9,34,21,1,421,4,6.4,195.29
25.8,51.3,13,19,0,1171,3,2.7,254.46
35.8,76.4,102,37,1,584,2,5.3,404.8
20.2,63.6,115,10,0,563,1,5.1,311.55
18.8,65.0,9,23,1,825,5,6.4,193.8
19.2,25.0,10,20,1,1129,2,4.6,255.69
27.2,56.2,69,6,1,226,3,6.1,235.8
13.8,82.0,9,46,1,1182,1,4.5,296.64
16.1,72.9,87,3,0,553,2,5.5,239.05
7.2,34.8,113,57,1,108,4,2.2,301.42
9.7,53.2,37,8,0,426,3,0.5,177.05
14.4,42.6,38,23,0,597,3,5.4,203.3
17.6,77.5,104,8,1,837,2,5.5,333.84
30.4,59.9,45,23,1,714,1,5.6,276.08
21.8,47.8,32,37,0,232,5,3.9,176.41
11.6,57.4,14,7,1,626,3,7.3,159.22
12.9,25.7,101,32,1,340,2,4.0,303.72
27.6,44.0,111,46,0,381,2,5.5,358.63
25.9,57.4,14,28,1,876,4,5.8,249.73
18.2,67.1,97,9,1,979,3,7.7,351.92
14.9,33.7,23,42,0,254,2,4.3,199.23
25.9,52.4,20,13,1,754,5,3.7,220.88
11.0,69.1,48,3,1,552,5,2.3,183.35
20.7,39.6,55,27,1,457,1,7.4,248.33
33.9,59.8,103,18,1,878,4,5.5,355.03
19.4,57.8,85,4,1,358,5,5.6,210.78
12.6,77.6,21,47,1,937,3,9.0,277.74
20.9,54.2,72,37,1,528,1,5.4,315.61
14.7,54.9,105,54,1,186,1,2.6,342.89
8.2,67.3,81,30,1,967,4,4.5,343.38
22.9,41.1,31,27,1,1034,5,3.1,259.77
25.8,54.3,19,51,1,710,1,4.1,286.34
15.8,51.5,57,7,1,890,3,4.1,270.29
15.4,55.3,59,23,1,245,3,3.8,225.36
11.3,67.2,45,48,1,460,2,2.4,301.77
17.0,63.6,17,19,0,471,4,7.5,146.75
14.1,48.0,18,53,0,935,5,5.3,240.64
10.9,58.6,65,19,1,474,2,4.4,261.04
31.2,74.9,113,26,1,895,1,6.1,421.27
21.3,47.0,73,54,0,423,2,5.6,323.84
22.0,58.7,55,16,1,752,2,5.3,277.57
24.2,54.7,112,58,0,314,4,6.0,358.84
23.4,56.2,84,5,0,705,3,5.0,273.97
15.1,37.4,87,18,0,170,1,5.9,244.03
19.9,73.9,71,36,0,902,2,6.1,325.01
16.1,47.7,92,36,1,112,4,5.1,259.61
21.1,69.3,62,54,1,1199,3,4.4,398.6
20.4,49.5,76,57,0,1019,3,7.4,364.16
15.3,49.5,75,41,0,727,2,4.0,311.26
8.7,71.6,91,40,0,1098,2,5.5,376.77
19.0,68.9,108,21,1,985,1,5.5,369.61
16.6,59.5,38,48,0,239,1,3.8,269.04
4.8,66.1,85,39,0,913,1,3.4,340.88
