horas_estudio_semana,asistencia_pct,tareas_entregadas,internet_en_casa,promedio_previo,horas_sueno,participacion_clase,distancia_km,aprueba
12,67.4,10,1,5.78,5.4,4,15.6,1
13,76.1,6,0,5.19,6.7,4,11.7,1
2,85.2,6,0,5.8,4.1,1,12.8,1
14,94.1,4,1,5.44,7.3,1,8.9,1
4,74.7,1,0,6.08,7.5,4,22.8,1
19,75.5,0,1,5.26,6.3,1,3.8,1
18,60.5,3,0,4.68,3.6,5,6.3,1
24,80.4,3,0,5.3,5.4,1,11.1,1
19,71.4,2,0,2.36,8.1,4,18.0,1
10,76.7,2,1,5.34,3.5,5,0.5,1
25,73.2,0,1,2.0,6.2,3,0.5,1
11,81.1,6,0,3.45,5.2,1,0.5,1
9,64.4,10,0,5.41,7.6,5,11.3,1
23,67.3,7,0,5.43,5.8,1,2.1,1
10,100.0,4,1,3.95,7.1,3,7.9,1
2,69.1,4,0,4.36,7.3,5,16.3,1
12,71.0,3,1,6.23,8.8,4,5.9,1
20,100.0,1,1,4.56,6.4,1,12.9,1
5,100.0,6,1,6.9,7.1,5,8.6,1
12,70.3,6,0,5.0,4.8,1,16.4,1
4,78.3,0,0,5.37,8.0,4,14.8,1
18,85.4,4,0,6.46,5.7,4,5.5,1
12,99.3,3,1,5.12,5.9,2,9.7,1
9,72.1,1,1,4.1,6.6,3,19.3,1
6,79.5,7,1,4.9,4.7,1,14.1,1
15,89.8,5,0,4.97,6.9,5,0.5,1
17,86.3,6,0,3.77,7.8,2,16.2,1
24,78.2,7,1,4.77,7.0,2,2.3,1
11,80.7,10,1,4.33,4.7,3,22.3,1
5,68.3,8,1,5.83,6.5,4,19.2,1
21,79.6,6,1,5.03,7.5,3,13.3,1
16,79.3,9,0,4.75,4.3,3,12.3,1
18,84.3,5,0,4.9,5.3,3,9.3,1
3,76.4,10,0,5.2,7.7,5,16.4,1
8,86.7,8,1,5.56,6.9,2,8.0,1
20,92.1,7,1,4.1,7.1,5,12.9,1
21,83.6,9,0,4.06,8.8,4,18.0,1
11,85.5,5,1,5.99,7.2,5,6.5,1
21,82.5,7,1,4.63,7.4,5,6.1,1
22,82.0,3,1,3.72,9.5,4,1.4,1
10,74.8,10,1,5.4,6.3,2,2.5,1
23,85.2,6,0,5.42,5.6,4,0.5,1
8,81.0,8,0,3.62,7.1,4,16.8,1
6,100.0,5,1,5.21,7.1,2,25.5,1
18,97.7,9,1,5.66,6.0,4,22.4,1
16,85.9,0,0,5.34,5.4,2,0.5,1
4,74.4,1,0,5.57,9.4,3,16.8,1
21,70.9,5,1,3.74,7.0,4,22.4,1
5,93.9,8,1,5.3,5.7,1,7.3,1
21,84.6,8,0,4.73,7.7,2,11.8,1
1,86.8,4,1,4.57,6.5,4,0.5,1
20,64.6,7,0,5.78,6.3,3,13.1,1
20,91.3,6,0,6.33,7.3,5,2.5,1
20,86.5,10,1,6.61,5.0,1,12.6,1
17,70.9,7,0,6.18,7.0,4,0.5,1
12,77.3,4,1,4.9,8.9,5,15.3,1
18,84.6,10,0,5.32,7.2,5,19.2,1
7,82.5,1,1,5.69,6.1,1,4.7,1
20,79.1,10,0,5.11,6.0,5,1.9,1
14,81.0,1,1,5.12,6.1,2,0.5,1
12,79.5,3,0,5.74,6.3,2,8.9,1
13,83.5,9,1,4.95,6.1,2,6.3,1
15,96.7,8,0,4.34,7.7,4,0.5,1
1,56.3,10,0,4.63,4.5,4,14.6,1
4,79.6,8,0,5.57,7.6,3,7.4,1
7,83.8,7,1,5.0,6.1,1,2.4,1
3,85.0,3,0,5.31,7.1,5,6.6,1
11,78.3,0,1,5.6,5.2,2,19.6,1
17,64.4,1,1,4.66,8.2,1,15.8,1
17,85.3,3,1,5.68,8.1,3,10.0,1
12,99.3,0,1,5.34,7.8,3,16.0,1
22,66.7,5,0,3.89,4.8,4,1.7,1
15,90.6,8,1,6.3,7.6,5,11.3,1
2,78.7,10,1,4.55,7.1,1,12.2,1
20,81.4,5,0,3.51,4.7,2,7.2,1
15,71.5,9,0,4.06,6.6,3,14.5,1
16,78.7,10,1,4.08,7.0,4,4.8,1
15,95.0,9,0,5.05,7.3,4,15.1,1
14,87.8,5,1,4.75,6.8,2,15.4,1
3,99.3,3,0,4.7,6.9,4,0.5,1
14,93.8,10,0,5.56,8.4,5,20.5,1
20,86.4,2,1,5.31,8.1,3,0.5,1
8,99.4,4,0,5.28,3.5,5,6.1,1
16,86.4,0,1,5.37,6.2,4,19.2,1
1,90.3,8,1,5.55,6.4,2,8.5,1
9,79.0,7,0,3.1,4.5,2,0.5,1
11,82.7,0,0,4.67,6.7,4,2.3,1
25,75.0,2,1,3.04,8.1,2,19.2,1
6,91.9,6,1,5.03,5.3,2,0.5,1
7,70.2,5,0,5.0,7.0,2,20.0,1
11,89.8,8,1,5.94,5.5,4,10.6,1
25,80.1,2,0,6.07,5.8,2,1.5,1
22,93.7,10,0,5.18,8.4,4,6.3,1
1,89.5,4,1,4.55,5.9,5,2.9,1
6,100.0,9,0,5.44,7.2,5,17.9,1
21,89.3,2,1,4.52,4.4,5,16.9,1
2,66.3,0,1,5.0,8.8,1,0.5,1
22,81.3,0,1,5.89,7.3,3,7.8,1
8,70.3,4,1,4.5,6.4,2,4.1,1
23,76.8,10,0,5.73,7.3,5,21.3,1
8,97.1,0,0,5.61,4.9,4,0.5,1
11,88.4,4,1,4.14,8.0,2,23.8,1
17,75.0,1,1,5.88,6.2,3,10.7,1
4,71.9,10,0,5.63,6.4,4,1.7,1
14,82.3,7,1,5.09,6.0,3,5.6,1
13,69.8,8,0,4.31,5.9,3,4.6,1
20,75.3,7,1,4.23,7.4,1,0.8,1
25,85.1,7,0,4.52,6.9,3,11.8,1
17,93.6,8,1,5.49,7.4,2,1.2,1
11,88.1,0,0,4.14,6.6,5,0.5,1
11,59.1,9,0,5.39,7.2,5,8.0,1
11,85.0,8,1,3.88,6.1,4,0.5,1
21,82.7,8,0,4.82,9.3,1,5.0,1
9,86.1,4,0,5.1,4.7,5,3.7,1
5,98.2,8,1,6.9,8.1,2,4.0,1
9,61.4,4,0,3.76,8.2,3,27.0,1
1,76.1,0,0,6.32,5.6,5,11.5,1
3,87.9,9,0,5.13,9.3,5,13.0,1
3,66.2,2,1,5.37,7.8,1,0.5,1
20,96.8,1,1,5.11,7.8,2,5.8,1
19,85.7,6,1,5.4,6.6,4,12.7,1
18,90.5,2,0,4.86,6.3,3,2.8,1
12,76.3,9,0,6.31,6.3,2,18.3,1
18,90.1,4,0,4.59,7.1,3,1.4,1
5,92.7,0,1,6.02,8.3,5,8.7,1
23,84.3,10,0,4.42,6.8,2,6.3,1
13,84.3,5,0,4.95,5.5,4,12.3,1
24,84.7,2,1,4.04,7.6,4,5.9,1
4,73.4,7,1,5.41,7.7,5,8.8,1
13,80.5,5,1,6.3,7.4,2,9.1,1
18,80.5,0,0,4.93,7.5,2,5.1,1
13,85.8,8,1,4.82,6.3,3,14.9,1
12,92.0,4,1,4.0,5.5,3,12.9,1
5,71.4,7,0,4.79,5.6,3,10.3,1
10,80.7,9,1,3.57,4.6,4,7.6,1
6,96.8,6,1,4.18,6.9,4,17.4,1
8,74.6,7,0,5.2,6.5,2,9.1,1
18,73.8,2,1,6.19,6.1,4,8.5,1
16,84.0,2,1,6.9,3.5,2,11.8,1
16,90.4,4,1,4.47,5.1,3,24.6,1
10,82.1,9,1,6.29,7.9,1,0.5,1
24,95.3,5,1,5.22,5.8,2,17.2,1
3,90.6,3,1,4.86,7.0,5,0.5,1
9,90.4,8,0,5.39,4.9,3,12.7,1
3,87.5,9,1,5.06,8.3,4,23.6,1
9,100.0,9,1,5.1,6.4,1,14.9,1
25,79.9,3,1,4.63,6.9,4,12.4,1
10,62.0,7,0,3.74,9.4,2,6.5,1
23,98.0,6,0,3.61,8.4,4,11.2,1
13,77.4,4,1,5.59,6.2,5,9.0,1
18,83.1,4,1,4.75,5.9,3,4.7,1
12,95.1,1,1,4.46,6.2,1,8.7,1
7,66.0,3,0,5.01,7.2,3,12.6,1
20,69.5,6,0,5.72,6.5,1,4.9,1
25,66.0,9,1,5.16,6.1,3,4.5,1
7,74.1,9,0,4.41,8.4,1,0.5,1
20,86.4,2,1,6.1,6.5,4,14.1,1
7,87.2,7,0,6.42,9.4,2,15.4,1
18,84.8,0,0,5.45,6.7,2,12.9,1
20,67.9,7,1,5.88,8.7,1,18.7,1
12,58.9,3,0,6.12,7.0,5,11.7,1
19,82.5,4,1,6.02,7.8,5,14.1,1
7,77.3,7,1,5.55,5.7,5,13.4,1
2,86.6,4,1,5.54,5.6,1,10.3,1
3,89.0,8,0,5.47,7.2,2,6.8,1
12,83.4,5,0,4.01,7.8,5,28.7,1
23,89.6,10,1,5.63,6.6,3,7.4,1
4,84.3,7,0,3.78,5.1,1,5.7,1
12,87.3,3,0,4.28,5.0,1,14.5,1
18,75.0,8,0,6.17,4.9,2,13.0,1
6,80.2,4,1,5.76,4.5,5,0.5,1
19,84.0,5,0,6.34,6.7,1,20.0,1
8,90.2,1,0,4.76,8.0,5,10.2,1
21,78.1,1,1,3.96,6.6,4,2.1,1
15,87.2,6,0,4.78,3.9,5,20.5,1
14,79.3,2,1,5.09,6.4,5,16.0,1
5,80.8,10,1,5.07,6.4,2,0.9,1
12,90.3,9,1,6.02,9.1,5,25.2,1
22,62.1,7,1,4.67,4.9,1,16.3,1
1,69.0,8,0,5.32,6.1,2,10.9,1
19,67.2,6,0,4.11,8.6,2,23.7,1
13,58.7,0,0,5.41,7.1,1,12.3,1
18,75.2,4,0,5.0,7.3,1,10.8,1
17,89.5,5,1,4.33,6.7,1,5.7,1
11,79.2,10,1,4.79,7.0,1,15.7,1
8,84.0,2,1,4.83,7.5,2,14.8,1
16,92.9,5,1,4.76,5.6,1,11.1,1
4,95.3,3,1,6.59,7.7,1,4.7,1
15,81.3,1,0,4.91,5.0,5,12.0,1
3,95.5,1,0,4.78,7.0,1,10.4,1
17,82.9,4,1,3.11,6.8,1,0.5,1
16,73.6,0,0,4.2,5.9,1,0.5,1
3,76.1,0,1,4.76,6.6,1,15.5,1
19,67.2,3,1,4.38,5.9,3,0.5,1
11,73.1,2,1,6.24,5.3,5,12.6,1
20,78.4,6,1,4.85,6.2,4,7.2,1
2,90.0,0,1,6.16,5.3,3,21.5,1
5,99.2,3,1,5.06,7.0,1,7.1,1
13,68.2,4,1,5.03,5.2,4,16.3,1
5,85.9,10,0,4.92,7.5,1,7.8,1
9,71.6,6,0,5.0,5.2,4,11.9,1
17,86.7,9,1,6.55,5.9,3,16.9,1
4,80.7,3,1,2.91,5.9,5,7.3,1
17,63.7,4,1,3.2,8.2,2,19.0,1
3,91.3,4,1,4.51,7.0,4,3.1,1
5,75.9,9,1,5.01,6.3,3,13.4,1
15,76.7,10,1,5.62,7.2,3,18.4,1
20,71.3,10,1,5.43,4.1,5,16.3,1
5,75.5,8,0,4.65,6.5,4,26.3,1
8,86.3,5,0,5.92,9.0,3,4.9,1
24,80.1,5,0,5.93,6.8,3,0.5,1
25,85.3,10,0,5.17,6.7,4,3.0,1
15,85.6,3,1,5.87,7.3,2,16.3,1
12,95.2,3,0,5.25,7.7,1,15.0,1
9,78.6,9,0,4.49,4.2,3,11.8,1
16,67.2,4,0,5.63,4.6,1,2.0,1
15,92.7,2,1,5.1,6.9,1,17.1,1
8,78.7,6,1,5.0,5.7,3,1.2,1
1,93.1,3,0,6.33,8.2,4,20.3,1
4,85.8,9,1,2.79,6.2,4,33.9,1
24,80.7,9,1,3.72,4.3,2,13.9,1
11,85.5,3,1,3.93,5.1,3,15.7,1
13,100.0,5,1,4.67,3.5,1,7.1,1
12,100.0,10,1,4.77,6.3,4,0.5,1
20,82.7,8,0,3.64,6.4,2,6.2,1
2,83.6,2,1,4.11,6.1,4,2.3,1
3,92.8,6,0,4.23,7.9,5,0.5,1
7,73.5,6,0,6.9,8.0,4,24.8,1
13,85.3,7,1,6.62,6.4,2,13.2,1
17,81.7,0,1,4.63,4.0,5,14.0,1
13,85.1,3,1,4.67,7.3,4,8.5,1
12,73.7,9,0,3.97,7.3,4,9.6,1
24,66.1,2,0,3.28,7.0,5,18.7,1
5,61.3,3,0,4.89,7.8,5,10.7,1
15,70.8,3,1,4.1,5.2,1,15.2,1
14,77.4,1,1,4.92,9.0,5,9.4,1
12,79.1,1,1,3.56,5.4,4,8.3,1
21,100.0,3,1,4.31,7.5,2,0.5,1
7,93.1,9,0,5.13,4.6,2,0.5,1
24,72.4,0,0,5.33,5.5,4,8.9,1
9,85.5,3,0,5.38,8.4,2,11.5,1
14,77.9,0,0,3.81,6.3,3,0.7,1
14,79.2,6,0,5.77,7.6,4,10.7,1
22,83.9,2,0,4.28,6.9,4,11.4,1
11,88.2,8,0,5.57,6.5,5,0.5,1
8,78.6,6,1,4.99,8.2,1,3.7,1
1,92.6,8,0,3.76,6.3,2,14.3,1
10,70.6,6,0,4.72,4.5,5,14.1,1
21,82.1,4,0,5.33,5.6,3,1.8,1
1,100.0,9,0,5.55,7.3,2,12.3,1
23,84.2,5,1,4.87,7.1,2,19.2,1
14,96.3,10,0,6.38,4.7,2,17.2,1
4,82.9,10,0,5.91,5.7,3,10.2,1
8,87.8,6,0,4.77,5.9,2,7.3,1
14,81.4,7,1,5.68,6.2,4,6.0,1
8,80.3,2,1,6.74,4.9,3,14.7,1
3,74.2,8,0,6.76,5.8,4,12.6,1
17,86.3,7,0,3.89,5.7,1,16.0,1
17,73.5,9,0,4.17,7.5,4,12.1,1
3,88.7,2,0,6.34,7.6,5,17.6,1
8,92.9,8,1,4.05,6.4,1,11.8,1
7,85.7,5,1,3.81,6.1,2,17.3,1
17,79.1,2,1,4.56,6.8,4,18.0,1
19,86.5,1,0,5.38,5.6,4,4.6,1
19,78.9,6,0,4.91,5.2,4,0.5,1
24,91.4,3,0,4.41,5.5,3,23.3,1
20,63.7,1,0,4.39,5.8,4,13.1,1
9,78.6,4,1,4.36,5.2,4,0.5,1
3,62.1,7,0,4.21,6.8,1,5.3,1
16,67.0,3,0,6.9,7.5,4,17.2,1
23,95.6,10,1,5.27,4.7,3,8.8,1
25,91.0,8,0,5.8,6.6,1,6.9,1
6,74.8,5,0,4.56,6.3,3,22.2,1
6,67.0,10,0,4.83,7.0,3,2.6,1
1,52.4,4,0,4.36,6.6,1,4.6,1
4,76.6,1,0,2.61,4.9,5,12.7,1
14,100.0,0,0,3.76,5.1,2,14.1,1
14,86.3,10,0,3.37,6.6,2,15.0,1
10,76.4,10,0,2.98,7.8,3,18.3,1
8,86.7,8,0,3.92,3.9,5,12.6,1
21,66.4,1,1,6.19,7.0,4,14.9,1
12,79.0,3,0,4.96,8.0,4,8.9,1
21,83.0,0,1,6.16,6.4,2,11.5,1
25,81.1,0,1,5.37,7.3,5,11.9,1
8,89.9,2,0,5.7,5.8,5,12.7,1
6,85.4,6,1,4.19,6.5,3,17.2,1
24,88.7,0,0,5.47,4.7,3,15.4,1
16,75.1,10,0,5.66,3.8,1,11.4,1
8,91.0,5,0,4.48,7.7,4,4.5,1
16,98.3,2,0,5.5,5.4,5,11.5,1
13,72.3,5,0,5.51,6.1,3,10.8,1
23,73.1,8,0,4.51,4.9,3,12.5,1
7,95.4,3,1,3.99,4.9,3,28.7,1
25,80.1,0,0,3.93,6.4,1,6.8,1
24,96.0,0,1,5.08,5.7,4,14.4,1
5,77.6,9,1,5.29,7.1,4,19.5,1
5,96.6,1,1,4.29,7.1,5,11.8,1
14,83.3,6,0,5.02,7.0,5,29.7,1
2,84.6,4,1,5.51,6.9,3,8.0,1
8,97.6,8,1,5.56,8.5,5,13.6,1
11,78.4,0,1,6.4,5.3,3,4.6,1
25,72.6,9,0,6.15,6.5,4,8.2,1
25,77.5,7,1,4.1,8.0,4,13.0,1
4,86.5,4,1,6.52,8.1,5,17.8,1
23,66.3,2,0,4.52,4.9,4,13.6,1
3,88.4,10,0,5.94,6.2,1,21.1,1
19,76.6,3,0,5.06,8.2,1,10.2,1
