temperatura_motor_C,vibracion_mm_s,presion_bar,horas_operacion,humedad_pct,carga_pct,mantenimiento_reciente,estado_maquina
73.6,3.48,29.0,3176,62.7,54.7,0,critica
76.6,4.4,31.6,3764,60.8,77.6,1,critica
48.7,5.88,23.3,1693,50.5,71.0,1,normal
58.1,3.24,34.2,382,55.7,67.9,1,normal
82.9,3.13,27.1,2120,68.0,63.2,1,advertencia
71.4,6.0,31.6,4384,42.2,71.8,0,critica
45.0,4.84,29.3,840,42.6,68.1,0,normal
80.5,0.72,42.6,2819,54.7,65.1,0,critica
61.5,2.12,42.9,1123,58.2,52.5,0,advertencia
84.9,6.75,31.3,2260,39.6,94.5,1,advertencia
66.9,4.88,31.4,888,50.9,45.1,0,normal
70.5,2.9,28.8,3726,50.6,71.7,1,critica
82.1,3.91,37.6,4089,18.8,58.2,1,critica
57.2,4.22,29.0,3840,48.7,95.7,0,critica
56.1,5.45,28.5,3583,49.6,47.7,1,critica
65.6,1.89,36.9,1328,49.6,50.8,0,normal
77.9,2.77,27.8,2745,73.2,46.5,1,advertencia
52.0,4.66,30.8,702,33.8,69.8,1,normal
48.0,4.03,21.5,1996,39.6,39.3,0,advertencia
77.9,5.17,35.2,2627,15.0,55.4,1,advertencia
60.8,2.11,42.6,3408,44.8,25.3,0,critica
63.3,4.81,35.3,664,46.1,68.3,1,normal
45.7,6.06,39.8,4101,44.4,55.0,0,critica
59.9,5.03,25.9,2402,68.6,37.2,0,advertencia
67.9,4.44,32.4,4429,64.9,83.5,0,critica
79.2,4.04,25.3,2731,53.2,40.5,0,advertencia
58.7,2.78,29.6,2825,46.4,78.3,0,advertencia
87.9,4.08,35.6,3524,67.4,51.4,1,advertencia
59.8,6.34,31.6,4135,51.7,92.8,1,critica
59.8,4.0,22.5,956,39.7,77.5,1,normal
86.4,2.69,23.1,2654,26.3,45.9,0,advertencia
70.5,3.36,22.7,343,45.4,47.5,0,normal
61.4,4.54,33.9,2477,63.3,74.9,1,advertencia
66.1,3.57,43.4,4104,86.1,59.3,0,critica
84.2,5.03,39.2,4354,52.9,61.0,0,critica
85.6,5.09,19.6,1560,40.5,86.9,0,normal
58.2,5.71,39.5,2054,34.2,50.5,0,advertencia
67.5,6.62,36.6,2847,60.3,65.6,0,critica
69.1,5.89,21.7,2100,25.5,81.2,1,normal
56.2,2.61,29.2,1054,60.3,78.6,0,normal
67.3,2.66,37.6,1663,64.3,61.1,1,advertencia
68.1,4.07,34.3,2139,58.5,58.8,0,advertencia
81.7,3.43,23.1,2689,48.7,32.7,0,advertencia
82.5,2.26,34.7,4619,60.5,45.0,1,critica
64.0,3.45,18.2,2815,54.6,69.7,1,critica
65.4,3.39,29.7,2058,40.3,61.5,0,advertencia
76.0,3.06,37.8,3370,79.8,65.3,0,critica
61.0,3.66,31.1,3910,46.7,82.7,1,critica
75.1,6.2,28.0,2266,63.6,42.6,0,advertencia
66.9,4.54,36.3,2548,15.7,59.7,1,advertencia
56.4,8.4,36.8,1245,71.1,67.4,0,normal
56.5,4.49,38.9,4350,74.0,51.3,1,critica
85.4,3.71,36.2,4360,52.4,89.8,0,critica
66.1,4.21,37.5,1039,60.4,80.4,1,normal
87.7,4.64,35.4,1860,60.4,69.2,1,normal
61.8,4.94,32.6,1505,42.4,96.3,0,normal
71.5,7.73,31.5,4630,60.2,37.0,0,critica
96.7,2.76,29.6,513,39.9,63.9,1,normal
55.3,5.66,23.7,1195,42.9,70.6,1,normal
45.2,4.55,25.3,1711,68.9,47.5,0,normal
83.4,1.53,29.3,2888,66.6,69.4,1,advertencia
58.1,5.51,32.4,1395,41.4,44.1,1,normal
67.8,6.35,39.6,2775,41.0,76.4,0,critica
61.0,2.74,30.7,3786,42.3,83.0,1,critica
71.2,4.18,37.0,4177,63.0,68.9,0,critica
56.6,1.27,37.5,675,37.0,30.6,1,normal
65.8,2.06,29.6,866,57.4,46.6,0,normal
73.4,5.98,34.6,656,63.2,74.2,1,normal
55.9,3.41,29.5,4567,50.7,64.4,1,critica
59.6,2.32,38.9,3330,67.2,15.5,1,advertencia
63.8,4.59,34.8,2750,47.4,86.4,1,critica
50.9,3.31,23.9,3996,48.8,66.5,1,critica
62.9,3.4,32.0,3013,37.3,49.3,1,advertencia
69.4,5.46,40.9,1330,67.3,81.9,1,normal
63.2,2.23,29.9,2648,40.5,51.8,0,advertencia
64.7,2.66,33.7,3575,57.2,51.6,0,critica
67.8,4.46,34.3,372,50.9,70.5,0,normal
60.1,5.85,24.8,3110,36.2,96.1,1,critica
76.3,6.3,34.1,2586,42.9,93.2,1,advertencia
85.2,3.07,22.6,533,72.7,70.5,0,normal
62.4,5.79,27.2,1465,55.0,72.3,0,advertencia
73.8,2.87,37.5,2352,36.9,78.2,1,advertencia
65.1,7.3,33.1,1844,56.6,41.4,1,normal
72.4,2.27,29.2,1592,49.8,75.6,1,normal
86.8,6.46,33.7,3315,90.0,50.8,0,critica
74.1,3.08,30.6,2140,56.3,69.7,0,advertencia
46.7,7.62,31.1,2588,46.3,59.9,0,advertencia
73.4,5.21,34.9,4031,73.3,73.0,1,critica
82.8,2.47,26.6,647,24.4,66.1,1,normal
65.3,3.31,31.2,1927,53.4,10.0,1,advertencia
79.9,5.53,29.1,550,81.9,67.2,0,normal
59.7,5.99,21.5,4651,50.3,75.6,0,critica
50.2,4.08,25.5,1091,26.0,72.0,1,normal
69.7,4.28,40.4,4135,46.1,62.2,1,critica
46.9,5.49,33.3,1116,73.8,93.6,0,normal
65.1,4.42,23.1,1755,57.6,69.6,1,normal
83.4,2.0,21.8,3119,39.4,71.9,1,advertencia
45.1,2.82,30.3,4190,41.7,82.8,0,critica
52.6,4.6,40.4,1053,43.6,70.5,1,normal
55.6,6.27,29.9,1222,57.4,47.8,1,normal
67.2,6.95,38.8,4432,72.1,20.1,1,critica
63.6,5.53,33.1,1745,67.8,55.4,0,normal
84.8,4.69,33.8,1206,58.8,77.7,1,normal
79.5,5.47,23.0,3768,32.0,57.6,0,critica
73.9,3.07,36.6,637,32.1,78.4,1,normal
69.7,3.94,29.0,4361,60.0,66.7,0,critica
72.7,2.8,36.2,4403,31.8,87.2,1,critica
57.7,2.08,26.1,4311,48.6,58.7,1,critica
78.3,4.77,32.1,1617,56.6,72.4,0,advertencia
54.7,4.52,33.1,748,34.9,73.1,0,normal
78.0,5.37,30.1,2242,36.6,91.0,0,advertencia
82.2,5.13,33.4,1805,50.6,33.3,1,advertencia
70.5,4.61,29.4,4803,59.6,55.7,1,critica
65.9,5.15,27.1,3232,67.9,79.3,1,critica
72.8,4.13,40.6,4732,61.1,91.8,0,critica
35.0,4.9,37.3,3804,53.1,68.3,0,advertencia
71.6,2.97,26.4,3631,40.8,58.7,0,critica
66.6,4.83,34.4,736,35.9,77.6,1,normal
67.4,5.34,26.5,530,44.3,79.6,1,normal
76.5,3.06,23.9,423,58.1,57.5,0,normal
67.1,4.29,37.2,3048,57.0,69.9,0,critica
54.3,3.14,20.8,1168,20.5,85.2,1,normal
66.3,3.3,36.6,4947,40.2,98.0,1,critica
68.8,2.29,29.5,836,70.1,77.4,0,normal
69.4,6.35,29.7,4745,53.2,64.8,1,critica
69.9,6.01,33.5,3404,30.7,63.0,0,advertencia
80.5,5.11,34.5,708,87.3,74.0,0,normal
55.0,7.55,26.0,480,51.6,61.9,0,normal
70.1,3.88,35.3,2100,57.8,67.4,1,normal
83.5,9.35,31.7,1826,58.0,45.0,1,normal
47.2,3.81,23.5,1714,46.5,87.3,0,normal
70.2,4.63,30.0,2737,41.1,43.5,1,advertencia
61.0,3.52,39.3,822,83.8,56.2,1,normal
63.6,4.83,41.1,821,67.0,65.8,1,normal
57.1,5.62,35.3,3535,64.3,99.8,1,critica
66.0,4.01,23.9,4953,60.6,56.4,0,critica
90.1,7.22,33.9,1514,37.0,52.0,0,advertencia
52.8,4.61,36.1,4673,71.2,54.1,0,critica
54.0,4.66,35.4,1855,39.4,93.9,0,advertencia
52.4,2.65,35.7,1812,56.2,13.4,0,advertencia
88.7,4.91,33.2,633,27.4,46.0,0,advertencia
62.5,3.97,30.6,2231,21.4,100.0,1,advertencia
67.7,3.17,27.3,2590,56.8,74.6,0,advertencia
63.2,2.88,19.6,3386,39.9,44.1,0,advertencia
56.7,8.74,33.0,959,22.2,63.2,0,normal
65.2,3.75,32.1,1105,60.1,65.2,0,advertencia
97.5,1.72,34.3,2274,83.8,79.2,1,advertencia
84.7,3.01,23.0,534,72.8,97.1,1,normal
57.8,4.11,34.9,888,48.1,71.0,0,normal
75.8,5.13,43.3,3219,52.1,54.3,1,advertencia
58.0,5.14,31.5,4778,65.3,78.2,1,critica
46.7,5.35,30.6,2950,68.8,51.4,1,advertencia
80.2,3.1,32.9,895,46.8,45.4,0,normal
81.9,4.78,43.2,4956,52.5,32.3,1,critica
80.6,2.71,24.9,2705,56.5,35.8,1,advertencia
62.4,3.15,32.2,3640,60.3,47.9,1,critica
66.0,2.64,26.2,1145,50.0,42.8,0,normal
77.0,2.18,27.7,2976,50.2,69.6,1,advertencia
72.7,6.01,30.7,566,72.7,42.4,0,normal
63.3,5.37,39.1,3203,70.1,10.0,0,critica
48.6,5.86,41.8,1171,59.2,45.2,1,normal
69.4,4.27,33.7,4565,77.8,55.5,1,critica
80.9,5.52,28.7,462,46.2,53.1,0,normal
53.6,1.21,46.0,3332,76.3,91.4,1,advertencia
75.7,5.67,28.4,869,60.1,53.0,1,normal
72.0,4.5,27.6,3498,90.0,79.9,1,critica
77.0,5.27,20.4,2568,34.1,63.7,0,advertencia
78.5,4.85,39.4,4843,41.7,63.2,0,critica
59.7,2.52,36.8,3328,58.3,49.0,1,advertencia
48.6,1.65,45.5,1985,58.0,62.9,1,normal
61.6,2.99,22.7,619,81.3,50.2,1,normal
78.7,5.16,39.7,3059,42.0,67.1,1,advertencia
61.5,5.37,31.4,2316,65.6,59.7,1,advertencia
59.7,1.87,35.8,452,69.4,47.0,1,normal
46.1,2.53,21.1,2989,62.6,81.9,0,advertencia
89.0,2.97,39.8,1207,37.6,71.7,1,normal
77.9,3.59,35.7,1324,73.1,55.9,0,normal
77.2,1.88,30.8,243,70.4,66.6,1,normal
79.6,1.78,34.9,1985,61.0,62.5,0,advertencia
74.9,2.8,26.4,1247,55.1,48.4,1,normal
65.1,4.35,27.5,544,55.4,65.3,0,normal
66.0,2.19,28.2,2284,50.8,52.8,0,advertencia
62.9,4.0,19.9,1256,61.6,47.0,0,normal
99.6,6.0,36.2,843,52.5,34.8,0,advertencia
74.7,1.99,38.1,2440,39.3,57.5,1,advertencia
62.4,3.85,26.8,503,36.3,74.2,0,normal
73.6,5.94,33.1,4954,40.7,51.5,1,critica
55.9,3.49,29.4,2460,55.3,100.0,1,critica
86.1,3.22,33.0,4982,51.6,79.9,1,critica
60.1,6.18,27.2,4430,55.2,87.5,0,critica
74.0,3.68,25.7,4902,59.5,78.3,0,critica
80.8,6.08,37.3,2805,42.6,97.4,0,critica
72.6,4.93,30.6,2230,74.0,49.8,0,advertencia
69.1,3.62,43.1,3655,48.0,17.9,0,critica
68.1,5.02,31.3,587,45.5,56.0,1,normal
67.3,4.74,25.4,4232,59.2,74.0,0,critica
61.1,5.94,38.4,1753,24.5,66.7,0,advertencia
62.6,3.27,34.8,235,40.1,69.0,0,normal
85.8,4.27,35.4,1341,66.7,87.8,0,advertencia
66.7,4.1,38.1,1363,25.9,70.9,0,advertencia
58.6,5.4,27.1,267,68.8,78.4,0,normal
61.8,2.46,30.2,3409,74.7,47.1,1,advertencia
81.2,5.93,30.0,657,46.5,44.3,1,normal
76.1,4.99,23.3,4264,56.4,93.1,1,critica
74.7,1.96,29.4,2375,68.8,65.8,1,normal
64.9,6.25,39.0,3647,45.0,52.8,1,advertencia
74.9,8.0,32.4,1830,65.0,52.8,0,advertencia
60.3,5.9,22.9,833,41.9,52.3,0,normal
64.9,6.63,21.7,1065,44.8,51.2,0,normal
79.6,4.35,41.0,3300,40.0,40.9,0,critica
78.5,1.38,30.5,3637,57.1,37.0,0,critica
56.2,1.06,27.1,1484,69.4,60.5,0,advertencia
57.7,4.63,29.4,1914,49.2,53.3,0,normal
69.3,3.19,22.1,4736,32.9,83.9,1,critica
88.7,2.65,39.5,4288,35.8,69.3,1,critica
45.0,4.09,28.6,2182,57.9,68.8,1,normal
71.3,5.25,39.2,1356,79.7,50.6,0,normal
51.5,1.73,31.3,1646,57.9,61.8,0,normal
60.4,3.44,39.6,2784,46.2,70.5,1,advertencia
63.6,6.77,32.5,2920,63.5,76.9,0,critica
63.0,2.37,36.1,1083,48.4,62.3,0,advertencia
61.6,5.68,35.3,516,46.3,83.4,0,normal
68.1,3.38,34.7,2577,37.6,64.1,0,advertencia
61.6,5.13,33.1,4027,73.1,78.3,1,critica
50.5,6.07,29.6,931,15.0,55.2,1,normal
77.4,5.46,42.5,2160,64.0,31.4,0,advertencia
77.0,5.75,25.6,975,45.0,68.8,0,normal
78.1,2.24,31.0,1362,45.8,77.1,1,normal
49.5,6.09,31.1,3138,77.4,74.4,1,critica
71.6,2.75,33.4,1573,41.3,71.6,1,normal
76.1,4.64,28.4,1466,41.8,57.7,0,advertencia
55.6,4.64,32.9,4979,50.0,49.5,1,critica
68.1,5.02,30.0,1027,58.2,73.9,1,normal
66.6,4.77,21.5,1108,45.4,71.7,1,normal
90.1,2.77,31.1,4662,28.4,53.9,0,critica
91.1,1.91,24.4,2840,39.0,84.0,1,advertencia
48.0,5.68,20.6,406,71.2,48.1,0,normal
97.9,4.52,31.8,2239,53.1,53.5,0,normal
57.0,6.15,33.9,2912,58.8,93.5,1,advertencia
79.8,4.12,34.2,1415,48.1,79.6,1,normal
79.6,1.81,34.4,2831,42.1,57.6,0,advertencia
56.1,5.84,19.4,3312,77.2,69.2,0,critica
73.9,3.57,22.8,1402,49.2,66.8,0,normal
66.7,4.78,42.8,4099,45.3,14.6,0,critica
74.7,3.1,24.7,2373,68.4,47.7,1,advertencia
70.8,7.0,34.7,4824,41.2,63.1,0,critica
82.4,2.71,26.9,621,43.1,57.6,1,normal
68.9,3.63,31.5,1756,52.2,68.4,0,normal
66.0,4.38,27.2,3662,52.0,84.3,1,critica
81.2,2.34,34.4,4495,55.9,58.2,1,critica
75.0,4.76,31.8,1264,83.4,45.0,1,normal
76.8,6.94,28.3,4905,57.0,69.8,1,critica
60.0,3.37,24.7,1128,16.3,58.1,1,normal
55.5,4.87,32.6,2197,56.9,61.2,1,advertencia
61.2,0.6,23.7,1711,52.6,58.7,1,normal
60.6,4.13,33.6,2236,52.7,100.0,0,advertencia
77.4,3.67,46.8,4531,55.7,23.7,1,critica
79.7,2.81,39.1,3716,51.6,57.0,1,critica
66.1,6.04,35.3,4023,51.2,63.9,0,critica
85.2,3.65,30.5,1419,61.2,49.9,1,advertencia
84.4,3.9,19.4,4745,43.9,80.2,0,critica
70.9,3.56,23.1,2290,37.8,78.6,1,advertencia
58.1,0.94,38.7,3329,90.0,63.1,1,advertencia
86.9,2.28,26.3,3549,41.3,59.1,1,critica
67.3,5.83,26.8,3382,53.5,62.0,1,critica
69.5,0.61,30.0,3088,29.6,62.1,0,critica
63.9,2.9,24.6,2504,53.7,62.6,0,advertencia
57.3,3.52,23.6,3308,38.0,60.6,1,advertencia
50.4,7.16,30.7,4544,45.4,68.5,0,critica
75.6,5.51,25.7,2070,67.7,77.6,1,advertencia
58.6,3.25,26.6,2652,59.1,41.9,0,advertencia
104.7,6.42,26.3,1064,60.5,45.1,1,normal
55.0,2.94,34.1,1904,25.4,32.5,1,normal
52.9,5.92,29.6,3905,79.6,79.6,1,critica
74.1,1.89,29.9,3273,34.1,68.5,1,critica
86.4,6.02,34.6,1213,74.9,73.1,0,normal
68.8,3.51,30.1,2821,67.3,38.3,0,advertencia
74.9,2.45,29.3,4097,60.7,96.1,0,critica
45.9,3.83,33.8,795,39.2,53.0,1,normal
59.9,4.67,35.0,497,54.3,67.0,1,normal
55.1,3.36,30.1,2085,44.9,79.4,1,normal
45.3,5.14,31.5,3351,52.4,46.2,0,critica
69.4,3.21,26.3,1703,48.3,54.2,1,normal
41.1,5.25,25.8,4140,21.4,67.2,0,critica
52.1,4.95,35.6,4264,68.8,100.0,0,critica
61.6,4.1,33.7,2756,50.8,69.4,0,advertencia
58.0,3.45,33.7,2018,44.7,92.9,1,normal
72.8,4.46,32.7,400,43.6,85.7,0,normal
71.7,5.14,31.3,4143,57.4,70.6,1,critica
78.7,7.71,35.2,4497,38.6,46.2,1,critica
77.0,5.8,36.6,2323,18.2,83.1,1,advertencia
81.7,5.86,36.5,2679,58.1,37.0,1,advertencia
68.0,9.45,30.4,3816,59.8,92.8,0,critica
71.6,5.08,39.3,3537,49.0,67.6,0,critica
74.1,5.02,32.4,849,34.8,16.3,1,normal
69.7,5.4,34.8,3427,53.3,57.9,1,critica
63.2,2.48,32.7,4638,30.0,75.8,1,critica
64.0,3.45,32.5,3803,36.6,59.7,1,critica
58.2,3.34,26.6,2506,40.7,76.9,0,advertencia
73.1,5.3,35.2,2711,64.7,48.7,0,critica
66.9,3.9,48.1,1447,46.6,40.5,0,normal
60.0,4.43,28.8,3371,45.3,62.7,0,critica
60.1,6.05,31.4,1359,81.3,64.6,1,normal
53.5,5.67,28.3,1840,57.3,57.7,1,advertencia
79.7,3.93,28.1,1472,57.1,86.1,1,normal
68.9,3.06,40.3,1809,46.5,48.7,1,advertencia
57.6,6.13,27.0,1960,43.1,69.6,0,advertencia
77.7,5.52,28.2,598,19.2,65.2,1,normal
61.3,1.47,21.5,3644,66.5,36.0,0,critica
51.1,3.67,26.5,2316,58.7,40.3,0,normal
80.3,4.48,20.7,4758,49.3,64.2,0,critica
61.6,5.52,34.8,1068,49.9,99.7,1,normal
63.1,5.75,47.8,3411,63.0,74.4,1,critica
68.5,4.68,28.8,1060,28.7,32.9,1,normal
81.7,5.19,21.0,2826,43.2,10.0,1,advertencia
68.2,4.31,36.4,2556,35.0,77.2,0,advertencia
53.6,3.05,26.6,2353,78.6,62.3,0,advertencia
74.5,3.76,38.8,3342,65.1,84.5,1,critica
62.2,4.23,29.3,4175,19.0,48.1,0,critica
90.7,4.14,27.2,1720,29.3,70.3,1,normal
68.0,0.99,29.9,4278,50.0,79.2,0,critica
41.2,3.52,35.5,1087,44.9,55.9,0,normal
72.3,4.3,29.6,1606,32.1,56.3,0,advertencia
91.3,3.72,28.0,1691,81.2,64.5,0,advertencia
86.9,3.78,29.8,4776,56.7,73.8,1,critica
90.0,5.03,23.4,769,59.1,63.7,1,normal
55.8,2.37,33.4,2096,41.6,81.5,1,normal
78.9,1.43,20.3,2237,62.8,55.7,1,advertencia
59.3,3.61,28.3,4040,46.3,40.1,0,critica
