monto_usd,antiguedad_cliente_meses,intentos_24h,distancia_km,transaccion_noche,pais_nuevo,dispositivo_nuevo,indice_historial_confiable,fraude
26.1,158,3,60.9,0,0,1,0.84,0
78.68,179,5,119.0,1,1,0,0.66,1
29.52,148,2,58.6,1,0,1,1.0,0
29.52,69,1,5.0,0,0,1,0.75,0
103.95,178,3,40.9,0,0,0,1.0,0
84.88,62,5,42.2,0,0,1,0.48,1
26.71,105,5,0.0,1,0,1,0.84,1
40.35,2,1,0.0,1,0,0,1.0,0
33.53,173,5,20.1,0,0,1,0.68,0
191.45,106,2,46.2,1,0,0,0.79,0
108.73,170,6,0.0,0,0,0,0.76,0
45.9,64,4,0.4,1,0,0,0.71,0
87.75,57,1,39.2,0,0,1,0.86,0
24.99,94,3,23.3,0,0,1,0.61,0
38.97,155,6,64.5,1,1,1,0.8,1
64.6,99,4,0.0,0,1,1,0.9,0
80.96,142,5,92.6,0,0,0,0.79,0
56.64,39,6,0.0,0,0,1,0.66,1
70.9,139,1,0.0,1,0,0,0.98,0
63.49,132,7,20.2,1,1,1,0.94,1
54.25,161,3,0.0,0,1,1,0.65,0
49.77,11,6,20.8,1,1,1,0.61,1
45.74,69,4,19.8,1,0,1,0.67,1
70.16,16,5,16.1,0,0,1,0.91,0
78.81,72,3,0.0,1,0,1,0.86,0
68.64,136,6,35.0,0,1,0,0.95,0
28.05,115,1,12.5,0,1,1,0.77,0
31.52,135,7,55.1,1,0,1,0.67,0
78.2,133,2,16.6,0,1,1,0.97,0
157.05,178,7,0.0,0,0,1,0.73,0
66.62,158,1,0.0,0,0,0,0.85,0
46.17,105,1,16.8,0,0,0,0.57,0
69.81,157,1,0.0,1,1,0,0.73,0
28.82,9,4,0.0,1,0,0,0.98,0
141.29,130,2,37.8,1,1,0,0.71,0
68.12,94,5,0.0,1,1,1,0.95,0
39.05,172,6,64.4,0,0,1,0.45,0
54.14,91,1,26.8,0,1,1,0.73,0
42.84,32,4,20.7,0,0,1,0.79,0
141.54,130,6,0.0,1,1,1,1.0,0
52.91,171,3,44.9,0,0,1,0.63,0
66.75,3,7,21.9,1,0,1,0.93,1
87.61,12,5,1.4,0,1,0,0.99,0
37.28,119,1,28.0,1,1,1,0.7,0
68.44,100,4,0.0,1,0,1,0.76,0
72.12,99,3,0.0,0,1,1,0.84,0
21.97,17,1,0.0,0,0,1,0.58,0
71.11,103,7,32.5,0,1,0,0.75,0
58.57,102,2,21.9,0,1,0,1.0,0
65.66,153,1,53.5,1,0,0,0.9,0
61.75,70,2,0.0,1,1,0,0.79,0
71.41,63,6,39.2,0,1,0,0.84,1
143.92,15,5,18.6,1,0,1,0.91,1
28.03,102,6,0.0,1,0,0,0.94,0
48.31,117,4,33.6,1,0,1,0.73,0
93.07,51,1,20.0,1,0,1,1.0,0
82.48,131,3,3.1,0,0,1,1.0,0
81.34,168,2,23.3,0,1,0,0.93,0
361.34,32,4,18.1,1,1,0,0.69,1
89.94,103,2,17.4,0,0,1,0.66,0
125.85,125,7,9.6,1,0,1,0.77,1
49.42,4,3,0.0,1,1,1,0.83,1
31.65,33,3,24.2,1,1,0,0.54,1
49.19,71,7,0.0,0,0,0,0.9,0
95.85,25,4,0.0,0,0,0,1.0,0
78.61,64,2,14.8,1,0,1,0.91,0
78.42,27,4,44.0,1,0,1,0.71,1
52.49,161,2,27.6,0,0,0,0.69,0
47.32,108,6,6.1,1,0,0,0.87,0
53.68,59,5,4.9,1,0,1,0.8,0
96.63,140,6,41.1,1,0,1,0.89,0
104.22,4,7,0.0,1,0,1,0.92,1
31.37,107,6,45.9,1,0,0,0.99,0
99.04,123,3,0.0,1,0,1,0.64,0
39.53,145,2,0.0,1,1,0,0.86,0
81.84,40,4,6.6,0,0,1,0.76,0
53.26,106,4,87.1,1,0,0,0.8,0
166.96,138,3,72.3,0,1,0,0.96,0
45.98,143,6,43.2,1,1,1,0.98,1
67.77,32,7,32.7,0,0,1,1.0,1
89.5,175,3,0.0,0,0,0,0.89,0
34.19,50,5,26.7,0,0,1,0.8,0
57.55,70,7,5.5,0,1,0,0.78,0
50.74,35,1,0.0,1,0,0,0.54,0
43.21,27,3,26.6,1,0,0,1.0,0
45.34,46,6,7.9,1,1,1,0.77,1
124.31,25,4,48.1,1,1,0,0.9,1
40.89,132,6,0.0,1,0,1,0.93,1
87.2,107,4,24.3,1,0,1,0.62,0
74.03,70,1,0.0,0,1,0,0.67,0
24.34,98,4,9.7,1,1,0,1.0,0
84.56,109,3,31.1,0,1,0,0.87,0
24.08,33,6,0.0,1,1,0,0.73,1
90.76,54,2,26.9,1,0,1,0.8,0
43.39,158,2,15.6,1,1,1,0.99,0
60.67,3,1,2.2,1,1,0,0.97,0
26.02,172,4,7.9,0,1,0,0.59,0
65.34,173,7,17.4,1,0,1,1.0,0
110.22,46,5,0.0,1,0,1,0.97,0
35.71,58,6,22.2,0,0,0,0.8,0
40.66,38,6,13.7,0,1,0,0.63,0
81.09,101,5,3.7,1,1,1,0.99,0
82.41,39,5,69.7,1,0,1,0.9,1
15.0,142,2,34.5,1,1,1,0.59,1
223.63,70,7,10.5,1,1,0,0.78,1
85.08,174,6,26.4,0,1,0,1.0,0
94.92,153,7,0.0,0,0,0,0.82,0
54.97,72,7,8.9,1,0,1,0.7,1
18.07,107,3,12.4,0,0,0,0.66,0
93.56,5,2,0.0,0,1,1,1.0,0
41.79,13,7,33.6,0,1,1,0.96,1
85.93,91,4,6.8,0,0,0,1.0,0
52.34,85,7,11.3,1,0,0,0.86,0
70.44,72,5,4.9,0,1,0,1.0,1
36.46,17,2,110.8,0,1,1,0.68,1
105.83,151,3,2.1,0,0,1,0.85,0
27.87,73,5,0.0,0,0,1,0.87,0
259.72,85,3,0.0,1,1,1,1.0,0
258.44,73,2,44.8,1,1,0,0.87,0
174.38,90,2,62.1,0,1,0,0.72,0
138.25,117,5,1.5,0,1,0,0.83,0
57.11,137,1,60.4,1,0,1,0.55,0
128.8,99,1,44.2,1,1,0,0.45,0
56.68,30,1,16.3,1,1,0,0.95,0
21.98,157,6,14.2,1,0,1,0.76,0
160.31,51,1,27.4,1,0,0,0.78,0
125.68,3,3,48.3,0,0,1,0.95,0
59.12,7,1,33.9,0,0,1,1.0,0
27.21,139,5,1.7,0,0,1,0.91,0
41.22,70,1,16.8,0,1,1,1.0,0
18.47,5,1,81.4,1,0,0,0.9,0
111.53,146,3,29.5,1,1,1,0.87,0
21.28,55,5,48.1,1,1,1,0.86,1
72.71,176,1,38.2,1,1,1,0.61,0
34.87,158,4,30.2,0,0,0,0.97,0
23.87,9,6,25.3,0,0,0,0.43,0
70.45,124,5,48.9,1,0,0,0.73,0
48.57,108,6,43.6,0,1,1,0.82,1
104.04,31,3,29.9,1,0,0,0.69,0
26.47,62,7,1.2,1,0,1,0.75,1
36.88,88,2,33.6,0,1,0,1.0,0
15.0,27,5,20.0,1,1,1,1.0,1
15.0,130,4,12.8,1,0,1,0.71,0
194.19,50,1,102.4,0,1,0,0.74,0
233.77,168,7,0.0,0,0,1,0.62,0
64.09,144,5,50.8,0,0,0,0.93,0
35.32,114,2,0.0,0,0,0,0.78,0
49.7,22,1,25.9,0,1,0,0.51,0
106.47,5,5,99.1,1,0,0,0.84,1
43.19,27,4,0.0,0,0,1,0.89,0
70.42,90,1,0.3,0,1,1,0.97,0
59.84,140,7,21.5,0,0,1,0.81,0
41.69,28,6,0.0,0,0,1,0.76,0
42.86,127,4,48.5,0,0,0,1.0,0
73.01,9,2,6.0,0,1,0,0.82,0
31.98,48,2,41.6,1,1,1,0.94,0
80.93,108,4,0.0,1,1,0,0.73,0
44.41,149,1,0.0,0,0,1,0.93,0
65.55,140,3,15.1,1,1,1,0.59,0
148.35,96,2,0.0,1,1,1,0.75,1
54.09,7,1,67.5,1,1,1,0.63,1
109.71,53,1,0.0,1,1,1,0.72,1
18.82,141,3,0.0,0,1,1,1.0,0
44.45,15,3,34.4,1,0,0,0.72,0
61.44,127,3,4.4,1,0,0,0.93,0
210.64,127,5,0.0,0,1,1,1.0,0
16.88,135,4,83.2,1,0,1,0.82,0
56.68,39,2,0.0,0,1,1,0.98,0
155.53,44,7,16.1,0,1,0,0.9,1
36.22,36,6,15.7,0,0,1,0.84,1
52.54,71,4,43.3,0,1,1,0.94,0
74.86,94,1,35.9,1,0,0,1.0,0
68.03,22,7,0.0,1,1,0,0.72,1
166.96,102,6,12.2,1,0,1,0.67,1
80.76,43,4,15.2,0,0,0,0.66,0
143.03,101,2,44.5,0,1,0,0.98,0
47.75,55,1,0.0,1,0,0,1.0,0
37.29,171,3,82.5,0,0,1,0.73,0
52.11,58,2,0.0,1,0,0,0.48,0
28.41,156,2,21.7,1,1,1,0.71,0
82.62,32,3,0.0,0,0,0,0.91,0
46.95,16,1,0.0,1,0,0,0.81,0
38.99,34,3,0.0,1,0,1,0.85,0
83.44,76,7,0.0,0,1,0,0.74,0
28.69,162,7,9.6,1,0,1,0.98,0
99.57,32,1,0.0,1,0,1,0.87,0
44.22,141,5,42.9,0,1,1,0.91,0
128.18,125,7,0.0,0,0,0,0.85,0
46.75,62,5,0.0,1,1,0,0.9,0
90.99,61,3,10.2,1,0,1,0.89,0
67.81,170,4,51.8,0,1,0,0.67,0
97.86,128,2,28.4,0,0,0,0.88,0
64.81,43,3,19.0,1,1,0,0.95,0
20.47,164,7,0.0,0,1,0,1.0,0
116.25,73,5,0.0,0,0,0,0.89,0
57.0,15,4,0.0,0,0,1,0.67,0
100.8,146,1,61.2,0,0,0,0.69,0
94.51,156,7,37.9,0,0,1,0.75,0
36.5,80,2,0.0,0,1,1,0.85,0
33.29,127,6,5.1,0,0,0,0.8,0
92.39,42,3,0.0,0,1,1,0.64,1
49.55,153,2,0.0,1,0,0,0.64,0
110.91,66,2,35.8,0,1,0,0.48,0
53.74,48,3,13.4,1,1,0,0.32,1
117.36,90,5,84.4,0,1,1,0.8,1
79.45,48,3,59.5,0,1,1,1.0,1
72.76,112,1,61.3,1,1,1,1.0,0
47.32,134,2,42.1,1,1,1,0.66,1
70.18,73,2,9.3,0,1,0,0.84,0
131.02,141,3,39.9,1,0,1,0.59,0
58.25,78,7,11.5,0,1,1,0.61,1
85.22,174,7,70.9,0,1,0,0.63,1
62.19,48,7,34.1,0,1,0,0.78,1
65.43,127,1,29.9,1,1,0,0.79,0
184.97,96,4,25.8,1,0,0,0.86,0
131.78,169,1,74.2,1,0,0,0.93,0
63.54,40,4,0.0,0,0,1,0.77,0
69.37,36,5,77.1,0,0,0,0.83,0
38.24,156,6,16.4,1,0,1,0.64,0
53.92,162,3,0.0,1,0,1,0.6,0
73.78,134,1,0.0,1,1,0,0.58,0
104.89,86,4,0.0,1,1,1,0.92,1
98.2,74,3,41.6,0,1,0,0.77,0
29.34,120,5,0.0,1,0,0,0.52,0
113.87,134,1,27.1,1,0,1,0.81,0
56.96,50,5,56.0,1,1,1,0.62,1
31.77,2,3,1.8,0,0,0,1.0,0
143.83,14,6,14.0,1,1,1,0.73,1
156.2,62,7,0.0,1,1,1,0.93,1
71.62,123,2,10.3,1,1,1,0.99,0
95.65,79,6,99.2,0,0,1,0.67,1
99.37,111,1,45.3,1,1,0,0.83,0
149.49,85,7,14.1,1,1,0,0.91,1
96.86,46,4,3.6,0,0,0,0.84,0
25.46,135,6,20.7,1,0,1,0.88,0
222.82,130,6,25.9,0,1,1,0.61,1
120.62,173,5,9.4,0,0,1,0.91,0
43.33,148,3,37.9,1,1,1,0.74,0
30.9,69,6,0.0,0,0,1,0.88,0
83.77,127,4,0.0,0,1,0,0.97,0
50.36,63,5,33.1,0,0,0,0.93,0
74.78,157,5,0.0,1,0,1,0.88,0
97.83,110,4,43.9,0,0,0,0.92,0
41.75,150,1,21.6,0,0,1,0.93,0
29.21,51,3,0.0,1,0,0,1.0,0
77.54,3,7,25.3,0,1,1,0.81,1
42.66,26,4,0.0,1,0,1,0.85,1
66.35,96,5,42.8,1,0,1,0.97,0
25.2,173,2,14.5,1,0,1,0.74,0
51.22,113,5,77.5,1,1,1,0.61,1
96.04,145,4,54.1,1,1,1,0.9,0
89.47,84,2,0.0,1,1,0,0.79,0
36.15,172,2,0.0,1,0,1,0.63,0
28.24,169,3,0.0,1,1,1,0.9,0
60.96,39,4,0.0,1,0,0,1.0,0
86.89,155,2,76.8,1,1,0,0.56,0
78.52,4,2,21.7,0,0,0,0.98,0
43.25,107,2,50.0,1,1,1,0.41,1
73.23,79,3,13.4,0,1,1,0.76,0
