pm25_ug_m3,pm10_ug_m3,no2_ppb,co_ppm,temperatura_c,humedad_pct,viento_m_s,estacion,tipo_dia,y_real,probabilidad_clase_1,prediccion
25.81,48.94,62.6,2.76,20.1,63.8,2.95,centro,laboral,0,0.43320724145645756,0
18.34,31.31,27.48,0.42,15.0,54.8,4.04,norte,fin_semana,0,0.011184310182192911,0
20.86,38.34,38.99,1.65,4.1,64.8,0.45,industrial,laboral,1,0.5541473815892528,1
21.87,34.47,36.99,4.59,10.5,64.4,5.21,industrial,fin_semana,0,0.5139420479048483,1
11.81,28.27,20.61,3.71,25.2,25.6,1.99,industrial,laboral,1,0.21877405728941793,0
18.83,27.17,29.03,1.48,20.2,71.9,2.9,centro,feriado,0,0.029838068709994822,0
22.73,47.02,19.25,1.86,19.2,27.0,2.36,norte,fin_semana,0,0.06618250315669959,0
13.79,25.76,14.52,1.18,9.1,52.0,4.67,industrial,laboral,0,0.1533393220975351,0
51.57,73.41,86.62,2.19,17.6,64.8,4.85,centro,fin_semana,0,0.8635738727265925,1
16.79,27.46,29.95,0.71,11.8,51.0,0.84,centro,fin_semana,0,0.05745919740376078,0
29.36,61.42,25.53,1.21,7.4,47.3,1.0,norte,laboral,0,0.3378553622807904,0
27.12,41.82,40.43,3.1,10.2,61.6,4.7,norte,laboral,0,0.23244418606189315,0
12.7,27.16,26.52,0.64,10.8,15.0,2.87,centro,laboral,0,0.03356222172942488,0
15.03,35.31,33.86,1.56,23.4,62.1,7.56,sur,laboral,0,0.013675804384717008,0
15.08,22.07,22.11,1.67,18.8,85.8,2.94,industrial,laboral,0,0.09775778252425045,0
10.2,21.46,20.31,1.0,26.7,80.6,1.84,centro,laboral,0,0.017972741307380448,0
34.45,81.0,17.62,3.27,10.7,42.2,3.04,industrial,fin_semana,1,0.8892720938398531,1
32.02,42.56,27.71,1.09,20.2,67.5,2.99,norte,laboral,0,0.07391173588158902,0
18.44,42.22,48.45,1.78,15.8,59.3,1.6,industrial,laboral,0,0.3449918635082495,0
16.3,33.14,18.22,0.93,20.5,72.4,2.16,sur,fin_semana,0,0.012594109033970773,0
9.28,14.64,44.05,1.38,6.0,64.0,1.55,centro,laboral,0,0.04839448811299058,0
22.31,52.23,26.01,2.11,15.8,84.8,1.87,sur,fin_semana,1,0.1531958021826749,0
15.34,33.25,22.8,1.11,12.0,76.1,5.1,industrial,laboral,0,0.16709349577695246,0
28.55,57.38,27.67,1.1,27.7,54.9,4.75,industrial,laboral,0,0.4758196262225836,0
59.0,125.82,31.78,1.16,13.4,56.5,6.29,industrial,laboral,1,0.8382562281843958,1
16.88,28.15,10.65,0.59,26.5,81.5,2.21,centro,fin_semana,0,0.020459769807597526,0
35.28,63.68,34.23,1.98,16.8,35.9,0.78,sur,laboral,0,0.6374328682863868,1
33.04,47.75,36.33,1.1,12.1,56.3,1.37,norte,fin_semana,0,0.18961965525531319,0
27.7,52.78,41.55,1.67,15.4,69.3,1.74,centro,fin_semana,0,0.17386015565754073,0
9.54,17.45,40.92,1.04,28.9,53.6,3.65,sur,laboral,0,0.017951557522200918,0
43.12,64.04,28.09,1.11,13.3,76.2,0.45,centro,laboral,0,0.6290243114855067,1
16.95,35.61,66.49,1.73,25.0,79.4,1.73,sur,laboral,1,0.18513850421409198,0
18.6,35.02,19.26,2.99,14.0,63.4,2.8,norte,fin_semana,1,0.1119379511059474,0
12.49,21.98,92.44,1.61,17.8,70.0,2.72,industrial,fin_semana,1,0.3091909794207985,0
11.71,24.75,16.9,2.26,15.9,62.9,2.23,sur,fin_semana,0,0.018673881845917534,0
27.09,53.05,62.74,1.24,5.5,72.5,4.9,centro,laboral,1,0.11146104835399243,0
18.19,40.79,40.87,1.46,27.2,63.2,5.81,centro,laboral,0,0.018361934900838785,0
35.7,79.11,23.49,1.08,16.5,32.1,3.73,centro,laboral,0,0.18953781632979047,0
25.61,63.65,22.27,0.86,10.4,66.9,2.46,industrial,laboral,0,0.3726962871530584,0
17.35,43.39,32.17,0.38,20.8,29.1,1.66,industrial,laboral,1,0.08318438376029308,0
21.45,35.69,30.46,0.88,21.8,68.9,8.95,industrial,fin_semana,0,0.014523336741724594,0
31.1,85.05,17.19,1.17,16.9,96.6,0.98,centro,fin_semana,0,0.4013031891488479,0
19.4,37.9,18.52,0.91,12.8,21.9,2.62,norte,laboral,0,0.021538167156380194,0
59.15,147.81,27.93,2.57,-2.1,70.6,7.46,industrial,laboral,1,0.8803836927655639,1
22.21,43.14,33.85,1.64,26.2,28.1,0.51,sur,laboral,0,0.2678822436183813,0
24.26,51.86,36.51,0.42,8.7,50.5,9.11,centro,laboral,0,0.01997649366561979,0
22.76,45.07,43.5,1.17,8.9,60.3,2.19,centro,feriado,0,0.19374652177218804,0
57.16,91.82,29.81,1.54,10.4,31.7,1.64,centro,laboral,1,0.8036200641805505,1
15.11,33.87,40.11,0.93,16.7,56.9,4.05,centro,fin_semana,0,0.021106058602286336,0
24.56,49.91,34.35,0.52,32.4,39.0,5.36,centro,laboral,0,0.023233138422828814,0
52.88,104.14,37.3,0.45,32.7,43.2,1.28,sur,laboral,1,0.6594667073434801,1
37.56,54.44,20.07,0.64,15.6,55.1,4.57,centro,laboral,0,0.047671975080737485,0
19.85,45.55,41.7,0.4,21.1,78.3,1.27,centro,fin_semana,0,0.08637403004061553,0
19.27,25.05,22.91,0.41,22.0,54.4,1.75,centro,laboral,0,0.021037775431707196,0
17.01,36.95,28.96,1.38,14.8,58.0,0.72,norte,laboral,0,0.11564472916860959,0
24.25,39.13,34.4,0.74,16.8,62.1,7.53,sur,fin_semana,0,0.00936831056502401,0
20.12,34.63,29.39,2.53,14.6,44.0,4.71,norte,laboral,0,0.04889536168482212,0
23.71,45.82,19.78,1.99,28.3,44.2,3.93,norte,fin_semana,0,0.0475742759010014,0
23.47,42.94,34.67,2.65,12.2,87.3,1.2,centro,laboral,0,0.1923359922286439,0
26.46,50.42,46.02,2.19,10.7,55.3,4.07,sur,laboral,0,0.20239510326830717,0
21.85,43.15,33.46,2.04,22.7,56.6,2.87,sur,laboral,0,0.06821342742884655,0
17.18,29.48,27.98,1.27,14.3,72.6,0.31,sur,fin_semana,0,0.07587903038407946,0
23.52,55.26,16.65,1.24,11.1,58.6,0.98,centro,fin_semana,0,0.12944250800215365,0
32.97,68.79,45.68,0.92,19.8,47.3,1.0,norte,fin_semana,0,0.43693506842599905,0
31.49,63.78,30.54,1.1,22.9,52.7,4.63,norte,fin_semana,0,0.047473929481443196,0
20.38,38.57,18.94,1.24,18.0,75.9,1.63,centro,laboral,0,0.03549573961350028,0
32.78,64.85,22.62,1.01,7.9,55.6,2.63,sur,feriado,1,0.09647454379558203,0
34.59,64.28,28.28,0.91,9.2,46.7,3.45,sur,feriado,0,0.11982545640356682,0
6.23,9.44,20.67,1.17,22.0,79.9,4.6,industrial,laboral,0,0.04889727669132331,0
44.87,84.53,42.52,0.64,19.1,88.2,2.46,industrial,fin_semana,1,0.6071285349746215,1
16.09,38.11,50.7,2.53,18.3,79.9,2.92,norte,fin_semana,1,0.04468853342006872,0
13.01,25.4,35.17,1.07,12.1,59.8,0.64,sur,laboral,0,0.1893148923636289,0
33.15,68.89,24.39,0.55,20.2,77.4,4.08,centro,laboral,0,0.044303263540979285,0
19.6,36.15,47.99,0.62,2.1,48.2,1.48,industrial,laboral,1,0.25977577298784,0
20.49,27.9,34.96,0.91,1.8,62.5,0.5,norte,laboral,0,0.08049785052173672,0
10.41,20.11,23.16,2.28,15.9,46.0,2.74,sur,laboral,0,0.11720481169984753,0
34.85,53.55,,0.59,-3.0,40.0,0.76,industrial,laboral,0,0.7425798613198606,1
18.82,24.71,31.39,1.35,16.7,49.0,2.24,centro,laboral,0,0.055761541731144636,0
14.76,26.28,36.73,0.59,17.2,56.3,5.19,norte,laboral,0,0.019421791138094197,0
11.97,27.86,10.81,0.86,5.3,73.6,0.34,norte,fin_semana,0,0.014821684148830352,0
15.92,38.49,25.76,0.86,21.7,95.8,1.24,industrial,laboral,0,0.12359372920960607,0
15.77,35.59,34.87,0.75,16.5,65.9,3.66,industrial,laboral,0,0.07112580823322275,0
28.26,61.26,43.37,0.44,18.4,61.4,2.67,centro,laboral,0,0.14685540609116837,0
18.84,35.19,38.56,1.38,13.3,77.1,2.06,norte,laboral,0,0.06968509968280315,0
37.69,73.12,72.14,0.45,10.9,51.6,2.71,centro,fin_semana,1,0.49491095390619766,0
24.45,31.18,39.62,1.0,9.9,72.4,4.26,industrial,laboral,0,0.1963505554571234,0
17.04,30.32,34.38,0.38,21.9,38.9,1.82,norte,laboral,0,0.028183378750443695,0
23.92,37.18,24.26,1.06,14.5,94.8,3.7,norte,laboral,1,0.03232872243124218,0
16.98,30.46,22.87,1.15,24.0,78.3,11.74,centro,laboral,0,0.013894635208484342,0
52.78,103.66,34.52,1.93,4.9,59.6,7.46,centro,laboral,0,0.2966158652664567,0
5.33,10.55,18.94,0.83,22.2,75.0,1.4,industrial,fin_semana,0,0.02279131786753013,0
10.07,21.84,30.25,1.07,9.3,89.1,0.25,industrial,laboral,0,0.8591945717201801,1
2.76,5.09,93.85,0.72,14.9,63.8,3.13,centro,fin_semana,0,0.12667035937125998,0
22.61,28.54,,0.57,29.5,80.3,2.67,sur,laboral,1,0.03041791375272598,0
26.68,48.68,48.85,1.75,17.0,68.5,1.54,centro,fin_semana,1,0.33814778905058107,0
9.93,9.19,43.92,2.86,11.2,77.5,2.5,norte,laboral,1,0.055131141594862244,0
10.53,17.13,51.79,1.25,14.8,89.8,4.17,industrial,laboral,0,0.17113397320441706,0
38.27,71.95,58.29,0.85,13.8,74.2,4.83,sur,fin_semana,0,0.22789826424042833,0
23.25,45.82,36.62,0.83,9.4,91.1,4.54,industrial,laboral,0,0.1602189576184002,0
19.85,51.87,35.65,1.18,6.5,44.5,3.53,sur,laboral,0,0.09862637133686593,0
57.36,128.14,19.67,0.84,11.3,73.4,2.91,norte,laboral,1,0.5501694934501379,1
17.84,37.65,15.59,1.26,17.9,38.5,0.85,centro,feriado,0,0.0473024011057938,0
18.05,43.65,33.33,0.86,20.7,36.3,1.16,industrial,feriado,0,0.28900383525598083,0
25.24,60.0,37.11,2.08,8.8,85.5,1.91,industrial,laboral,1,0.8200276039387334,1
20.29,48.33,41.9,0.83,30.3,68.8,3.22,centro,laboral,0,0.11346386094647655,0
8.69,18.58,27.14,1.56,14.6,80.0,3.15,industrial,laboral,0,0.14133659069274723,0
11.42,25.16,24.79,2.16,2.7,44.5,3.0,sur,fin_semana,0,0.026191583561951264,0
40.84,76.53,26.22,2.46,12.5,46.0,0.92,centro,laboral,1,0.9036975518703255,1
25.01,34.53,19.35,1.16,12.1,38.8,3.31,sur,laboral,0,0.041959982921077534,0
10.15,19.58,36.74,1.04,6.7,62.9,0.84,sur,laboral,0,0.038583633906469295,0
22.41,40.53,45.43,2.29,23.8,76.5,2.76,sur,fin_semana,0,0.07972941597547391,0
20.51,41.3,26.83,1.47,13.3,85.2,1.32,sur,laboral,0,0.09658013831911513,0
8.13,11.84,25.16,0.56,-2.2,62.6,5.24,industrial,laboral,0,0.026690129073311034,0
20.86,37.71,30.26,1.38,20.0,33.9,2.26,norte,fin_semana,1,0.03493910169990512,0
27.05,42.25,39.11,0.37,20.8,88.5,5.17,norte,laboral,0,0.013854141704464524,0
30.2,55.77,69.0,0.73,18.1,96.5,1.28,industrial,laboral,1,0.9391582145478139,1
16.55,35.75,52.61,1.0,1.4,49.1,1.72,norte,laboral,1,0.061719411156175595,0
16.54,26.44,43.21,2.61,5.9,52.6,7.5,norte,fin_semana,0,0.0143842251255021,0
21.13,37.73,24.31,1.04,14.7,15.9,8.05,norte,feriado,0,0.01428459931698826,0
,49.53,21.82,0.79,15.6,78.3,1.71,norte,fin_semana,0,0.0641923971046908,0
12.18,20.26,23.72,0.62,23.2,58.4,2.39,sur,laboral,0,0.01799383255107339,0
25.21,48.25,29.79,0.7,17.3,43.8,1.92,sur,laboral,0,0.1161798639257314,0
16.11,26.37,48.22,1.2,8.4,60.9,4.83,centro,feriado,0,0.029252515770008845,0
17.67,32.2,21.54,0.67,23.3,45.8,3.22,centro,fin_semana,1,0.01879071723236964,0
13.95,30.9,25.83,0.92,14.1,58.5,3.6,industrial,laboral,0,0.09403460643596673,0
35.63,100.01,22.89,2.78,13.5,98.0,0.38,centro,laboral,0,0.9618252626785824,1
29.73,63.83,27.93,1.74,17.9,19.5,1.37,sur,fin_semana,0,0.2576015046818086,0
10.92,23.83,47.69,2.53,16.3,74.8,4.07,sur,laboral,0,0.04756350716344183,0
17.33,32.35,25.06,0.91,16.5,61.1,4.28,sur,fin_semana,0,0.0175880851746678,0
33.09,69.57,16.61,1.9,8.8,74.1,2.0,centro,fin_semana,0,0.224766338910061,0
34.22,50.08,32.02,0.95,11.6,37.8,0.53,industrial,fin_semana,0,0.720005465034862,1
19.75,36.91,53.11,0.71,18.4,98.0,1.77,centro,laboral,0,0.2015900154359438,0
23.71,39.7,53.66,2.74,11.7,64.7,11.71,sur,laboral,0,0.06562850040415347,0
25.33,52.13,26.38,0.85,21.3,55.4,1.51,norte,laboral,0,0.14341467802724123,0
19.49,35.3,24.96,2.32,14.3,72.0,4.55,sur,laboral,0,0.05057282130152671,0
12.63,24.17,17.08,0.67,21.7,98.0,3.81,industrial,fin_semana,0,0.020111414713944734,0
15.63,25.96,40.99,2.11,16.1,76.7,0.91,industrial,laboral,1,0.4881249327151866,0
11.53,29.89,46.15,0.8,3.4,81.1,3.25,centro,fin_semana,0,0.028714132698300088,0
10.5,23.23,20.24,1.0,23.3,49.4,3.71,sur,laboral,0,0.010894964829136882,0
24.1,48.32,33.77,0.82,10.9,41.9,5.61,norte,laboral,0,0.028468505836124734,0
9.88,20.98,14.76,0.77,17.7,45.0,1.94,sur,fin_semana,0,0.010752034153383515,0
19.62,31.52,47.25,1.73,16.1,83.5,3.81,norte,laboral,0,0.032761997317699625,0
14.07,30.3,37.37,1.15,28.5,67.0,2.14,industrial,feriado,0,0.11669142778198832,0
48.04,96.39,55.06,1.55,10.8,69.7,4.25,sur,laboral,1,0.5784402904358439,1
19.03,44.73,31.88,0.68,11.4,98.0,1.08,centro,laboral,0,0.4371919918000271,0
10.66,17.11,26.87,0.87,13.8,55.7,5.61,sur,fin_semana,0,0.006791137606400365,0
32.09,27.28,37.78,2.95,17.5,89.2,3.78,industrial,laboral,1,0.6927518289821288,1
20.93,48.46,26.15,1.17,10.4,33.4,4.27,sur,laboral,0,0.09419964630339464,0
20.53,37.97,24.32,3.79,25.4,85.2,1.94,centro,feriado,0,0.0810764771775999,0
,6.69,12.91,0.99,9.9,57.6,2.95,sur,fin_semana,0,0.01956245260338072,0
52.21,111.25,43.36,1.21,22.1,54.3,8.21,centro,laboral,0,0.3480772730989049,0
36.01,64.28,28.34,0.91,18.0,46.6,5.41,centro,laboral,0,0.03894987147638187,0
,16.97,35.39,0.7,-3.0,67.0,5.0,norte,feriado,0,0.01479570264935294,0
60.85,133.58,47.2,1.3,13.5,49.7,2.55,industrial,laboral,0,0.9910393893756618,1
21.68,47.82,20.29,1.12,3.6,70.4,7.88,norte,laboral,0,0.012203210231690445,0
12.74,21.87,28.16,1.36,15.4,51.1,1.96,norte,laboral,0,0.02860480005844346,0
,22.96,17.31,1.23,8.4,67.4,4.48,sur,laboral,0,0.027097591284556848,0
8.28,15.93,10.73,1.95,9.6,82.4,2.07,sur,laboral,0,0.028931661159955137,0
19.8,32.86,21.4,0.78,16.9,96.0,0.82,centro,laboral,1,0.06358842295230263,0
15.93,26.31,27.19,0.65,31.0,48.9,2.45,industrial,laboral,0,0.08142345796681556,0
24.4,41.71,13.68,2.03,6.5,67.2,4.28,sur,laboral,0,0.026951352480525187,0
20.25,,53.53,0.97,20.7,49.8,5.67,norte,laboral,1,0.019402883127105326,0
9.65,19.0,41.8,2.68,15.1,72.6,1.5,sur,laboral,0,0.08212162334905551,0
24.41,44.82,46.7,0.56,13.4,72.1,2.23,norte,fin_semana,0,0.07476056776956862,0
17.73,39.18,30.02,1.06,25.7,97.0,2.96,centro,laboral,0,0.06314924566247512,0
26.65,57.33,28.88,1.11,12.4,78.5,1.79,industrial,fin_semana,0,0.4837677303048688,0
24.97,49.62,44.77,1.23,5.7,66.6,3.87,sur,fin_semana,0,0.10794508446929302,0
33.79,75.62,45.08,1.62,24.2,71.7,1.11,industrial,laboral,1,0.9139145017031198,1
21.81,47.25,51.15,1.97,17.8,45.4,1.49,norte,laboral,0,0.27719757844821996,0
29.29,59.11,33.86,0.8,24.4,55.0,1.81,centro,feriado,0,0.1434900864537526,0
10.08,22.62,25.7,2.45,26.8,41.3,3.5,centro,feriado,0,0.029351751481229246,0
24.97,46.48,33.84,0.88,23.0,43.9,1.92,industrial,feriado,0,0.18401738493990327,0
15.19,27.47,41.53,0.52,26.8,87.3,1.41,centro,laboral,0,0.05449315866642881,0
12.35,25.45,49.13,1.34,7.3,65.9,0.29,sur,laboral,0,0.1237206687277008,0
32.93,67.87,49.06,1.05,17.9,54.8,1.36,industrial,laboral,1,0.9028860427036619,1
11.29,21.12,21.57,0.54,14.2,45.9,0.71,sur,laboral,0,0.03354018718469692,0
18.96,32.41,20.32,1.39,14.5,63.1,4.04,centro,laboral,0,0.024479173752582656,0
31.35,67.65,30.84,0.54,10.4,64.1,0.92,norte,laboral,0,0.24078258966123892,0
33.04,63.2,26.24,1.17,22.0,63.8,2.51,industrial,fin_semana,1,0.47440701970833904,0
31.42,52.41,50.46,0.82,15.6,65.0,3.61,centro,fin_semana,0,0.10198673680524374,0
24.8,58.02,39.5,1.43,26.9,65.2,1.99,industrial,laboral,1,0.5568572935844937,1
22.66,36.9,30.3,1.0,15.8,57.2,4.62,centro,laboral,0,0.028407313572681326,0
15.45,28.95,22.81,2.32,15.5,41.5,2.4,industrial,laboral,1,0.24470109577369475,0
13.83,29.5,26.66,0.79,10.5,63.5,3.7,sur,laboral,0,0.023584893211259145,0
16.1,31.98,16.32,2.08,13.3,57.0,3.96,sur,fin_semana,0,0.02567897562655699,0
43.28,92.47,11.12,1.16,21.2,83.1,0.7,centro,laboral,1,0.6135034635364679,1
24.2,63.55,22.92,0.71,18.1,51.5,8.04,centro,laboral,0,0.01775187796713448,0
19.45,37.22,21.77,1.61,21.9,43.9,0.4,sur,fin_semana,1,0.09464214259152455,0
28.2,59.08,13.15,0.56,13.5,79.0,4.37,sur,fin_semana,0,0.01693095999801185,0
20.13,38.46,62.49,0.76,29.8,78.1,2.78,sur,laboral,0,0.08403476096379009,0
17.61,33.56,30.38,0.88,14.8,66.2,0.7,norte,laboral,0,0.11954260220712477,0
12.65,21.18,23.43,0.59,12.7,43.2,0.19,sur,laboral,0,0.5065851821487746,1
8.32,17.53,42.1,1.47,7.2,55.5,1.66,norte,fin_semana,0,0.01999215442500459,0
8.95,15.77,34.29,0.73,20.5,58.3,1.35,industrial,laboral,0,0.07390466196798684,0
24.82,44.89,43.89,0.48,19.3,48.4,0.68,sur,laboral,0,0.14946920648642772,0
12.35,20.38,31.44,1.33,9.9,88.8,0.28,norte,feriado,0,0.18050627089728835,0
20.02,30.21,40.23,2.22,17.6,57.7,0.1,centro,laboral,0,0.6858315972216654,1
32.08,78.47,33.25,1.39,20.1,52.9,1.18,sur,laboral,1,0.45590342893567465,0
15.18,26.42,41.69,0.78,18.0,67.7,2.03,industrial,laboral,1,0.09709900646770711,0
17.45,23.9,39.1,1.31,18.9,89.8,1.97,industrial,fin_semana,0,0.09168911087264976,0
18.87,24.35,43.26,0.56,31.4,65.0,3.97,sur,fin_semana,0,0.01528415086031028,0
33.18,69.66,51.76,1.08,19.1,51.3,1.29,centro,laboral,0,0.6348333810715906,1
19.83,35.14,5.37,0.74,3.7,34.4,1.68,centro,laboral,0,0.03343152861230446,0
9.38,19.02,11.83,1.17,27.4,83.8,5.06,norte,laboral,0,0.005770622106661806,0
40.05,98.39,61.92,0.31,22.6,68.5,4.81,centro,laboral,0,0.29852519408626044,0
17.14,35.35,30.91,1.52,16.3,53.4,0.54,centro,laboral,0,0.1540350462327171,0
18.72,32.2,73.83,1.08,19.5,81.3,5.71,industrial,fin_semana,1,0.3639074151046025,0
34.0,51.81,19.13,1.07,11.7,76.7,3.65,industrial,laboral,0,0.47677376932725,0
9.75,21.77,18.5,0.32,11.0,74.2,4.9,centro,laboral,0,0.007561136645429631,0
52.96,93.91,18.03,0.55,19.8,51.9,0.21,sur,fin_semana,0,0.5920144146160037,1
5.79,14.03,39.04,1.76,18.9,44.5,5.97,centro,laboral,0,0.013344274758705775,0
33.32,60.53,49.01,1.15,9.3,71.1,5.36,sur,fin_semana,0,0.1506818259542395,0
65.52,144.76,40.99,3.41,29.9,65.3,4.33,norte,laboral,1,0.8078595413569629,1
13.29,26.59,26.19,1.49,14.1,81.8,4.29,industrial,laboral,0,0.15056159182431664,0
38.87,86.42,22.49,1.42,23.2,94.6,2.98,industrial,laboral,1,0.7883810897719425,1
18.03,31.31,43.91,3.41,13.1,63.7,3.05,norte,feriado,0,0.24444531566564875,0
27.69,53.34,78.03,0.83,26.3,63.6,1.3,industrial,laboral,1,0.9733677410762349,1
48.22,,27.18,1.22,18.7,38.7,2.5,norte,laboral,0,0.21596113477789602,0
10.53,21.99,32.84,1.55,22.2,98.0,1.72,centro,laboral,0,0.11035342505360281,0
36.39,69.18,39.67,2.64,0.8,75.9,0.37,industrial,fin_semana,1,0.9284067875278378,1
26.58,40.37,49.8,1.27,18.0,29.2,7.27,industrial,laboral,0,0.12445591116407567,0
15.58,28.95,29.97,1.84,23.8,69.8,2.86,industrial,laboral,0,0.14508028809202414,0
9.62,18.26,18.12,1.29,17.0,63.8,5.95,industrial,laboral,0,0.03046317964077097,0
13.75,27.12,31.65,2.13,9.9,75.6,0.24,industrial,laboral,0,0.9034824631747427,1
19.58,28.73,30.43,0.68,7.4,58.8,3.85,centro,laboral,0,0.019318244528093494,0
18.73,44.83,8.7,0.72,16.9,66.4,2.39,sur,laboral,0,0.062211894180094846,0
38.07,78.57,27.98,1.31,3.2,75.7,1.73,centro,laboral,0,0.38123367894585464,0
18.73,30.78,36.19,2.31,19.0,66.6,2.09,norte,laboral,0,0.052834277515519446,0
42.11,76.66,38.34,1.16,16.2,62.2,1.78,sur,feriado,0,0.45410197909879946,0
28.72,68.16,24.79,0.38,23.4,43.8,2.71,sur,laboral,0,0.11935954519617477,0
29.37,59.64,27.63,0.77,28.4,48.2,2.04,industrial,laboral,0,0.5290590996895365,1
55.08,38.48,54.93,1.44,15.2,71.4,4.26,norte,laboral,0,0.5031971249130285,1
18.47,28.51,22.16,1.56,5.5,78.4,2.2,centro,fin_semana,1,0.03204352611943019,0
33.24,60.68,10.69,0.89,16.7,42.1,0.3,industrial,fin_semana,1,0.2027244626265152,0
13.11,17.03,36.69,1.55,7.0,72.7,1.36,centro,laboral,0,0.03318132830700024,0
15.26,28.12,19.8,2.16,23.7,37.9,2.06,norte,laboral,0,0.030719616629030583,0
18.17,28.2,72.36,2.47,21.4,87.4,2.44,sur,laboral,0,0.37365354258846156,0
13.92,26.51,33.47,0.77,10.8,47.0,4.83,sur,fin_semana,0,0.01738308847600412,0
51.78,116.32,22.04,1.13,26.7,69.7,1.17,centro,laboral,0,0.833285467182237,1
9.52,20.84,49.77,2.25,18.2,49.7,2.8,centro,laboral,0,0.0618700247798103,0
18.64,44.5,19.33,0.91,15.4,73.6,2.0,centro,fin_semana,0,0.04147747489142537,0
18.48,31.47,23.62,0.48,10.4,58.7,2.53,industrial,fin_semana,0,0.0503913793837142,0
5.76,10.69,41.67,1.34,31.6,43.6,1.06,norte,laboral,0,0.056180957128025774,0
8.55,12.62,33.41,2.58,29.8,68.2,2.4,norte,laboral,0,0.026882612860753302,0
